media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"7333","http://www.cbc.ca","CBC","CAN","","","","video_broadcast","","","0.29","2011-01-03"
"18689","http://www.canadafreepress.com","canadafreepress.com","CAN","","en","United States","digital_native","","","1.1","2012-04-30"
"19477","http://www.theglobeandmail.com","Globe and Mail","CAN","CA-ON","en","none","print_native","","","0.12","2014-02-24"
"20407","http://news.nationalpost.com","news.nationalpost.com","CAN","","","","","","","21.61","2018-03-26"
"20662","http://www.canadianbusiness.com","canadianbusiness.com","CAN","","en","United States","print_native","","","0.23","2016-08-15"
"20750","http://www.vancouversun.com","vancouversun.com","CAN","CA-BC","en","Canada","print_native","","","1.58","2014-05-19"
"22249","http://www.lfpress.com","lfpress.com","CAN","CA-ON","en","Missouri","print_native","","","1.21","2017-03-27"
"23163","http://www.globalnews.ca","globalnews.ca","CAN","","","","video_broadcast","","","10.93","2013-06-10"
"25540","http://ca.reuters.com","ca.reuters.com","CAN","","en","","other","","","0.0","2017-12-04"
"26063","http://www.torontosun.com","torontosun.com","CAN","CA-ON","","","print_native","","","6.64","2013-07-01"
"26712","http://www.edmontonjournal.com","edmontonjournal.com","CAN","CA-AB","en","none","print_native","","","1.52","2017-03-27"
"30247","http://www.leaderpost.com#spider","leaderpost.com","CAN","CA-SK","en","none","print_native","","","0.86","2017-03-27"
"30248","http://www.theprovince.com#spider","theprovince.com","CAN","CA-BC","en","New York","print_native","","","0.43","2016-06-27"
"31196","http://rabble.ca#spider","rabble.ca","CAN","","en","Canada","digital_native","","","0.34","2016-08-08"
"32205","http://www.troymedia.com#spider","troymedia.com","CAN","","en","Canada","digital_native","","","0.4","2016-08-15"
"32434","http://www.ctvnews.ca#spider","ctvnews.ca","CAN","","en","none","video_broadcast","","","11.24","2013-06-17"
"33632","http://www.agoracosmopolitan.com#spider","agoracosmopolitan.com","CAN","","en","","digital_native","","","0.0","2017-07-31"
"38821","http://www.thestar.com/","Toronto Star","CAN","CA-ON","","","print_native","","","30.71","2013-03-11"
"40280","http://www.lactualite.com/","lactualite","CAN","","fr","none","print_native","","","0.7","2016-02-29"
"40557","http://www.montrealgazette.com/","montrealgazette","CAN","CA-QC","","","print_native","","","1.98","2013-03-18"
"46073","http://www.ottawacitizen.com/#spider","ottawacitizen.com","CAN","CA-ON","","","print_native","","","1.39","2014-05-19"
"53085","http://fr.canoe.ca/#spider","fr.canoe.ca","CAN","CA-QC","fr","none","digital_native","","","0.0","2017-03-06"
"53127","http://tvanouvelles.ca/#spider","tvanouvelles.ca","CAN","CA-QC","fr","none","video_broadcast","","","4.68","2017-03-27"
"53948","http://www.lapresse.ca/#spider","lapresse.ca","CAN","CA-QC","fr","none","digital_native","","","0.01","2017-03-06"
"54530","http://www.windsorstar.com/#spider","windsorstar.com","CAN","CA-ON","en","none","print_native","","","0.93","2017-03-27"
"67154","http://www.cjnews.com/#spider","cjnews.com","CAN","CA-ON","en","none","print_native","","","0.19","2016-08-15"
"68999","http://thewalrus.ca/#spider","thewalrus.ca","CAN","","en","Canada","print_native","","","0.18","2016-06-27"
"69032","http://www.huffingtonpost.ca/#spider","huffingtonpost.ca","CAN","","","","digital_native","","","0.01","2013-06-03"
"69891","http://www.winnipegfreepress.com/#spider","winnipegfreepress.com","CAN","CA-MB","en","United States","print_native","","","16.87","2017-12-04"
"70825","http://o.canada.com/#spider","o.canada.com","CAN","","en","United States","digital_native","","","0.13","2014-08-11"
"71460","http://opencanada.org/#spider","opencanada.org","CAN","","en","none","digital_native","","","0.12","2015-03-30"
"71958","http://canadiandimension.com/#spider","canadiandimension.com","CAN","","en","none","print_native","","","0.28","2016-07-25"
"75779","http://www.winnipegsun.com/#spider","winnipegsun.com","CAN","CA-MB","en","none","print_native","","","0.97","2017-03-27"
"76494","http://www.thestarphoenix.com/#spider","thestarphoenix.com","CAN","CA-SK","en","none","print_native","","","0.81","2015-11-16"
"76736","http://www.thewhig.com/#spider","thewhig.com","CAN","CA-ON","en","none","print_native","","","3.01","2017-03-20"
"82041","http://www.newswire.ca/#spider","newswire.ca","CAN","","en","Canada","other","","","0.1","2018-03-19"
"87595","http://www.tsn.ca/#spider","tsn.ca","CAN","","en","none","video_broadcast","","","0.0","2016-10-10"
"90652","http://metronews.ca/#spider","metronews.ca","CAN","","en","none","print_native","","","22.57","2018-05-21"
"91511","http://www.medicinehatnews.com/#spider","medicinehatnews.com","CAN","CA-AB","en","none","print_native","","","0.0","2017-12-11"
"91912","http://www.theloop.ca/#spider","theloop.ca","CAN","","en","Canada","digital_native","","","0.0","2016-10-10"
"95270","http://blogs.thescore.com/#spider","blogs.thescore.com","CAN","","en","United States","digital_native","","","0.03","2017-01-23"
"96383","http://www2.macleans.ca/#spider","www2.macleans.ca","CAN","","en","Canada","print_native","","","0.53","2016-08-15"
"97661","http://www.calgaryherald.com/#spider","calgaryherald.com","CAN","CA-AB","","","print_native","","","1.66","2017-03-27"
