media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"30197","http://www.cambodiadaily.com#spider","cambodiadaily.com","KHM","KH-12","en","Kingdom of Cambodia","print_native","","","0.48","2018-01-15"
"39675","http://www.akp.gov.kh/fr/?cat=1","akp","KHM","","fr","Phnom Penh","other","","","0.0","2013-03-04"
"41021","http://www.akp.gov.kh/kh/?cat=1","akp-km","KHM","","km","none","other","","","0.0","2013-03-18"
"41133","http://www.akp.gov.kh/?cat=1","akp-en","KHM","","en","Kingdom of Cambodia","other","","","0.0","2013-03-18"
"62389","http://camnews.org/","camnews.org","KHM","","km","Kingdom of Cambodia","digital_native","","","1.3","2013-05-06"
"65743","http://phnompenhpost.com/","phnompenhpost.com","KHM","KH-12","en","Kingdom of Cambodia","print_native","","","1.68","2013-07-22"
"299949","http://cnv.org.kh/","Cambodia New Vision | Cabinet of Samdech Techo HUN SEN","KHM","","en","Kingdom of Cambodia","digital_native","","","0.1","2016-09-19"
"300220","http://www.camnews.org/topics/cambodia-news/","English|Cambodia News | Khmer News - ពត៌មានខ្មែរ","KHM","","en","Kingdom of Cambodia","digital_native","","","1.29","2016-08-15"
"300595","http://www.tv9.com.kh/","TV9 HDTV","KHM","","en","","video_broadcast","","","0.13","2018-12-03"
"309097","http://thecambodianews.net/","thecambodianews.net","KHM","","en","none","digital_native","","","0.87","2018-07-23"
"310086","http://khmertimeskh.com/","khmertimeskh.com","","","","","","","","3.98","2019-03-04"
"321517","http://cambodiantimes.com/","cambodiantimes.com","KHM","","en","none","digital_native","","","0.88","2018-07-23"
"334464","http://kampucheathmey.com/","kampucheathmey.com","KHM","KH-12","km","none","print_native","","","3.59","2017-12-04"
"371608","http://www.cambodiawatch.net/","カンボジアウォッチ","KHM","","ja","","digital_native","","","0.0","2011-05-02"
"622710","http://www.tvk.gov.kh/","TVK","KHM","","km","","video_broadcast","","","0.0","2018-03-19"
"622711","https://kohsantepheapdaily.com.kh/","Koh Santepheap","KHM","KH-12","km","Kingdom of Cambodia","print_native","","","0.76","2017-11-06"
"654933","http://www.moneaksekar.com/","Moneaksekar Khmer","KHM","KH-12","km","none","print_native","","","0.38","2017-12-04"
"654934","http://www.watphnom-news.com/","Wat Phnom","KHM","KH-12","km","none","print_native","","","0.3","2017-12-04"
"1706347","https://voicesofyouthcambodia.com/","Voices of Youth Cambodia","","","","","","","","0.0","2019-12-23"
"1706348","http://www.thesoutheastasiaweekly.com/","The Southeast Asia Weekly","","","","","","","","0.0","2020-10-12"
"1706349","https://www.rasmeinews.com/","រស្មីកម្ពុជា | Rasmei Kampuchea Daily","","","","","","","","4.44","2020-10-12"
"1706350","https://nationalpost.com/tag/cambodia/","Cambodia | National Post","","","","","","","","17.88","2020-10-12"
"1706351","https://www.cambodgemag.com/","Cambodgemag | Presse magazine francophone","","","","","","","","0.29","2020-10-12"
