media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"20784","http://www.handelszeitung.ch","handelszeitung.ch","CHE","CH-ZH","de","none","print_native","","","9.5","2019-08-26"
"38771","http://www.obwaldnerzeitung.ch/","zisch-obwaldner","CHE","CH-OW","de","Daerah Khusus Ibukota Jakarta","print_native","","","6.23","2018-08-27"
"38889","http://www.tagesanzeiger.ch/","tagesanzeiger","CHE","CH-ZH","de","none","print_native","","","5.48","2013-03-11"
"39003","http://www.24heures.ch/","24heures","CHE","CH-VD","fr","none","digital_native","","","5.19","2013-03-11"
"39135","http://www.cash.ch/","cash","CHE","CH-ZH","de","none","print_native","","","7.49","2013-03-11"
"39225","http://www.laliberte.ch/","laliberte","CHE","CH-FR","fr","none","print_native","","","2.71","2013-05-27"
"39261","http://www.luzernerzeitung.ch/","zisch","CHE","CH-LU","de","none","print_native","","","5.59","2018-07-23"
"39268","http://bazonline.ch/","baz","CHE","","de","none","print_native","","","5.58","2013-03-11"
"39486","http://www.bernerzeitung.ch/","BernerZeitung","CHE","CH-BE","de","none","print_native","","","8.62","2013-03-11"
"39657","http://www.blick.ch/","blick","CHE","CH-ZH","de","none","print_native","","","12.19","2013-03-18"
"39738","http://www.nidwaldnerzeitung.ch/","zisch-nidwaldner","CHE","CH-NW","de","Daerah Khusus Ibukota Jakarta","print_native","","","6.43","2018-08-27"
"39892","http://www.nzz.ch/","NZZ","CHE","CH-ZH","de","none","print_native","","","8.42","2013-03-18"
"39903","http://www.tdg.ch","tdg","CHE","CH-GE","fr","none","print_native","","","4.84","2013-03-18"
"39925","http://www.arcinfo.ch/fr/","arcinfo","CHE","CH-NE","fr","none","print_native","","","0.0","2013-03-11"
"41069","http://www.zugerzeitung.ch/","zisch-zuger","CHE","CH-ZG","de","Islamic Republic of Iran","print_native","","","6.51","2018-08-27"
"41259","http://www.lematin.ch/","lematin-CH","CHE","CH-VD","fr","none","print_native","","","1.16","2013-03-18"
"41385","http://www.engadinerpost.ch/","engadinerpost","CHE","CH-GR","de","Swiss Confederation","print_native","","","0.67","2013-03-11"
"41404","http://www.20min.ch/","20min","CHE","CH-ZH","de","United States","print_native","","","7.36","2015-12-28"
"41523","http://www.urnerzeitung.ch/","zisch-urner","CHE","CH-UR","de","none","print_native","","","6.42","2018-08-27"
"41804","http://www.derbund.ch/","DerBund","CHE","CH-BE","de","none","print_native","","","5.8","2013-03-18"
"58579","http://letemps.ch/","letemps.ch","CHE","CH-GE","fr","none","print_native","","","3.97","2015-03-02"
"70484","http://www.thelocal.ch/#spider","thelocal.ch","CHE","","en","Swiss Confederation","digital_native","","","0.66","2013-05-27"
"108538","http://tagblatt.ch/","tagblatt.ch","CHE","","de","none","print_native","","","4.54","2018-07-23"
"118983","http://blickamabend.ch/","blickamabend.ch","CHE","CH-ZH","de","none","print_native","","","0.6","2020-08-31"
"119258","http://srf.ch/","srf.ch","CHE","","de","none","video_broadcast","","","7.6","2018-07-23"
"119532","http://rts.ch/","rts.ch","CHE","","fr","none","video_broadcast","","","0.0","2016-08-22"
"124117","http://bo.bernerzeitung.ch/","bo.bernerzeitung.ch","CHE","CH-BE","de","none","print_native","","","7.06","2017-12-04"
"128918","http://bilanz.ch/","bilanz.ch","CHE","","de","none","print_native","","","2.31","2018-06-18"
"137523","http://weltwoche.ch/","weltwoche.ch","CHE","CH-ZH","de","none","print_native","","","0.0","2017-02-13"
"143959","https://tageswoche.ch/","tageswoche.ch","CHE","","de","Swiss Confederation","print_native","","","0.0","2017-12-04"
"145665","http://grenchnertagblatt.ch/","grenchnertagblatt.ch","CHE","CH-SO","de","United States","print_native","","","0.5","2017-12-04"
"145823","http://aargauerzeitung.ch/","aargauerzeitung.ch","CHE","CH-AG","de","United States","print_native","","","4.59","2017-12-04"
"238369","http://lenouvelliste.ch/","lenouvelliste.ch","CHE","CH-VS","none","Swiss Confederation","print_native","","","0.0","2017-12-04"
"258242","http://lecourrier.ch/","lecourrier.ch","CHE","CH-GE","fr","none","print_native","","","1.2","2017-12-11"
"293765","http://woz.ch/","woz.ch","CHE","CH-ZH","de","none","print_native","","","0.57","2012-02-06"
"298719","https://cosmo-polis.ch/index.php/de/","cosmopolis.ch","CHE","","","","digital_native","","","0.02","2012-08-27"
"307677","http://lenews.ch/","lenews.ch","","","","","","","","0.11","2020-10-12"
"332496","http://cdt.ch/","cdt.ch","CHE","CH-TI","it","United States","print_native","","","0.0","2017-12-11"
"338196","http://basellandschaftlichezeitung.ch/","basellandschaftlichezeitung.ch","CHE","","de","United States","print_native","","","1.34","2017-07-24"
"341960","http://thunertagblatt.ch/","thunertagblatt.ch","CHE","CH-BE","de","none","print_native","","","5.83","2017-12-04"
"344516","http://fuw.ch/","fuw.ch","CHE","CH-ZH","de","United States","print_native","","","0.0","2013-03-04"
"345863","http://sonntagszeitung.ch/","sonntagszeitung.ch","CHE","CH-ZH","de","none","print_native","","","0.0","2017-10-23"
"355726","http://laregione.ch/","laregione.ch","CHE","CH-TI","it","none","print_native","","","5.51","2017-12-11"
"358996","http://rsi.ch/","rsi.ch","CHE","","it","none","video_broadcast","","","4.42","2018-07-23"
"360416","http://www.gdp.ch/","gdp.ch","CHE","CH-TI","de","none","print_native","","","0.11","2018-05-28"
"386332","http://zeit-fragen.ch/","zeit-fragen.ch","CHE","CH-ZH","de","none","print_native","","","0.0","2017-04-03"
"421384","http://beobachter.ch/","beobachter.ch","CHE","","de","none","print_native","","","0.47","2017-05-15"
"514408","http://limmattalerzeitung.ch/","limmattalerzeitung.ch","","","","","","","","1.33","2020-10-12"
