media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"40943","https://www.ena.et/en/","ena","ETH","","","","other","","","0.7","2020-09-21"
"57806","http://ecadforum.com/","ecadforum.com","ETH","","en","Federal Democratic Republic of Ethiopia","digital_native","","","0.0","2013-05-20"
"59027","http://nazret.com/","nazret.com","ETH","","en","Federal Democratic Republic of Ethiopia","digital_native","","","0.0","2015-11-16"
"104430","http://www.ethiomedia.com","Ethiomedia - Ethiopian American News and Daily News from Ethiopia","ETH","","en","Federal Democratic Republic of Ethiopia","digital_native","","","0.0","2014-09-08"
"208738","http://ethsat.com/","ethsat.com","","","en","Federal Democratic Republic of Ethiopia","","","","0.08","2018-06-11"
"228406","http://ethiopians.com/","ethiopians.com","ETH","","en","","digital_native","","","0.0","2019-12-30"
"248493","http://thereporterethiopia.com/","thereporterethiopia.com","ETH","","en","Federal Democratic Republic of Ethiopia","print_native","","","0.0","2016-01-25"
"248957","http://tigraionline.com/","tigraionline.com","ETH","ET-TI","en","","digital_native","","","0.0","2017-12-04"
"266498","http://hornaffairs.com/","hornaffairs.com","","","","","","","","0.0","2011-01-10"
"269844","http://waltainfo.com/","waltainfo.com","ETH","","en","none","digital_native","","","0.43","2019-01-21"
"271147","http://addisfortune.net/","Addisfortune-The Largest English Weekly in Ethiopia","ETH","","en","Federal Democratic Republic of Ethiopia","print_native","","","0.37","2020-09-28"
"271148","http://capitalethiopia.com/","capitalethiopia","ETH","","en","Federal Democratic Republic of Ethiopia","print_native","","","0.12","2017-01-30"
"300419","http://www.newbusinessethiopia.com/","Newbusinessethiopia - new Business Ethiopia (nBE)","ETH","","en","Federal Democratic Republic of Ethiopia","digital_native","","","0.31","2017-09-04"
"300636","http://www.zehabesha.com/","Zehabesha – Latest Ethiopian News Provider | Zehabesha – Latest Ethiopian News Provider","USA","US-MN","en","Federal Democratic Republic of Ethiopia","print_native","","","0.48","2013-07-08"
"356125","http://addisstandard.com/","addisstandard.com","","","en","Federal Democratic Republic of Ethiopia","","","","0.04","2018-04-09"
"444164","http://fanabc.com/","fanabc.com","","","am","Federal Democratic Republic of Ethiopia","","","","2.02","2019-04-08"
"545370","http://zoneniners.com/","zoneniners.com","","","","","","","","0.04","2013-03-18"
"547542","http://ethiopiaforums.com/","ethiopiaforums.com","ETH","","en","Federal Democratic Republic of Ethiopia","digital_native","","","0.21","2017-12-04"
"568656","http://opride.com/","opride.com","","","","","","","","0.0","2012-09-03"
"568903","http://oromiamedia.org/","oromiamedia.org","","","om","none","","","","0.0","2018-04-09"
"569088","http://cyberethiopia.com/","cyberethiopia.com","ETH","","en","","digital_native","","","0.0","2017-09-11"
"607225","http://awrambatimes.com/","awrambatimes.com","ETH","","en","Federal Democratic Republic of Ethiopia","digital_native","","","0.0","2018-04-23"
"653643","http://www.ethiopianreporter.com/","Reporter (Amharic)","ETH","","am","none","print_native","","","0.0","2017-12-04"
"655764","http://ectv.org/","ECTV","ETH","","am","","video_broadcast","","","0.0","2019-04-08"
"655766","http://www.ethionewsdirect.com/","Ethio News Direct","ETH","","en","","digital_native","","","0.0","2019-04-22"
"655767","http://ethioforum.org/index_____.html","Ethiopian Media Forum","ETH","","","","digital_native","","","0.0","2018-01-01"
"655768","http://www.ethiopian-news.com/","Ethiopian News","ETH","","en","","digital_native","","","0.0","2015-12-14"
"655769","http://www.ethioobserver.net/","Ethiopian Observer","USA","US-WA","en","none","digital_native","","","2.26","2019-06-10"
"655770","http://ethiopianreview.com/ethiopia/","Ethiopian Review","ETH","","en","Federal Democratic Republic of Ethiopia","digital_native","","","0.0","2017-11-27"
"655771","http://www.ezega.com/","Ezega","ETH","","en","Federal Democratic Republic of Ethiopia","digital_native","","","0.0","2019-05-13"
"655772","https://www.maledatimes.com/","Maleda Times","ETH","","none","Federal Democratic Republic of Ethiopia","digital_native","","","0.0","2017-11-06"
"673297","http://addisinsight.com/","addisinsight.com","","","","","","","","0.0","2016-05-09"
"673958","http://borkena.com/","borkena.com","","","","","","","","0.44","2020-09-28"
"750894","http://wazemaradio.com/","Wazemaradio - Wazema Radio- Exiled Ethiopian media","","","am","Federal Democratic Republic of Ethiopia","","","","0.18","2018-05-21"
"750895","http://www.dw.com/am/%E1%8B%AD%E1%8B%98%E1%89%B5/s-11646","ይዘት | DW","","","am","none","","","","0.42","2019-04-08"
"750896","https://amharic.voanews.com/z/3303","ከምሽቱ ሦስት ሰዓት የአማርኛ ዜና - የፕሮግራሙ ተከታታይ ክፍሎች","","","am","none","","","","1.16","2018-04-09"
"750897","https://www.bbc.com/amharic","ዜና - BBC News አማርኛ","","","","","","","","0.0","2018-04-09"
"1343804","http://addisfortune.news/","addisfortune.news","","","","","","","","0.23","2020-07-06"
"1405423","http://ethiopianmonitor.com/","ethiopianmonitor.com","","","","","","","","0.59","2020-10-12"
"1697170","https://www.thereporterethiopia.com/news","News | The Reporter Ethiopia English","","","","","","","","0.0","2020-09-21"
"1714122","https://www.press.et/afanoromo/","Ethipian Press Agency | EPA","","","","","","","","0.0","2020-10-05"
"1714123","https://yeroo.org/","YEROO","","","","","","","","0.03","2020-10-05"
"1714124","http://www.thevoiceofethiopia.com/","The voice of Ethiopia","","","","","","","","0.0","2020-10-12"
