media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39962","http://www.24ora.com/index.php","24ora-aw","ABW","","es","Aruba","digital_native","","","2.52","2013-03-18"
"41618","http://www.amigoe.com/","amigoe","ABW","","nl","none","print_native","","","0.0","2011-06-27"
"128247","http://diario.aw/","diario.aw","ABW","","none","Aruba","print_native","","","0.01","2017-11-06"
"300039","http://news.visitaruba.com/","Aruba News - Latest Tourism News Headlines - What's New in Aruba","ABW","","en","Aruba","digital_native","","","0.14","2016-07-18"
"300160","http://www.arubaherald.com/","ArubaHerald | Local, Travel & Business News from Aruba to the World.","ABW","","en","","digital_native","","","0.0","2013-11-04"
"331558","http://awe24.com/","awe24.com","ABW","","none","none","digital_native","","","0.87","2017-10-30"
"337234","http://bondia24.com/","bondia24.com","ABW","","none","Aruba","print_native","","","0.0","2017-12-04"
"349768","http://noticiacla.com/","noticiacla.com","ABW","","none","Aruba","digital_native","","","0.88","2017-10-30"
"564867","http://masnoticia.com/","masnoticia.com","ABW","","none","none","digital_native","","","1.29","2017-10-30"
"622721","http://www.telearuba.aw/","Telearuba","ABW","","en","Aruba","video_broadcast","","","0.0","2017-10-23"
"622722","http://arubanews.mobi/","Aruba News","ABW","","pap","","digital_native","","","0.0","2022-05-14"
"622723","http://arubanieuws.nu/","Aruba Nieuws","ABW","","nl","none","digital_native","","","0.77","2018-04-02"
"622724","http://boletinextra.com/","Boletin Extra","ABW","","none","none","digital_native","","","0.0","2017-10-30"
"622725","http://www.nostisia.com/","Nostisia","ABW","","pap","","digital_native","","","0.0","2022-05-14"
"652946","http://www.arubatoday.com/","Aruba Today","ABW","","en","none","print_native","","","0.78","2018-01-15"
"652947","http://www.calientefmaruba.com/","Caliente 90.7 FM","ABW","","es","none","video_broadcast","","","0.01","2017-10-16"
"652948","http://coolaruba.com/","Cool FM 98.9","ABW","","en","United States","video_broadcast","","","0.0","2017-11-20"
"652949","http://awemainta.com/","AWE Mainta","ABW","","none","Aruba","print_native","","","0.01","2017-12-04"
