media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"27451","http://www.californiascapitol.com/","This website is currently unavailable.","USA","US-KS","en","none","print_native","","","0.0","2012-09-03"
"39656","http://www.lobservateur.cd/","lobservateur-CD","COD","CD-KN","fr","none","print_native","","","0.0","2013-03-04"
"41141","http://radiookapi.net/","radiookapi","COD","","fr","Democratic Republic of the Congo","video_broadcast","","","2.52","2013-03-18"
"41554","http://www.digitalcongo.net","digitalcongo","COD","","fr","Democratic Republic of the Congo","digital_native","","","0.0","2013-03-11"
"42170","http://www.lesoftonline.net/","lesoftonline","COD","CD-KN","fr","Kinshasa City","print_native","","","0.08","2013-03-18"
"55416","http://laconscience.com/","laconscience.com","COD","CD-KN","en","none","print_native","","","0.02","2013-08-19"
"58280","http://congotribune.com/","congotribune.com","COD","","ja","none","digital_native","","","0.0","2013-05-27"
"59335","http://congonline.com/","congonline.com","COD","","fr","none","digital_native","","","0.03","2013-04-29"
"144559","http://laprosperiteonline.net/","laprosperiteonline.net","COD","CD-KN","fr","United States","print_native","","","0.36","2017-12-04"
"285827","http://congovision.com/","congovision.com","COD","","fr","","digital_native","","","0.0","2017-12-04"
"367908","http://congoplanet.com/","congoplanet.com","COD","","en","","digital_native","","","0.0","2014-08-11"
"586127","http://lepotentielonline.com/","lepotentielonline.com","COD","CD-KN","fr","","print_native","","","0.0","2017-05-08"
"622477","http://direct.cd/","direct.cd","COD","","fr","none","digital_native","","","0.0","2017-11-13"
"622727","http://7sur7.cd/","7 sur 7 - Congo Kinshasa","COD","","fr","Kinshasa","digital_native","","","0.0","2017-10-30"
"622728","http://www.congo24.net/","Congo 24","COD","","fr","","digital_native","","","0.0","2018-03-26"
"622729","http://www.deboutcongolais.info/","Debout Congolais","COD","","fr","","digital_native","","","0.0","2017-10-30"
"622730","http://www.groupelavenir.org/","L'Avenir","COD","CD-KN","fr","none","print_native","","","0.0","2017-10-30"
"622731","http://acpcongo.com/","Agence Congolaise de Presse","COD","","fr","Democratic Republic of the Congo","other","","","3.3","2017-11-06"
"655195","http://www.lephareonline.net/","Le Phare - Congo Kinshasa","COD","CD-KN","fr","none","print_native","","","0.11","2017-12-04"
"655407","http://www.congojet.com/","Congo Jet","COD","","fr","","digital_native","","","0.0","2017-12-04"
"655408","http://www.congoindependant.com/","Congo Independant","COD","","fr","none","digital_native","","","0.16","2017-12-04"
"655409","http://congopanorama.info/","Congo Panorama","COD","","en","","digital_native","","","0.0","2019-06-03"
"655410","http://www.congoplanete.com/","Congo Planete","COD","","fr","","digital_native","","","0.0","2019-01-14"
"655411","http://www.mediacongo.net/home.asp","Media Congo","COD","","fr","none","digital_native","","","0.0","2018-08-13"
"655412","http://www.obsac.com/","Observatoire de l'Afrique Central","COD","","none","none","digital_native","","","0.0","2018-06-11"
"655413","http://www.business-et-finances.com/","Business et Finances","COD","CD-KN","fr","none","print_native","","","0.11","2017-12-04"
