media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"9729","http://lekseys.livejournal.com","-","ARG","AR-B","es","","print_native","","","0.0","2011-08-22"
"22562","http://www.cronista.com","cronista.com","ARG","AR-C","es","none","print_native","","","7.1","2016-12-26"
"23284","http://www.pagina12.com.ar","pagina12.com.ar","ARG","AR-C","es","none","print_native","","","9.96","2016-03-07"
"23600","http://fortunaweb.com.ar","fortunaweb.com.ar","ARG","","es","none","print_native","","","0.0","2016-11-28"
"23651","http://www.diariouno.com.ar","diariouno.com.ar","ARG","AR-M","es","none","print_native","","","0.0","2015-05-04"
"38884","http://www.elojodigital.com/","elojodigital","ARG","","es","none","digital_native","","","0.17","2013-03-11"
"39090","http://www.cronica.com.ar/","cronica","ARG","AR-C","es","none","print_native","","","9.51","2017-11-27"
"40717","http://www.lanacion.com.ar/","lanacion-AR","ARG","AR-C","","","print_native","","","66.14","2021-02-15"
"60167","http://apfdigital.com.ar/","apfdigital.com.ar","ARG","AR-E","es","none","other","","","4.2","2013-04-29"
"60932","http://blogs.clarin.com/","blogs.clarin.com","ARG","AR-C","","","print_native","","","0.0","2017-10-30"
"61382","http://diariopanorama.com/","diariopanorama.com","ARG","AR-G","es","Illinois","digital_native","","","15.81","2016-09-26"
"62878","http://baraderohoy.com/","baraderohoy.com","ARG","AR-B","es","none","digital_native","","","0.3","2020-03-23"
"66374","http://blogs.perfil.com/","blogs.perfil.com","ARG","AR-C","es","Argentine Republic","print_native","","","0.0","2013-02-18"
"74367","http://www.infonews.com/#spider","infonews.com","ARG","","es","none","digital_native","","","0.0","2016-03-07"
"83047","http://www.lacapital.com.ar/#spider","lacapital.com.ar","ARG","AR-S","es","Lao People’s Democratic Republic","print_native","","","0.01","2016-12-05"
"83484","http://bahianoticias.com.br","Bahia Notícias","ARG","AR-B","es","none","digital_native","","","5.33","2014-05-19"
"105269","http://apertura.com/#spider","apertura.com","ARG","","es","United States","print_native","","","0.0","2016-12-26"
"110813","http://minutouno.com/","minutouno.com","ARG","","es","none","digital_native","","","0.02","2016-10-10"
"124957","http://telam.com.ar/","telam.com.ar","ARG","","es","none","other","","","9.59","2013-06-03"
"126565","http://infobae.com/","infobae.com","ARG","AR-C","es","none","digital_native","","","94.34","2019-12-09"
"195225","http://lacapitalmdp.com/","lacapitalmdp.com","ARG","AR-B","es","","print_native","","","0.0","2011-12-05"
"195627","http://tn.com.ar/","tn.com.ar","ARG","","es","none","video_broadcast","","","11.9","2020-10-19"
"225565","http://abcmundial.com/","abcmundial.com","ARG","","es","none","digital_native","","","0.0","2016-11-28"
"239582","http://www.elgrafico.mx/","El Gráfico","ARG","MX-DIF","es","none","print_native","","","0.33","2015-04-06"
"242446","http://fm899.com.ar/","fm899.com.ar","ARG","AR-A","es","none","video_broadcast","","","0.0","2017-12-04"
"258232","http://impulsobaires.com.ar/","impulsobaires.com.ar","ARG","AR-C","es","none","digital_native","","","2.77","2020-02-17"
