media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39366","http://www.la-razon.com/","LaRazon","BOL","BO-L","es","Plurinational State of Bolivia","print_native","","","0.0","2013-03-11"
"40283","http://bolpress.com/","bolpress","BOL","","es","Plurinational State of Bolivia","other","","","0.54","2013-03-11"
"40586","http://www.eldeber.com.bo","eldeber","BOL","BO-S","es","Plurinational State of Bolivia","print_native","","","0.02","2013-03-18"
"41887","http://www.eldiario.net/","eldiario","BOL","BO-L","es","Plurinational State of Bolivia","print_native","","","0.8","2013-03-18"
"41938","http://www.correodelsur.com/","correodelsur","BOL","BO-H","es","none","print_native","","","0.0","2016-10-10"
"57425","http://lostiempos.com/","lostiempos.com","BOL","BO-C","es","none","print_native","","","0.18","2013-04-29"
"69984","http://www.boliviatv.bo/#spider","boliviatv.bo","BOL","","es","none","video_broadcast","","","0.0","2018-06-18"
"70682","http://www.eldia.com.bo/#spider","eldia.com.bo","BOL","BO-S","es","none","print_native","","","0.34","2018-03-26"
"71505","http://www.paginasiete.bo/#spider","paginasiete.bo","BOL","BO-L","es","Plurinational State of Bolivia","print_native","","","10.97","2015-11-02"
"276511","http://eju.tv/","eju.tv","BOL","","es","none","digital_native","","","8.59","2016-12-26"
"276862","http://opinion.com.bo/","opinion.com.bo","BOL","BO-C","es","Departamento de Cochabamba","print_native","","","4.49","2020-03-30"
"276904","http://noticiasfides.com/","noticiasfides.com","BOL","","es","Departamento de Potosí","other","","","0.0","2017-01-16"
"277651","http://laprensa.com.bo/","laprensa.com.bo","BOL","BO-L","es","none","print_native","","","0.0","2016-12-12"
"277745","http://jornadanet.com/","jornadanet.com","BOL","BO-L","es","none","print_native","","","0.64","2016-12-26"
"300194","http://www.bolivianexpress.org/","Bolivian Express | Home","BOL","","en","Plurinational State of Bolivia","print_native","","","0.01","2016-10-10"
"324875","http://datos-bo.com/","datos-bo.com","BOL","","es","none","print_native","","","0.42","2019-10-07"
"327297","http://laestrelladeloriente.com/","laestrelladeloriente.com","BOL","BO-S","es","","print_native","","","0.0","2013-04-08"
"328482","http://hoybolivia.com/","hoybolivia.com","BOL","","es","none","digital_native","","","3.22","2017-12-11"
"328504","http://eabolivia.com/","eabolivia.com","BOL","BO-L","es","none","digital_native","","","0.38","2017-03-13"
"330916","http://cambio.bo/","cambio.bo","BOL","BO-L","es","none","print_native","","","0.0","2016-12-26"
"331344","http://boliviaentusmanos.com/","boliviaentusmanos.com","BOL","","es","none","digital_native","","","0.0","2017-01-09"
"331668","http://nos24.com/","nos24.com","BOL","","es","United States","digital_native","","","0.0","2017-01-02"
"334957","http://lapatriaenlinea.com/","lapatriaenlinea.com","BOL","","es","none","print_native","","","0.0","2016-12-26"
"337700","http://elpaisonline.com/","elpaisonline.com","BOL","BO-T","es","none","print_native","","","0.0","2018-06-04"
"337927","http://erbol.com.bo/","erbol.com.bo","BOL","","es","none","video_broadcast","","","0.0","2013-04-08"
"344484","http://urgentebo.com/","urgentebo.com","BOL","","es","none","digital_native","","","0.04","2017-10-23"
"349029","http://elpotosi.net/","elpotosi.net","BOL","BO-P","es","none","print_native","","","0.0","2018-03-19"
"353969","http://elperiodico-digital.com/","elperiodico-digital.com","BOL","BO-T","es","Plurinational State of Bolivia","print_native","","","0.0","2018-05-28"
"361210","http://radiofides.com/","RadioFides.com | Periódico Digital del Grupo Fides de Bolivia","BOL","","es","none","video_broadcast","","","0.01","2016-12-26"
"361212","http://www.ultimasnoticiasbolivia.com/","Ultimas Noticias de Bolivia la mayor información actualizada de noticias de Bolivia noticias online su periodico digital bolivia","BOL","","es","United Kingdom of Great Britain and Northern Ireland","digital_native","","","0.44","2017-01-09"
"361705","http://www.bolivia.com/","Bolivia.com - El portal de los bolivianos","BOL","","es","none","digital_native","","","4.03","2016-12-12"
"361706","http://www.lapalabradelbeni.com.bo/","La Palabra del Beni","BOL","","es","none","print_native","","","0.22","2019-07-08"
"361707","http://lavoz.com.bo/","lavoz.com.bo | Registrado en DonDominio","BOL","BO-C","es","Iowa","print_native","","","0.0","2017-03-06"
"361708","http://www.monteronoticias.com/","Montero Noticias","BOL","BO-S","es","","digital_native","","","0.78","2021-03-29"
"361709","http://www.elnacionaltarija.com/","おまとめローン徹底比較！借金問題を解決するのはこのカードローン！","BOL","BO-T","es","","print_native","","","0.01","2018-07-02"
"361710","http://www.diarionuevosur.com/","INICIO2","BOL","BO-T","es","none","print_native","","","0.99","2017-12-04"
"653639","http://diarioandaluz.com/","Diario Andaluz","BOL","BO-T","es","none","print_native","","","0.07","2017-12-04"
"849734","http://santacruzenelmundo.com/","santacruzenelmundo.com","","","","","","","","0.0","2020-10-05"
"1540896","http://periodicobolivia.com.bo/","periodicobolivia.com.bo","","","","","","","","0.0","2020-10-05"
"1702178","https://www.elnacional.cat/es/tag/bolivia","Bolivia","","","","","","","","0.0","2020-10-05"
