media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38820","http://lefaso.net/","lefaso","BFA","","fr","Centre","digital_native","","","2.73","2013-04-08"
"39153","http://www.zedcom.bf/","zedcom","BFA","BF-03","fr","none","print_native","","","0.0","2013-05-20"
"39412","http://www.lobservateur.bf/","lobservateur","BFA","BF-03","fr","none","print_native","","","0.0","2013-03-11"
"39704","http://www.hebdo.bf/","hebdo","BFA","BF-03","fr","none","print_native","","","0.0","2013-05-20"
"40344","http://www.fasonews.net/","fasonews","BFA","","fr","none","digital_native","","","0.0","2013-05-20"
"40347","http://www.fasopresse.net/","fasopresse","BFA","","fr","Burkina Faso","digital_native","","","0.0","2013-03-11"
"40542","http://www.lepays.bf/","lepays","BFA","BF-03","fr","none","print_native","","","0.41","2013-05-20"
"40747","http://www.rtb.bf/","rtb","BFA","","fr","Burkina Faso","video_broadcast","","","0.23","2013-05-20"
"41121","http://www.fasozine.com/","fasozine","BFA","","fr","none","print_native","","","0.0","2013-02-04"
"41866","http://www.evenement-bf.net/","evenement-bf","BFA","BF-03","fr","none","print_native","","","0.22","2013-05-27"
"542593","http://burkina24.com/","burkina24.com","BFA","","fr","Republic of France","digital_native","","","1.17","2017-10-30"
"622744","http://www.aouaga.com/","A Ouaga","BFA","","fr","","digital_native","","","0.0","2017-10-30"
"622745","http://www.actuburkina.com/","Actu Burkina","BFA","","en","none","digital_native","","","0.01","2018-02-05"
"622746","http://www.sidwaya.bf/","Sidwaya","BFA","BF-03","fr","none","print_native","","","0.96","2019-06-03"
"622747","http://www.aib.bf/","Agence d'Information du Burkina","BFA","","fr","none","other","","","0.89","2019-04-01"
"624192","http://faso-actu.net/","Faso Actu","BFA","","fr","none","digital_native","","","0.32","2017-10-30"
"654918","http://evasion.lepays.bf/","Evasion","BFA","BF-03","fr","none","print_native","","","0.0","2017-06-05"
"654919","http://www.journaldujeudi.com/","Journal du Jeudi","BFA","BF-03","fr","","print_native","","","0.0","2018-07-02"
"654921","http://mutationsbf.net/","Mutations - Burkina Faso","BFA","BF-03","en","none","print_native","","","0.0","2018-06-25"
"654922","http://www.savanefm.bf/","Savane FM","BFA","BF-03","fr","","video_broadcast","","","0.0","2017-12-04"
