media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38713","http://www.alwasatnews.com/","alwasatnews","BHR","","ar","none","print_native","","","0.0","2013-04-01"
"39043","http://www.bna.bh/portal/main","bna","BHR","","ar","Kingdom of Bahrain","other","","","4.63","2013-03-11"
"39448","http://www.akhbar-alkhaleej.com","akhbar","BHR","","ar","none","print_native","","","0.0","2015-10-26"
"39492","http://www.alayam.com/","alayam","BHR","","ar","none","print_native","","","11.29","2016-03-21"
"42103","http://www.bna.bh/portal/en","bna-en","BHR","","en","Kingdom of Bahrain","other","","","4.6","2013-03-25"
"183890","http://alwatannews.net/","alwatannews.net","BHR","","ar","none","print_native","","","15.83","2020-05-18"
"282841","http://madhyamam.com/","madhyamam.com","IND","IN-KL","ml","","print_native","","","70.17","2021-11-22"
"299932","http://bahrainbiznews.com/index.php?lang=en","Bahrain Business News","BHR","","en","Kingdom of Bahrain","digital_native","","","0.0","2016-09-05"
"299933","http://bahrainthismonth.com/","August 2016 | Bahrain This Month","BHR","","en","Kingdom of Bahrain","print_native","","","0.0","2017-08-28"
"312725","http://gdnonline.com/","gdnonline.com","BHR","","en","Kingdom of Bahrain","print_native","","","0.0","2015-04-06"
"312889","http://bahrainnews.net/","bahrainnews.net","BHR","","en","none","digital_native","","","2.87","2018-05-28"
"542003","http://bahrainmirror.com/","bahrainmirror.com","BHR","","none","none","digital_native","","","0.33","2017-10-30"
"547647","http://twentyfoursevennews.com/","twentyfoursevennews.com","BHR","","en","Kingdom of Bahrain","digital_native","","","0.13","2017-10-30"
"548389","http://newsofbahrain.com/","newsofbahrain.com","","","","","","","","0.0","2016-12-12"
"622748","http://www.bizbahrain.com/","Biz Bahrain","BHR","","en","Kingdom of Bahrain","digital_native","","","0.19","2017-10-30"
"653444","http://www.vob.org/?lang=arabic","Voice of Bahrain (Arabic)","BHR","","ar","none","digital_native","","","0.17","2017-12-11"
"653445","http://www.vob.org/?lang=english","Voice of Bahrain (English)","BHR","","ar","none","digital_native","","","0.17","2017-12-11"
"656242","http://www.thejasnews.com/","Thejas","IND","IN-KL","ml","none","print_native","","","7.8","2018-01-08"
"657664","http://www.albiladpress.com/","Al Bilad","SAU","SA-02","ar","West Bengal","print_native","","","9.22","2017-12-04"
"1425802","http://khaleejmag.com/","khaleejmag.com","","","","","","","","0.2","2020-10-12"
"1702139","http://www.gdnonline.com/index.html","Gulf Digital News â€“ Bahrain, Saudi Arabia, United Arab Emirates, Kuwait, Qatar, Oman","","","","","","","","0.0","2020-10-05"
"1702140","http://www.chandrikadaily.com/","Chandrika Daily","","","","","","","","1.91","2020-10-05"
"1702141","https://www.manoramaonline.com/global-malayali/gulf.html#","Gulf","","","","","","","","0.0","2020-10-05"
