media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38870","http://www.alriyadh.com/","alriyadh","SAU","","ar","none","print_native","","","0.0","2013-03-11"
"39332","http://www.aawsat.com/","aawsat","SAU","SA-02","ar","none","print_native","","","2.84","2013-03-18"
"39574","http://al-madina.com/","al-madina","SAU","SA-02","ar","none","print_native","","","18.59","2018-07-16"
"40247","http://www.spa.gov.sa/","spa","SAU","","ar","United Kingdom of Great Britain and Northern Ireland","other","","","0.0","2013-03-18"
"57460","http://alwatan.com.sa/","alwatan.com.sa","SAU","","ar","none","print_native","","","4.82","2019-08-26"
"62169","http://arabnews.com/","arabnews.com","SAU","SA-02","en","none","print_native","","","3.08","2013-05-06"
"67247","http://www.saudigazette.com.sa/#spider","saudigazette.com.sa","SAU","SA-02","en","none","print_native","","","5.6","2018-07-16"
"92581","http://alhayat.com/#spider","alhayat.com","SAU","SA-02","ar","none","print_native","","","0.0","2018-07-16"
"108608","http://al-jazirah.com/","al-jazirah.com","SAU","","ar","none","print_native","","","6.01","2017-12-04"
"108989","http://alyaum.com/","alyaum.com","SAU","","ar","none","print_native","","","10.96","2018-01-29"
"144301","http://aleqt.com/","aleqt.com","SAU","","ar","none","print_native","","","2.26","2017-12-18"
"266483","http://okaz.com.sa/","okaz.com.sa","SAU","SA-02","ar","Islamic Republic of Iran","print_native","","","11.8","2019-08-26"
"300061","http://saudidailyrecord.net/index.php?lang=en","Saudi Daily Report","SAU","","en","","digital_native","","","0.0","2018-04-30"
"349566","http://makkahnewspaper.com/","makkahnewspaper.com","SAU","SA-02","ar","none","print_native","","","11.39","2018-07-16"
"657664","http://www.albiladpress.com/","Al Bilad","SAU","SA-02","ar","West Bengal","print_native","","","9.22","2017-12-04"
"1363169","http://urdunews.com/","urdunews.com","","","","","","","","0.0","2019-04-29"
