media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"58011","http://newtimes.co.rw/","newtimes.co.rw","RWA","RW-01","en","Republic of Rwanda","print_native","","","2.06","2018-08-27"
"270016","http://umurimo.com/","umurimo.com","","","","","","","","0.0","2020-10-12"
"300060","http://rwandawire.com/","RwandaWire - Rwanda News Wire","RWA","","en","Republic of Rwanda","digital_native","","","0.0","2016-08-15"
"300433","http://www.newsofrwanda.com/","News Of Rwanda – Rwanda News","RWA","","en","Republic of Rwanda","digital_native","","","0.0","2016-06-13"
"300504","http://www.rnanews.com/","Rwanda News Agency / Agence Rwandaise d'Information (ARI-RNA)","RWA","","en","Kigali Province","other","","","0.64","2016-08-22"
"322227","http://kigalitoday.com/","kigalitoday.com","","","","","","","","1.76","2020-10-12"
"332627","http://igihe.com/","igihe.com","","","","","","","","0.0","2020-10-12"
"357083","http://rwandapaparazzi.rw/","rwandapaparazzi.rw","","","","","","","","0.0","2020-09-28"
"550764","http://ktpress.rw/","ktpress.rw","","","","","","","","0.47","2020-10-12"
"622751","http://imvahonshya.co.rw/","Imvaho Nshya","RWA","RW-01","rw","Republic of Rwanda","print_native","","","0.0","2017-10-30"
"657639","http://www.rba.co.rw/","Rwanda Broadcasting Agency","RWA","","rw","","video_broadcast","","","0.0","2017-12-04"
"657640","http://www.therwandan.com/","Rwandan","RWA","","en","Republic of Rwanda","digital_native","","","0.14","2018-01-01"
"731005","http://radiomaria.rw/","radiomaria.rw","","","","","","","","0.08","2020-01-06"
"834588","http://umuseke.rw/","umuseke.rw","","","","","","","","0.0","2017-02-13"
"844896","http://inyarwanda.com/","inyarwanda.com","","","","","","","","0.0","2017-09-11"
"907427","http://unictr.irmct.org/","unictr.irmct.org","","","","","","","","0.0","2015-06-22"
"1089857","http://rwandaises.com/","rwandaises.com","","","","","","","","0.28","2020-10-05"
"1180540","http://hose.rw/","hose.rw","","","","","","","","0.11","2020-10-12"
"1408102","http://rwandatoday.africa/","rwandatoday.africa","","","","","","","","0.22","2020-09-21"
"1720504","http://umuryango.rw/eng/","English Version | Umuryango","","","","","","","","3.48","2020-10-12"
"1720508","http://en.ukwezi.rw/","Ukwezi News","","","","","","","","0.0","2020-10-19"
"1720509","http://ibyamamare.com/","IBYAMAMARE.com | Rwandan Online News Website","","","","","","","","0.53","2020-10-12"
"1720510","http://www.newsofrwanda.com/category/english/","English | | News Of Rwanda – Rwanda News News Of Rwanda – Rwanda News","","","","","","","","0.0","2017-08-07"
"1720511","http://www.intyoza.com/","Intyoza","","","","","","","","0.28","2020-10-12"
"1720512","https://rugali.com/","Rugali - Amakuru ashyushye yo mu karere","","","","","","","","0.2","2020-10-12"
"1720513","http://www.musabyimana.net/","Actualité/informations et documentation socio-politiques sur le Rwanda | musabyimana.net","","","","","","","","0.12","2020-07-06"
"1720514","https://www.jambonews.net/en/","Jambo News – Restons informés","","","","","","","","0.0","2021-11-22"
"1720515","https://www.lerwandais.com/","LeRwandais - Grand Lacs, Rwanda, Burundi, RDC, Uganda, Kenya and Tanzania","","","","","","","","0.17","2020-08-24"
