media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"5829","http://jp.techcrunch.com","TechCrunch Japan","","","ja","none","","","","0.0","2011-10-17"
"6003","https://gigazine.net/","GIGAZINE","","","ja","none","","","","1.72","2011-01-31"
"6248","http://www.asahi.com/","asahi.com","JPN","JP-13","ja","Japan","print_native","","","13.6","2012-06-18"
"38717","http://www.news-kushiro.co.jp/","news-kushiro","JPN","JP-01","ja","none","print_native","","","0.0","2018-06-04"
"38791","http://www.agara.co.jp/","agara","JPN","JP-30","ja","none","print_native","","","0.61","2017-05-15"
"38802","http://www.shikoku-np.co.jp/","shikoku-np","JPN","JP-37","ja","none","print_native","","","15.3","2013-05-27"
"38849","http://www.nikkei.com","nikkei","JPN","JP-13","ja","none","print_native","","","0.0","2013-07-15"
"38913","http://www.nikkan.co.jp/","nikkan","JPN","JP-13","ja","none","print_native","","","6.52","2015-11-09"
"38943","http://www.worldtimes.co.jp/","worldtimes","JPN","JP-13","ja","none","print_native","","","0.52","2016-02-29"
"39085","http://www.mainichi.co.jp/","mainichi","","","ja","none","","","","0.0","2014-05-05"
"39089","http://www.iwate-np.co.jp/","iwate-np","JPN","JP-03","en","none","print_native","","","0.0","2013-05-20"
"39142","http://www.nagano-np.co.jp/","nagano-np","JPN","JP-20","ja","none","print_native","","","0.76","2017-03-20"
"39180","http://webun.jp/news","webun","JPN","JP-16","ja","none","print_native","","","0.0","2013-03-11"
"39314","http://www.chubun.com/","chubun","JPN","","zh","","print_native","","","0.0","2013-09-16"
"39400","http://jp.ibtimes.com/","ibtimes-jp","JPN","","ja","none","digital_native","","","0.0","2013-03-11"
"39419","http://www.chibanippo.co.jp","chibanippo","JPN","JP-12","ja","none","print_native","","","1.79","2013-05-20"
"39487","http://www.nnn.co.jp/","nnn","JPN","JP-31","ja","none","print_native","","","0.83","2016-10-17"
"39545","http://www.chiba-shinbun.co.jp/","chiba-shinbun","JPN","JP-12","ja","none","print_native","","","0.0","2013-07-15"
"39580","http://www.kyodo.co.jp/","kyodo","","","ja","none","","","","3.29","2013-09-23"
"39588","http://www.nhk.or.jp/","nhkor","JPN","","ja","none","video_broadcast","","","18.83","2013-03-11"
"39632","http://www.minpo.jp/","minpo","JPN","JP-07","ja","none","print_native","","","0.0","2013-07-15"
"39857","http://www.iwanichi.co.jp/","iwanichi","JPN","JP-03","ja","none","print_native","","","0.61","2015-12-28"
"39919","http://www.shimanenichinichi.co.jp/","shimanenichinichi","JPN","JP-32","en","none","print_native","","","0.0","2013-03-11"
"39950","http://www.toonippo.co.jp","toonippo","JPN","JP-02","ja","none","print_native","","","2.73","2013-03-18"
"40037","http://ryukyushimpo.jp/","ryukyushimpo","JPN","JP-47","ja","none","print_native","","","0.01","2013-05-27"
"40059","http://www.ehime-np.co.jp/","ehime-np","JPN","JP-38","ja","none","print_native","","","0.08","2013-05-27"
"40070","http://www.sanin-chuo.co.jp/","sanin-chuo","JPN","JP-32","ja","none","print_native","","","0.0","2013-05-27"
"40082","http://www.topics.or.jp/","topics","JPN","JP-36","ja","United States","print_native","","","1.08","2013-03-18"
"40188","http://www.daily-tohoku.co.jp/","daily-tohoku","JPN","JP-02","ja","none","print_native","","","7.36","2019-05-27"
"40225","http://www.oita-press.co.jp/","oita-press","JPN","JP-44","ja","none","print_native","","","0.0","2013-09-09"
"40372","http://yamagata-np.jp/","yamagata-np","JPN","JP-06","ja","none","print_native","","","1.56","2013-03-18"
"40478","http://www.niigata-nippo.co.jp/","niigata-nippo","JPN","JP-15","en","none","print_native","","","0.0","2020-05-25"
"40523","http://english.kyodonews.jp/","kyodonews","JPN","","en","Japan","other","","","0.0","2013-03-18"
"40526","http://www.chugoku-np.co.jp/","chugoku-np","JPN","JP-34","ja","none","print_native","","","0.0","2018-05-28"
"40616","http://www.isenp.co.jp/","isenp","JPN","JP-24","ja","none","print_native","","","0.66","2017-12-04"
"40699","http://www.japanupdate.com/","japanupdate","JPN","JP-47","en","Japan","print_native","","","0.0","2013-03-18"
"40767","http://www.iwaki-minpo.co.jp/","iwaki-minpo","JPN","JP-07","ja","none","print_native","","","0.24","2013-03-18"
"40798","http://jp.reuters.com/","reuters-jp","JPN","","ja","United States","other","","","0.0","2013-05-27"
"40884","http://www.saitama-np.co.jp/","saitama-np","JPN","JP-11","ja","none","print_native","","","0.0","2013-07-15"
"40972","http://www.kochinews.co.jp/","kochinews","JPN","JP-39","ja","none","print_native","","","0.0","2016-07-04"
"40998","http://www.kobe-np.co.jp/","kobe-np","JPN","JP-28","ja","none","print_native","","","0.0","2013-05-27"
"41013","http://www.japantimes.co.jp/","Japan Times","JPN","JP-13","en","none","print_native","","","3.63","2013-03-18"
"41075","http://www.tokachi.co.jp/","tokachi","JPN","JP-01","ja","Japan","print_native","","","0.48","2013-03-11"
"41113","http://www.shinmai.co.jp/","shinmai","JPN","JP-20","ja","none","print_native","","","0.0","2013-03-18"
"41134","http://www.hakodateshinbun.co.jp/","hakodateshinbun","JPN","JP-01","ja","none","print_native","","","0.0","2017-09-11"
"41136","http://www.minyu-net.com/","minyu-net","JPN","JP-07","ja","none","print_native","","","0.0","2013-07-22"
"41234","http://www.shimotsuke.co.jp/","shimotsuke","JPN","JP-09","ja","none","print_native","","","2.17","2013-03-18"
"41260","http://kumanichi.com/index.shtml","kumanichi","JPN","JP-43","ja","none","print_native","","","0.0","2013-08-19"
"41282","http://www.sankei.com/","sankei-kansai","JPN","JP-27","ja","none","print_native","","","0.0","2013-03-18"
"41287","http://www.saga-s.co.jp/","saga-s","JPN","JP-41","ja","none","print_native","","","3.78","2013-03-11"
"41308","http://www.sannichi.co.jp/","sannichi","JPN","JP-19","ja","none","print_native","","","0.0","2016-10-10"
"41433","http://www.raijin.com/","raijin","JPN","JP-10","ja","none","print_native","","","0.0","2015-11-23"
"41434","http://www.sakigake.jp/","sakigake","JPN","JP-05","ja","none","print_native","","","2.16","2013-05-20"
"41441","http://www.ubenippo.co.jp/","ubenippo","JPN","JP-35","ja","none","print_native","","","1.16","2019-02-25"
"41448","http://www.chunichi.co.jp/","chunichi","JPN","JP-23","ja","none","print_native","","","0.0","2016-08-22"
"41566","http://japan.cna.com.tw/","focustaiwan-ja","TWN","","ja","none","other","","","0.0","2013-07-15"
"41580","http://373news.com/","373news","JPN","JP-46","ja","none","print_native","","","0.0","2013-03-18"
"41630","http://www.tokyo-np.co.jp/","tokyo-np","JPN","JP-13","ja","Japan","print_native","","","0.0","2013-07-15"
"41640","http://www.nishinippon.co.jp/","nishinippon","JPN","JP-40","ja","none","print_native","","","4.43","2017-05-15"
"41759","http://www.asahi.com/english/","asahi","JPN","JP-13","en","Japan","print_native","","","13.6","2013-05-27"
"41803","http://www.y-mainichi.co.jp/","y-mainichi","JPN","JP-47","ja","none","print_native","","","0.42","2013-03-18"
"41908","http://www.minato-yamaguchi.co.jp/yama/","minato-yamaguchi","JPN","JP-35","ja","none","print_native","","","0.0","2013-07-15"
"41940","http://www.nagasaki-np.co.jp/index.shtml","nagasaki-np","JPN","JP-42","ja","none","print_native","","","0.0","2013-07-15"
