media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38873","http://www.finance.si/","finance","SVN","","sl","none","print_native","","","0.67","2013-03-11"
"38930","http://www.mladina.si/","mladina","SVN","","sl","none","print_native","","","1.26","2013-05-20"
"39256","http://www.dnevnik.si/","Dnevnik","SVN","","sl","none","print_native","","","7.0","2013-03-11"
"39359","http://www.zurnal24.si/","zurnal24","SVN","","sl","none","print_native","","","4.88","2013-05-20"
"40112","http://www.vecer.si","vecer","SVN","","sl","none","print_native","","","0.0","2013-03-18"
"40160","http://www.sta.si/","sta","SVN","","sl","none","other","","","19.17","2015-10-05"
"40818","http://www.morel.si","morel","SVN","","sl","none","other","","","0.0","2013-03-18"
"41114","http://www.delo.si/","delo","SVN","","sl","none","print_native","","","6.71","2013-03-18"
"41119","http://www.primorske.si/","primorske","SVN","","sl","none","print_native","","","0.0","2013-03-18"
"41828","http://www.rtvslo.si/","rtvslo","SVN","","sl","Republic of Slovenia","video_broadcast","","","11.1","2013-03-18"
"42056","http://www.gorenjskiglas.si/","gorenjskiglas","SVN","","sl","Republic of Slovenia","print_native","","","2.73","2013-03-25"
"263467","http://vecer.com/","vecer.com","SVN","","sl","none","print_native","","","0.0","2017-10-30"
"331919","http://24ur.com/","24ur.com","SVN","","sl","United States","video_broadcast","","","5.48","2017-11-06"
"333868","http://slovenskenovice.si/","slovenskenovice.si","","","","","","","","6.63","2020-10-12"
"346345","http://demokracija.si/","demokracija.si","SVN","","sl","none","print_native","","","2.0","2018-07-23"
"448316","http://sloveniatimes.com/","sloveniatimes.com","SVN","","en","Republic of Slovenia","print_native","","","0.22","2017-12-04"
"551634","http://novice.svet24.si/","novice.svet24.si","","","","","","","","3.73","2020-10-12"
"622755","http://www.si21.com/","Si 21","SVN","","sl","none","digital_native","","","5.14","2017-10-16"
"657456","http://www.nepujsag.net/","Nepujsag - Slovenia","SVN","","hu","none","print_native","","","0.06","2017-12-04"
"657793","http://www.dolenjskilist.si/si/","Dolenjski List","SVN","","sl","none","print_native","","","1.17","2017-12-04"
"657795","http://www.druzina.si/","Druzina","SVN","","sl","none","print_native","","","0.0","2013-06-03"
"657796","http://www.ekipa24.si/","Ekipa 24","SVN","","sl","United States","print_native","","","3.22","2017-12-04"
"657797","http://www.ljubljanskenovice.si/","Ljubljanske Novice","SVN","","sl","none","digital_native","","","0.33","2017-12-04"
"657799","http://www.novitednik.si/","Novi Tednik","SVN","","sl","none","print_native","","","0.02","2017-12-04"
