media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"40743","http://www.dnevni-list.ba","DnevniList-sr","BIH","BA-BIH","hr","none","print_native","","","0.0","2015-09-21"
"40797","http://www.nezavisne.com","nezavisne","BIH","BA-SRP","sr","none","print_native","","","12.59","2013-03-18"
"61319","http://oslobodjenje.ba/","oslobodjenje.ba","BIH","BA-09","hr","none","print_native","","","0.0","2017-11-06"
"64699","http://pressonline.rs/","pressonline.rs","SRB","RS-00","sr","Texas","print_native","","","0.96","2013-05-06"
"287436","http://klix.ba/","klix.ba","BIH","","bs","none","digital_native","","","0.0","2017-11-06"
"287478","http://avaz.ba/","avaz.ba","BIH","BA-09","hr","none","print_native","","","18.62","2017-11-06"
"300272","http://www.fena.co.ba/category/32","News in English | FENA","BIH","","en","Bosnia and Herzegovina","other","","","0.0","2016-10-10"
"300455","http://www.ohr.int/?lang=en","Office of the High Representative","BIH","","en","Bosnia and Herzegovina","digital_native","","","0.14","2016-06-06"
"342076","http://ba.n1info.com/","ba.n1info.com","BIH","","bs","Bosnia and Herzegovina","video_broadcast","","","10.82","2017-10-30"
"353242","http://rtrs.tv/","rtrs.tv","BIH","","sr","United States","video_broadcast","","","0.0","2017-10-30"
"356419","http://akta.ba/","akta.ba","BIH","","bs","Bosnia and Herzegovina","digital_native","","","1.94","2017-11-06"
"361294","http://www.atv.sr/","ATV","BIH","BA-SRP","en","United States","video_broadcast","","","0.26","2016-12-26"
"381335","http://vecernji.ba/","vecernji.ba","BIH","BA-BIH","hr","United States","print_native","","","5.51","2017-12-04"
"507710","http://24sata.info/","24sata.info","BIH","","none","United States","digital_native","","","0.11","2017-10-30"
"520696","http://bhrt.ba/","bhrt.ba","BIH","","bs","Provincia del Chimborazo","video_broadcast","","","0.01","2017-11-06"
"521024","http://slobodna-bosna.ba/","slobodna-bosna.ba","BIH","","hr","none","print_native","","","16.13","2017-10-30"
"521491","http://federalna.ba/","federalna.ba","BIH","","bs","","video_broadcast","","","0.0","2018-06-25"
"561960","http://fokus.ba/","fokus.ba","BIH","BA-SRP","bs","none","print_native","","","4.59","2017-12-04"
"622761","http://www.hayat.ba/","Hayat","BIH","","none","United States","video_broadcast","","","14.99","2017-12-04"
"622762","http://www.tv1.ba/","TV1","BIH","","bs","none","video_broadcast","","","0.0","2018-09-24"
"622763","http://ba.ekapija.com/","E Kapija - Bosnia and Herzegovina (Bosnian)","BIH","","bs","","digital_native","","","0.0","2017-10-30"
"622764","http://www.haber.ba/","Haber","BIH","","hr","United States","digital_native","","","4.31","2017-11-06"
"622765","http://mondo.ba/","Mondo - Bosnia and Herzegovina","BIH","","sr","none","digital_native","","","9.74","2017-10-16"
"622766","http://www.tvojsvijet.com/","Tvoj Svijet","BIH","","sr","","digital_native","","","0.0","2018-11-26"
"622767","https://www.bhdani.ba/","BH Dani","BIH","","bs","","print_native","","","0.0","2018-02-19"
"622768","http://www.hrvatska-rijec.com/","Hrvatska Rijec","BIH","","hr","","print_native","","","0.12","2018-10-22"
"622769","http://www.novireporter.com/","Reporter","BIH","","sr","","print_native","","","0.0","2021-05-24"
"622770","http://rsplaneta.com/","RS Planeta","BIH","","sr","","print_native","","","0.0","2020-04-13"
"622771","http://www.startbih.info/","Start - Bosnia and Herzegovina","BIH","","none","United Kingdom of Great Britain and Northern Ireland","print_native","","","0.0","2017-11-06"
"622772","http://www.fena.co.ba/","FENA - Bosnia and Herzegovina (Bosnian)","BIH","","bs","Bosnia and Herzegovina","other","","","0.0","2017-11-06"
"622773","http://www.onasa.com.ba/","ONASA","BIH","","bs","","other","","","0.0","2018-02-19"
"653651","http://www.rtvhit.com/","RTV Hit","BIH","BA-BRC","bs","none","video_broadcast","","","0.61","2017-12-04"
"653652","http://www.rtvbpk.com/","RTV BPK","BIH","BA-BIH","bs","none","video_broadcast","","","1.24","2018-06-04"
"653653","http://www.radiotomislavgrad.com/","Radio Tomislavgrad","BIH","BA-BIH","hr","","video_broadcast","","","0.0","2017-12-04"
"653654","http://tvsa.ba/","TVSA","BIH","BA-09","bs","none","video_broadcast","","","0.76","2020-03-30"
"653655","http://www.rtvvogosca.com.ba/","RTV Vogosca","BIH","BA-09","bs","none","video_broadcast","","","0.38","2017-12-04"
"653656","http://rtvbugojno.ba/","RTV Bugojno","BIH","BA-06","bs","","video_broadcast","","","0.0","2017-10-30"
"653657","http://radiosrebrenik.ba/","Radio Srebrenik","BIH","BA-03","bs","Provincia del Chimborazo","video_broadcast","","","1.08","2017-12-04"
"653658","http://www.rtvslon.ba/","RTV Slon","BIH","BA-03","bs","none","video_broadcast","","","2.37","2017-12-04"
"653659","http://www.rtvtk.ba/","RTV TK","BIH","BA-03","bs","none","video_broadcast","","","2.07","2017-12-11"
"653660","http://www.rtvbihac.ba/","Radio Bihac","BIH","BA-BIH","bs","","video_broadcast","","","0.0","2017-12-04"
"653661","http://www.rtvusk.ba/","RTV USK","BIH","BA-BIH","bs","","video_broadcast","","","0.0","2018-01-22"
"653662","http://rtvcazin.ba/","RTV Cazin","BIH","BA-BIH","none","none","video_broadcast","","","0.11","2018-02-19"
"653663","http://www.radioljubuski.ba/","Radio Ljubuski","BIH","BA-BIH","hr","","video_broadcast","","","3.02","2021-03-29"
"653664","http://www.nasarijec.ba/","Nasa Rijec","BIH","BA-BIH","bs","","print_native","","","0.2","2018-06-18"
"653665","http://rtvze.ba/","RTV ZE","BIH","BA-BIH","bs","Provincia del Chimborazo","video_broadcast","","","1.47","2017-12-04"
"653666","http://www.glassrpske.com/index-cir.html","Glas Srpske","BIH","BA-SRP","sr","","print_native","","","0.0","2017-12-04"
"653667","http://www.nesradio.com/","Nes Radio","BIH","BA-SRP","sr","","video_broadcast","","","0.0","2017-12-04"
"653668","http://www.palelive.com/","Pale Live","BIH","BA-SRP","bs","none","digital_native","","","1.17","2017-12-04"
"653669","http://www.rtvbn.com/","RTV BN","BIH","BA-SRP","sr","Maryland","video_broadcast","","","0.0","2017-12-04"
"653670","http://rtvslobomir.com/","RTV Slobomir","BIH","BA-SRP","none","none","video_broadcast","","","0.0","2017-12-04"
"653671","http://www.glastb.com/","Glas Trebinje","BIH","BA-SRP","zh","none","print_native","","","0.0","2018-06-11"
