media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"18212","http://dostor.org","الدستور","EGY","","ar","none","print_native","","","0.0","2012-09-17"
"38786","https://alqabas.com/","alqabas","KWT","","ar","none","print_native","","","0.0","2015-11-16"
"38876","http://www.aljarida.com/","aljarida","KWT","","ar","none","print_native","","","0.0","2013-03-11"
"39414","http://alwatan.kuwait.tt/","alwatan-kw","KWT","","ar","none","print_native","","","0.01","2013-05-20"
"40184","http://www.kuwaittimes.net/","kuwaittimes","KWT","","en","State of Kuwait","print_native","","","1.62","2015-09-28"
"41458","http://www.al-seyassah.com/","al-seyassah","KWT","","ar","none","print_native","","","0.0","2017-11-06"
"42005","http://www.alanba.com.kw/newspaper/","alanba","KWT","","ar","none","print_native","","","25.73","2013-03-04"
"179115","http://alraimedia.com/","alraimedia.com","KWT","","ar","none","print_native","","","24.0","2017-10-30"
"266615","http://alshahedkw.com/","alshahedkw.com","KWT","","ar","none","print_native","","","0.76","2020-06-08"
"300054","http://q8dailynews.com/index.php?lang=en","Kuwait Daily News","KWT","","en","","digital_native","","","0.0","2017-11-27"
"300347","http://www.kuna.net.kw/default.aspx?language=en","KUNA :: Kuwait News Agency - News and Events - Kuwait","KWT","","en","none","other","","","2.98","2016-08-15"
"622774","http://www.kuwaitnews.com/","Kuwait News","KWT","","ar","none","digital_native","","","1.3","2021-06-07"
"622775","http://www.al-forqan.net/","Al Forqan","KWT","","ar","","print_native","","","0.0","2017-10-30"
"622776","http://www.alyaqza.com/","Al Yaqza","KWT","","ar","none","print_native","","","0.0","2018-06-18"
"622777","http://www.anhaar.com/","Anhaar","KWT","","ar","Palestine","print_native","","","0.1","2017-10-30"
"622778","http://www.kuna.net.kw/Default.aspx?language=ar","Kuwait News Agency - Kuwait (Arabic)","KWT","","ar","State of Kuwait","other","","","5.03","2017-11-20"
"656629","http://www.alkhabarkw.com/","Al Khabar","KWT","","ar","none","print_native","","","0.0","2017-12-11"
"656630","http://altaleea.com/","Al Taleea","KWT","","","","print_native","","","0.0","2016-03-21"
"656631","http://www.alwasat.com.kw/","Alwasat","KWT","","ar","","print_native","","","0.0","2017-12-04"
"656632","http://www.annaharkw.com/annahar/","Annahar","KWT","","ar","none","print_native","","","0.0","2018-01-01"
"656633","http://www.arabtimesonline.com/arabtimes/","Arab Times","KWT","","en","State of Kuwait","print_native","","","1.41","2017-12-04"
"1715797","http://www.alsabahpress.com/","الرئيسية | الصباح","","","","","","","","0.0","2020-11-09"
"1715798","https://kuwaitalyawm.media.gov.kw/","الصفحة الرئيسية","","","","","","","","0.0","2020-10-12"
"1715799","http://afaq.kuniv.edu/","ÌÑíÏÉ ÂİÇŞ -ÌÑíÏÉ ÇÓÈæÚíÉ ÌÇãÚíÉ - ÌÇãÚÉ ÇáßæíÊ","","","","","","","","0.0","2020-10-12"
"1715801","https://www.khaleejtimes.com/region/kuwait","Khaleej Times - Kuwait","","","","","","","","0.0","2020-10-12"
