media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"21906","http://jordantimes.com","jordantimes.com","JOR","","en","none","print_native","","","0.88","2017-12-04"
"29565","http://www.7iber.com#spider","7iber.com","","","ar","Hashemite Kingdom of Jordan","","","","0.53","2019-10-28"
"39434","http://www.alrai.com/","alrai","JOR","","ar","none","print_native","","","0.0","2016-07-04"
"39783","http://www.addustour.com/","addustour","JOR","","ar","none","print_native","","","0.0","2013-05-20"
"40033","http://www.alanbat.net/","alanbat","","","ar","Hashemite Kingdom of Jordan","","","","0.0","2013-03-18"
"41325","http://www.aliwaa.com/","aliwaa","LBN","","ar","none","print_native","","","0.0","2013-03-18"
"56398","http://aramram.com/","aramram.com","","","ar","none","","","","0.0","2011-05-09"
"64052","http://ammonnews.net/","ammonnews.net","JOR","","ar","none","digital_native","","","0.0","2013-07-22"
"66934","http://www.almasreyeenalahrrar.org","الرئيسية","DZA","DZ-16","ar","none","print_native","","","0.0","2015-11-09"
"74291","http://www.petra.gov.jo/#spider","petra.gov.jo","","","","","","","","0.0","2019-12-30"
"88288","http://www.jo24.net/#spider","jo24.net","","","","","","","","0.0","2019-12-30"
"90687","http://en.ammonnews.net/#spider","en.ammonnews.net","JOR","","en","none","digital_native","","","4.93","2021-05-31"
"100596","http://www.alghad.com/#spider","alghad.com","JOR","","ar","none","print_native","","","6.5","2019-03-04"
"108563","http://khaberni.com/","khaberni.com","JOR","","ar","none","digital_native","","","14.23","2019-06-10"
"108957","http://jbcnews.net/","jbcnews.net","","","","","","","","0.0","2018-04-23"
"109891","http://assabeel.net/","assabeel.net","JOR","","ar","none","print_native","","","5.73","2017-12-04"
"110332","http://alarabalyawm.net/","alarabalyawm.net","JOR","","","","print_native","","","0.0","2014-12-08"
"119246","http://jordanzad.com/","jordanzad.com","","","","","","","","0.0","2014-02-03"
"119663","http://allofjo.net/","allofjo.net","","","","","","","","0.0","2014-08-11"
"123705","http://ar.ammannet.net/","ar.ammannet.net","JOR","","ar","Jerusalem","video_broadcast","","","0.0","2019-06-10"
"123846","http://almajd.net/","almajd.net","JOR","","ar","none","print_native","","","0.88","2017-12-04"
"218993","http://almadenahnews.com/","almadenahnews.com","","","ar","none","","","","14.86","2020-02-17"
"299925","http://ammannewsdaily.com/index.php?lang=en","Amman Daily News","JOR","","en","","digital_native","","","0.0","2018-05-14"
"300010","http://jrtv.gov.jo/?lang=ar","التلفزيون الأردني","JOR","","en","Hashemite Kingdom of Jordan","video_broadcast","","","0.0","2016-08-15"
"300140","http://www.ammantoday.com/","Amman Guide , Jordan الدليل الشامل لمدينة عمان الكبرى","JOR","","en","Muḩāfaz̧at `Ammān","digital_native","","","0.0","2016-10-10"
"300474","http://petra.gov.jo/Include/Main.jsp?lang=ar","Petra Jordan News Agency","JOR","","en","Hashemite Kingdom of Jordan","other","","","1.73","2016-09-05"
"622779","http://medianewschannel.net/","Media News Channel","JOR","","ar","none","digital_native","","","0.0","2017-10-30"
"622780","http://www.sarayanews.com/","Saraya","JOR","","ar","none","digital_native","","","0.0","2018-03-26"
"622781","http://www.petra.gov.jo/Public/Main_arabic.aspx","Petra - Jordan (Arabic)","JOR","","ar","Hashemite Kingdom of Jordan","other","","","7.74","2017-11-06"
"656572","http://www.hashd-ahali.com/main/ahali/","Al Ahali","JOR","","ar","none","print_native","","","0.14","2017-12-04"
"656573","http://www.alanbatnews.net/","Al Anbat","JOR","","ar","Hashemite Kingdom of Jordan","print_native","","","0.58","2018-06-11"
"858302","http://royanews.tv/","royanews.tv","","","en","none","","","","6.63","2020-01-20"
"882430","http://jfranews.com.jo/","jfranews.com.jo","","","","","","","","0.0","2018-09-10"
"1216601","http://factjo.com/",":: وكالة الحقيقة الدولية الاخبارية ::","","","","","","","","0.0","2019-03-11"
