media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39258","https://sun.mv/","Sun Online","MDV","MV-MLE","en","none","print_native","","","0.0","2013-03-18"
"40949","https://maldivesindependent.com/","Maldives Independent ","MDV","","en","Republic of Maldives","digital_native","","","0.0","2013-03-18"
"109629","http://sun.mv/","sun.mv","MDV","","dv","Republic of Maldives","digital_native","","","0.0","2017-11-06"
"110452","http://vnews.mv/","vnews.mv","MDV","","dv","United States","video_broadcast","","","1.61","2018-01-08"
"221869","http://miadhu.com/","miadhu.com","MDV","MV-MLE","en","","print_native","","","0.0","2017-12-11"
"300372","http://www.maldivestimes.com/","Maldives Times |","MDV","","en","Republic of Maldives","digital_native","","","0.0","2017-08-14"
"300547","http://www.sun.mv/english/","Sun Online: Maldives News, Politics, Sports, Travel, Business, Technology, Entertainment and Breaking News","MDV","","en","none","digital_native","","","0.0","2016-08-15"
"300616","http://www.vnews.mv/en","vnews","MDV","","en","none","video_broadcast","","","0.0","2018-01-08"
"311515","http://raajje.mv/","raajje.mv","","","dv","Republic of Maldives","","","","0.0","2018-12-31"
"337217","http://mihaaru.com/","mihaaru.com","","","","","","","","0.0","2020-10-12"
"343630","http://avas.mv/","avas.mv","","","dv","Republic of Maldives","","","","0.0","2018-01-29"
"351645","http://miadhu.mv/","miadhu.mv","","","","","","","","0.0","2020-10-12"
"351701","http://vaguthu.mv/","vaguthu.mv","","","dv","none","","","","3.27","2018-03-05"
"558445","http://psmnews.mv/","psmnews.mv","","","","","","","","2.34","2020-10-12"
"563452","http://dhuvas.mv/","dhuvas.mv","","","dv","none","","","","1.61","2018-03-12"
"622785","http://www.kavaasaa.com/","Kavaasa","MDV","","dv","","digital_native","","","0.0","2015-12-07"
"622786","http://mikalnews.com/","Mikal News","MDV","","dv","none","digital_native","","","0.17","2019-06-10"
"622788","http://www.udhares.com.mv/","Udhares Weekly","MDV","","dv","","print_native","","","0.0","2017-10-30"
"843923","http://addulive.com/","addulive.com","","","","","","","","2.84","2020-10-12"
"1199101","http://cnm.mv/","cnm.mv","","","","","","","","0.0","2020-10-12"
"1234861","http://dhiislam.com/","dhiislam.com","","","","","","","","0.16","2020-10-05"
"1383193","http://aonews.mv/","aonews.mv","","","","","","","","0.73","2020-10-12"
"1385942","http://haftha.mv/","haftha.mv","","","","","","","","0.98","2020-10-12"
"1387102","http://oneonline.mv/","oneonline.mv","","","","","","","","0.0","2020-10-12"
"1598087","http://iru.mv/","iru.mv","","","","","","","","0.11","2020-10-12"
"1692697","http://dhiyares.com/","dhiyares.com","","","","","","","","0.0","2020-10-12"
"1716027","https://jazeeranews.mv/","Jazeera News","","","","","","","","0.0","2020-10-12"
"1716028","https://mbsnews.mv/","Maldives Business Standard - Leading Business News","","","","","","","","0.5","2020-10-12"
"1716029","https://thepress.mv/","ThePress - The first political news website in the Maldives","","","","","","","","1.89","2020-10-12"
"1716031","https://hoara.mv/","Hoara Online | News, Politics, Stories of Maldives","","","","","","","","0.0","2020-10-12"
"1716032","https://dhidaily.com/","Dhidaily","","","","","","","","1.7","2020-10-12"
