media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"41408","http://www.jamaica-gleaner.com/","jamaicagleaner","JAM","JM-01","","","print_native","","","8.07","2013-03-18"
"41722","http://www.jis.gov.jm/","jis","JAM","","en","Jamaica","digital_native","","","0.9","2013-03-18"
"59693","http://jamaicaobserver.com/","jamaicaobserver.com","JAM","JM-01","","","print_native","","","4.01","2013-05-06"
"91938","http://www.bessfm.com/#spider","bessfm.com","JAM","JM-01","en","Jamaica","video_broadcast","","","0.0","2018-09-03"
"110366","http://jamaica-star.com/","jamaica-star.com","JAM","JM-01","en","none","print_native","","","0.67","2016-08-15"
"128488","http://televisionjamaica.com/","televisionjamaica.com","JAM","","en","none","video_broadcast","","","0.0","2016-10-10"
"128850","http://iriefm.net/","iriefm.net","JAM","JM-01","en","","video_broadcast","","","0.69","2020-11-02"
"131129","http://cvmtv.com/","cvmtv.com","JAM","JM-01","en","Jamaica","video_broadcast","","","0.69","2018-05-28"
"143509","http://go-jamaica.com/","go-jamaica.com","JAM","","en","Jamaica","digital_native","","","0.93","2016-08-15"
"143609","http://loopjamaica.com/","loopjamaica.com","JAM","","en","none","digital_native","","","1.01","2016-08-15"
"213202","http://rjrnewsonline.com/","rjrnewsonline.com","JAM","","en","none","video_broadcast","","","2.56","2016-08-15"
"300338","http://www.jamaicainquirer.com/","Jamaica News","JAM","","en","none","digital_native","","","3.39","2016-08-15"
"300339","http://www.jamaicanewsbulletin.com/","Jamaica News Bulletin - Jamaican News, Sports and Entertainment","JAM","","en","","digital_native","","","0.0","2016-02-15"
"307645","http://jamaicans.com/","jamaicans.com","JAM","","en","none","digital_native","","","0.28","2017-10-30"
"313786","http://suncityradio.fm/","suncityradio.fm","JAM","JM-01","en","Jamaica","video_broadcast","","","0.0","2017-12-04"
"320303","http://nationwideradiojm.com/","nationwideradiojm.com","JAM","JM-01","en","Jamaica","video_broadcast","","","2.17","2017-12-04"
"622789","https://www.1spotmedia.com/","1 Spot Media","JAM","","en","","video_broadcast","","","0.0","2022-05-14"
"622790","http://mckoysnews.com/","McKoy's News","JAM","","en","Jamaica","digital_native","","","0.92","2017-11-06"
"656561","http://www.klassportsradio.com/","KLAS Sports","JAM","JM-01","en","","video_broadcast","","","0.0","2014-04-28"
"656562","http://www.newstalk93fm.com/","News Talk 93 FM","JAM","JM-01","en","","video_broadcast","","","0.01","2018-10-15"
"656563","http://www.rjr94fm.com/","RJR 94","JAM","JM-01","en","","video_broadcast","","","0.0","2017-05-29"
"656564","http://mandevilleweekly.com/","Mandeville Weekly","JAM","JM-12","en","","print_native","","","0.0","2017-12-04"
"656565","http://www.northcoasttimesja.com/","North Coast Times","JAM","JM-06","en","Jamaica","print_native","","","0.0","2017-11-27"
"656566","http://mellofmjamaica.com/","Mello FM","JAM","JM-08","en","","video_broadcast","","","0.0","2017-02-20"
"656567","http://westernmirror.com/","Western Mirror","JAM","JM-08","en","Jamaica","print_native","","","0.06","2017-11-27"
"1715687","https://theagriculturalist.com/","The Agriculturalist","","","","","","","","0.0","2019-11-18"
