media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39394","http://www.shabiba.com/","shabiba","OMN","","ar","United Kingdom of Great Britain and Northern Ireland","print_native","","","1.58","2013-05-27"
"39944","http://www.alwatan.com/","alwatan-OM","OMN","","ar","none","print_native","","","0.81","2016-05-23"
"61298","http://timesofoman.com/","timesofoman.com","OMN","","en","none","print_native","","","1.78","2013-04-29"
"67672","http://www.omantribune.com/#spider","omantribune.com","OMN","","en","","print_native","","","0.0","2017-12-04"
"207761","http://omanobserver.om/","omanobserver.om","OMN","","en","none","print_native","","","0.01","2017-12-04"
"266614","http://omandaily.om/","omandaily.om","OMN","","ar","United States","print_native","","","6.28","2017-11-06"
"282592","http://muscatdaily.com/","muscatdaily.com","OMN","","en","Sultanate of Oman","print_native","","","0.01","2017-12-04"
"300048","http://omanbulletin.com/index.php?lang=en","Oman Bulletin","OMN","","en","Sultanate of Oman","digital_native","","","0.0","2016-10-10"
"300213","http://www.businesstoday.co.om/","http://www.businesstoday.co.om/","OMN","","en","none","print_native","","","0.0","2016-10-10"
"300454","http://www.oeronline.com/","Oman Economic Review: Oman Banking & Finance, Oman Industry, Oman Companies, Oman Auto Industries, Interviews","OMN","","en","Sultanate of Oman","print_native","","","0.0","2016-08-22"
"300456","http://www.omanet.om/english/home.asp","وزارة الإعلام","OMN","","en","none","digital_native","","","0.0","2016-10-10"
"300457","http://www.omaninfo.com/","Oman Information Center - Oman Business Directory","OMN","","en","","digital_native","","","0.0","2018-07-02"
"300458","http://www.oman-radio.gov.om/rdeng/","Sultanate of Oman Radio Site","OMN","","en","none","video_broadcast","","","0.0","2016-10-10"
"300459","http://www.oman-tv.gov.om/tveng/","http://www.oman-tv.gov.om/tveng/","OMN","","en","none","video_broadcast","","","0.0","2022-05-14"
"622791","http://omannews.gov.om/ona_ar/","Oman News Agency - Oman (Arabic)","OMN","","ar","none","other","","","0.0","2017-10-30"
"622792","http://www.omannews.gov.om/en/web/ona/home","Oman News Agency - Oman (English)","OMN","","ar","none","other","","","0.0","2017-10-30"
"656157","http://www.theweek.co.om/","Week - Oman","OMN","","en","","print_native","","","0.0","2017-12-11"
"657212","http://www.eshabiba.com/","Al Shabiba - Oman (Muscat)","OMN","","ar","","print_native","","","0.0","2017-12-11"
"657213","http://www.azamn.com/","Azamn","OMN","","ar","","print_native","","","0.07","2017-12-04"
