media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38948","http://www.mwananchi.co.tz/","mwananchi","TZA","","sw","United Republic of Tanzania","print_native","","","2.23","2013-03-11"
"39730","http://www.thecitizen.co.tz/","theCitizen","TZA","","en","United Republic of Tanzania","print_native","","","2.71","2015-07-27"
"40397","http://www.theexpress.com/","theexpress","TZA","","en","none","print_native","","","0.0","2013-07-15"
"40691","https://www.ippmedia.com/sw","ippmedia","TZA","","sw","Estado de Veracruz-Llave","digital_native","","","0.0","2013-05-20"
"42115","http://www.raiamwema.co.tz/","raiamwema","TZA","","sw","United Republic of Tanzania","print_native","","","0.0","2013-03-18"
"56424","http://dailynews.co.tz/","dailynews.co.tz","TZA","","en","","print_native","","","0.0","2019-05-13"
"56697","http://thisday.co.tz/","thisday.co.tz","TZA","","en","none","print_native","","","0.0","2013-05-06"
"59728","http://theeastafrican.co.ke/","theeastafrican.co.ke","KEN","","en","none","print_native","","","1.22","2013-05-06"
"271186","http://www.ippmedia.com/","http://www.ippmedia.com/","","","sw","United Republic of Tanzania","","","","0.01","2017-01-30"
"300368","http://www.magazetini.com/","Magazeti ya Tanzania - Tanzania Newspapers | Magazetini","TZA","","en","none","digital_native","","","0.0","2016-08-15"
"300552","http://www.tanzaniatoday.co.tz/","Tanzania Today ","TZA","","sw","United Republic of Tanzania","digital_native","","","0.0","2016-10-10"
"337831","http://mtanzania.co.tz/","mtanzania.co.tz","TZA","","sw","United Republic of Tanzania","print_native","","","0.42","2017-12-04"
"622793","http://startvtz.com/","Star TV","TZA","","sw","none","video_broadcast","","","0.04","2020-01-06"
"622794","http://www.tbc.go.tz/","TBC","TZA","","sw","United Republic of Tanzania","video_broadcast","","","0.86","2018-08-27"
"653393","http://www.itv.co.tz/","ITV - Tanzania","TZA","","sw","none","video_broadcast","","","0.31","2018-08-27"
"655130","http://thebusinesstimes.co.tz/","The Business Times - Tanzania","TZA","","en","none","print_native","","","0.0","2018-04-09"
"658242","http://www.thehabari.com/","Habari","TZA","","sw","none","digital_native","","","0.0","2017-08-07"
"658244","http://www.habarileo.co.tz/","Habari Leo","TZA","","sw","","print_native","","","0.0","2018-11-05"
"658247","http://www.mwanaspoti.co.tz/","Mwanaspoti","TZA","","sw","none","print_native","","","1.33","2017-12-11"
"658248","http://mzalendo.net/","Mzalendo","TZA","","sw","Zanzibar","digital_native","","","0.0","2017-12-04"
"1632462","http://zanzibarleo.co.tz/","zanzibarleo.co.tz","","","","","","","","0.0","2020-10-12"
