media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"19139","http://www.nzherald.co.nz","nzherald.co.nz","NZL","NZ-AUK","en","none","print_native","","","10.62","2016-08-15"
"19368","http://www.stuff.co.nz","stuff.co.nz","NZL","","en","none","digital_native","","","1.57","2016-08-15"
"19899","http://www.radionz.co.nz","radionz.co.nz","NZL","","","","video_broadcast","","","36.14","2016-07-18"
"21551","https://www.newshub.co.nz/home.html","Newshub.","NZL","","en","none","video_broadcast","","","0.0","2012-01-16"
"21711","http://www.radiolive.co.nz","radiolive.co.nz","NZL","","en","New Zealand","video_broadcast","","","0.0","2016-09-19"
"21802","http://tvnz.co.nz","tvnz.co.nz","NZL","","en","United States","video_broadcast","","","0.0","2016-10-10"
"32095","http://www.scoop.co.nz#spider","scoop.co.nz","NZL","","en","New Zealand","digital_native","","","8.48","2016-08-15"
"73929","http://www.nbr.co.nz/#spider","nbr.co.nz","NZL","NZ-AUK","en","New Zealand","print_native","","","1.58","2016-08-08"
"100603","http://www.newswire.co.nz/#spider","newswire.co.nz","NZL","","en","New Zealand","digital_native","","","0.0","2016-08-29"
"154437","http://odt.co.nz/","odt.co.nz","NZL","NZ-OTA","en","New Zealand","print_native","","","4.17","2017-12-04"
"204676","http://newstalkzb.co.nz/","newstalkzb.co.nz","NZL","","en","none","video_broadcast","","","8.62","2019-03-25"
"222916","http://home.nzcity.co.nz/","home.nzcity.co.nz","NZL","","en","New Zealand","digital_native","","","3.87","2016-10-10"
"279689","http://nzedge.com/","nzedge.com","NZL","","en","none","digital_native","","","0.0","2016-10-10"
"300047","http://nzbusiness.co.nz/","NZBusiness","NZL","","en","","print_native","","","0.0","2016-06-13"
"300437","http://www.newsroom.co.nz/","NewsRoom","NZL","","en","New Zealand","digital_native","","","1.98","2017-08-07"
"300440","http://www.newzealandnews.net/","New Zealand News.Net | Breaking News from New Zealand","NZL","","en","none","digital_native","","","0.76","2018-05-07"
"300452","http://www.nzcatholic.org.nz/","NZ Catholic Newspaper","NZL","","en","New Zealand","print_native","","","0.14","2016-08-08"
"300501","http://www.radiosport.co.nz/","Sport News - Radio Sport - New Zealand's Premier Sports Station","NZL","","en","New Zealand","video_broadcast","","","2.66","2019-03-25"
"300545","http://www.stuff.co.nz/dominion-post/","The Dominion Post","NZL","NZ-WGN","en","New Zealand","print_native","","","0.22","2016-08-15"
"320462","http://gisborneherald.co.nz/","gisborneherald.co.nz","NZL","","en","New Zealand","print_native","","","0.0","2017-12-11"
