media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39777","http://www.alsahwa-yemen.net/","alsahwa-yemen","YEM","","ar","Republic of Yemen","print_native","","","1.88","2013-05-27"
"40816","http://www.yementimes.com/","yementimes","YEM","","en","Republic of Yemen","print_native","","","0.0","2013-05-20"
"41042","http://www.alwahdawi.net/","alwahdawi","YEM","","ar","none","print_native","","","0.0","2013-03-18"
"41097","http://www.yemenpost.net/","yemenpost","","","en","Republic of Yemen","","","","0.0","2013-05-20"
"41350","http://26sep.net","26sep","YEM","","ar","United States","print_native","","","3.06","2013-03-18"
"41697","http://www.althawranews.net/","AthThawrah-ar","YEM","","ar","none","print_native","","","3.34","2013-05-20"
"91564","http://adenalghad.net/#spider","adenalghad.net","YEM","","ar","none","print_native","","","16.31","2018-08-06"
"91701","http://www.alhadath-yemen.com/#spider","alhadath-yemen.com","YEM","","ar","Republic of Yemen","print_native","","","0.0","2017-12-04"
"100596","http://www.alghad.com/#spider","alghad.com","JOR","","ar","none","print_native","","","6.5","2019-03-04"
"106156","http://newsyemen.net/","newsyemen.net","YEM","","ar","none","digital_native","","","5.29","2018-03-19"
"108122","http://yemenakhbar.com/","yemenakhbar.com","YEM","","ar","Republic of Yemen","digital_native","","","0.0","2017-11-06"
"108937","http://alhaq.org/","alhaq.org","","","","","","","","0.0","2014-06-09"
"121402","http://almotamar.net/","almotamar.net","YEM","","none","Republic of Yemen","print_native","","","2.9","2018-08-06"
"266532","http://marebpress.net/","marebpress.net","YEM","","ar","San Andreas","print_native","","","3.79","2018-01-08"
"300134","http://www.almotamar.net/en/","Almotamar Net, Published by General People's Congress (GPC)","YEM","","en","Republic of Yemen","print_native","","","0.0","2016-10-10"
"300136","http://www.al-tagheer.com/","التغيير نت","YEM","","ar","none","digital_native","","","0.0","2016-08-15"
"300172","http://www.azaal.tv/","Azaal TV Home pageقناة أزال الفضائية","YEM","","ar","none","video_broadcast","","","0.0","2016-10-10"
"300512","http://www.sabanews.net/en/","Saba Net - Yemen news agency","YEM","","en","Republic of Yemen","other","","","0.0","2016-10-10"
"300630","http://www.yemenonline.info/","YemenOnline | Voice of Yemen","YEM","","en","Republic of Yemen","digital_native","","","0.32","2016-10-24"
"300643","http://yemennewstraffic.com/index.php?lang=en","Yemen News","YEM","","en","","digital_native","","","0.0","2018-12-31"
"356404","http://nationalyemen.com/","nationalyemen.com","YEM","","en","none","print_native","","","0.0","2017-12-04"
"622812","http://almasirah.net/","Al Masirah","YEM","","ar","none","video_broadcast","","","0.0","2018-08-06"
"622813","http://suhail.net/","Suhail TV","YEM","","ar","none","video_broadcast","","","2.03","2018-01-08"
"622814","http://www.yementodaytv.net/","Yemen Today TV","YEM","","ar","none","video_broadcast","","","0.0","2017-10-30"
"622815","http://ababiil.net/","Ababiil","YEM","","ar","Al Ḩudaydah","digital_native","","","0.32","2017-10-30"
"622816","http://albadeel.info/","Al Badeel","YEM","","ar","none","digital_native","","","0.0","2017-10-30"
"622817","http://www.aleshteraky.com/","Al Eshteraky","YEM","","ar","","digital_native","","","0.0","2022-05-14"
"622818","http://hournews.net/","Hour News","YEM","","ar","","digital_native","","","0.0","2019-05-13"
"622819","http://www.lahjnews.net/","Lahj News","YEM","","none","Republic of Yemen","digital_native","","","0.0","2017-10-23"
"622820","http://www.mosnad.com/","Mosnad - Yemen (Arabic)","YEM","","ar","Republic of Yemen","digital_native","","","1.11","2015-11-23"
"622821","http://www.newyemen.net/","New Yemen","YEM","","none","none","digital_native","","","0.0","2017-10-23"
"622822","http://www.saadahpress.net/","Saadah Press","YEM","","none","none","digital_native","","","0.73","2015-05-18"
"622823","http://www.sahafah.net/","Sahafah","YEM","","ar","none","digital_native","","","0.0","2017-11-06"
"622824","http://www.sahafah24.net/","Sahafah 24","YEM","","ar","Republic of Yemen","digital_native","","","0.0","2018-01-01"
"622825","http://www.tadamon-ye.org/","Tadamon","YEM","","ar","","digital_native","","","0.0","2017-12-04"
"622826","http://www.yemennewsgate.net/","Yemen News Gate","YEM","","none","none","digital_native","","","0.0","2017-12-18"
"622827","http://yemen-now.com/","Yemen Now","YEM","","none","none","digital_native","","","0.0","2018-08-06"
"622829","http://www.yemenpost.co/","Yemen Post","YEM","","ar","","digital_native","","","0.0","2017-10-30"
"622830","http://www.yemen-press.com/","Yemen Press","YEM","","ar","none","digital_native","","","0.0","2020-02-17"
"622831","http://www.yemenvoice.net/","Yemen Voice","YEM","","none","none","digital_native","","","4.62","2017-10-30"
"622832","http://yemen-media.net/?lng=arabic","Yemeni Media Center - Yemen (Arabic)","YEM","","ar","none","digital_native","","","0.0","2017-10-30"
"622833","http://yemen-media.net/?lng=english","Yemeni Media Center - Yemen (English)","YEM","","ar","none","digital_native","","","0.0","2017-10-30"
"622835","http://www.sabanews.net/ar/","SABA - Yemen (Arabic)","YEM","","ar","Asīr","other","","","0.0","2018-01-08"
"624116","http://thawra.sy/","Al Thawra - Syria","SYR","","ar","none","print_native","","","0.0","2018-07-23"
"624194","http://www.yemenat.net/","Yemen AT","YEM","","ar","none","digital_native","","","0.1","2017-11-06"
"651124","http://www.elbilad.net/","El Bilad","DZA","DZ-16","none","none","print_native","","","2.56","2021-11-22"
"653446","http://www.alwasat-ye.net/","Al Wasat - Yemen","YEM","","none","none","print_native","","","0.08","2019-04-08"
"658223","http://en.althawranews.net/","Al Thawra (English)","YEM","","en","Republic of Yemen","print_native","","","0.51","2017-12-04"
"658224","http://jamahir.alwehda.gov.sy/","Al Jamahir","SYR","","ar","none","print_native","","","0.0","2017-12-04"
"664484","http://www.abyanonline.net/","Abyan Online","YEM","YE-AB","ar","","digital_native","","","0.0","2015-10-05"
"664485","http://www.adenalyoum.com/","Aden Al Youm","YEM","","ar","none","digital_native","","","0.13","2017-04-10"
"664486","http://www.radioadenfm.net/","Aden FM","YEM","","ar","","video_broadcast","","","0.0","2017-12-04"
"664487","http://www.adenlife.net/","Aden Life","YEM","","none","none","digital_native","","","0.0","2017-01-09"
"664490","http://alomanaa.net/","Al Omanaa","YEM","","ar","none","print_native","","","7.68","2017-12-11"
"664491","http://www.alsahwa-yemen.net/en/","Al Sahwa (English)","YEM","","ar","Republic of Yemen","print_native","","","1.88","2017-09-18"
"664493","http://www.sayunradio.info/","Say'un Radio","YEM","","ar","","video_broadcast","","","0.0","2022-05-14"
"1385567","http://newyemenen.com/","newyemenen.com","","","","","","","","0.07","2020-02-03"
"1720625","http://www.y.net.ye/naba/","صحيفة نبأ الحقيقة","","","","","","","","0.0","2020-10-12"
"1720626","http://althawrah.ye/","الثورة نت","","","","","","","","3.29","2021-11-22"
"1720627","https://www.alayam24.com/","الرئيسية - الأيام 24","","","","","","","","3.1","2020-10-19"
"1720628","https://www.26sep.net/?lng=english","سبتمبر نت - الموقع الاخباري اليومي","","","","","","","","3.01","2020-10-12"
