media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"1732","http://www.1tv.ru/news/","Channel One","ALB","","ru","none","video_broadcast","","","0.0","2015-09-14"
"180930","http://zeriamerikes.com/","zeriamerikes.com","ALB","","sq","United States","video_broadcast","","","0.99","2017-10-30"
"299971","http://english.albeu.com/","Albeu.com (English)","ALB","","en","Republic of Albania","digital_native","","","0.0","2016-08-08"
"300092","http://tirfaxnews.org/","TirFaxNews","ALB","","en","Republic of Albania","other","","","0.17","2016-07-18"
"326222","http://lajmifundit.al/","Lajmi Fundit","ALB","","sq","none","digital_native","","","0.0","2017-11-06"
"326245","http://gazetatema.net/","Gazeta Tema","ALB","AL-11","sq","none","print_native","","","0.0","2017-12-04"
"328758","http://balkanweb.com/","balkanweb.com","ALB","","sq","none","digital_native","","","0.1","2017-11-06"
"328915","http://ata.gov.al/","ata.gov.al","ALB","","sq","Florence","other","","","0.0","2018-04-02"
"329101","http://gazetadita.al/","Gazeta Dita","ALB","AL-11","sq","United States","print_native","","","4.89","2017-12-04"
"329993","http://javanews.al/","Java News","ALB","AL-11","sq","none","print_native","","","7.14","2017-12-04"
"332001","http://gazeta-shqip.com/","Gazeta Shqip","ALB","AL-11","sq","none","print_native","","","0.0","2017-12-04"
"341940","https://shqiptarja.com/","shqiptarja.com","ALB","AL-11","sq","none","print_native","","","0.01","2017-12-04"
"344934","http://gazetaekonomia.com/","Gazeta Ekonomia","ALB","","sq","Republic of Kosovo","digital_native","","","0.02","2017-11-06"
"345095","http://newsbomb.al/","newsbomb.al","","","sq","none","","","","6.79","2019-01-14"
"345360","http://standard.al/","Standard","ALB","AL-11","sq","none","print_native","","","4.84","2015-11-16"
"345746","http://shekulli.com.al/","Gazeta Shekulli ","ALB","AL-11","sq","none","print_native","","","1.2","2017-10-30"
"346022","http://scan-tv.com/","Scan TV","ALB","","sq","Republic of Albania","video_broadcast","","","1.09","2017-10-30"
"356099","http://24-ore.com/","24-ore.com","ALB","","sq","none","digital_native","","","0.22","2017-10-30"
"357519","http://lajme.al/","Lajme.al","ALB","","sq","United States","digital_native","","","2.08","2017-11-06"
"357992","http://panorama.com.al/","Panorama Online","ALB","AL-11","sq","none","print_native","","","5.33","2020-06-29"
"359880","http://opinion.al/","opinion.al","","","sq","United States","","","","0.11","2019-03-11"
"360164","http://kohajone.com/","Koha Jone","ALB","AL-11","sq","none","print_native","","","0.0","2017-12-04"
"366807","http://top-channel.tv/","Top Channel TV","ALB","","sq","none","video_broadcast","","","6.67","2017-11-06"
"367027","http://albeu.com/","albeu.com","ALB","","sq","none","digital_native","","","11.42","2013-06-17"
"370637","http://mapo.al/","Mapo","ALB","AL-11","sq","Republic of Albania","print_native","","","0.22","2017-11-06"
"370882","http://vizionplus.tv/","Vizion Plus TV","ALB","","sq","none","video_broadcast","","","4.71","2017-11-06"
"521630","http://sot.com.al/","Sot News","ALB","AL-11","sq","none","print_native","","","0.0","2018-01-15"
"532930","http://tiranaobserver.al/","Tirana Observer","ALB","AL-11","sq","United States","print_native","","","0.0","2013-09-30"
"538985","http://arkivalajmeve.com/","arkivalajmeve.com","ALB","","sq","none","digital_native","","","0.0","2020-02-17"
"539432","http://shqiperia.com/","Shqiperia","ALB","","sq","none","digital_native","","","0.0","2020-03-09"
"540358","http://gsh.al/","Gazeta Shqiptare","ALB","AL-11","sq","United States","print_native","","","9.08","2017-11-06"
"542222","http://oranews.tv/","Ora News","ALB","","sq","Republic of Albania","video_broadcast","","","0.0","2020-07-13"
"562056","http://360grade.al/","360grade.al","","","sq","none","","","","0.0","2018-04-02"
"564079","http://telegraf.al/","Gazeta Telegraf","ALB","AL-11","sq","none","print_native","","","0.0","2017-12-04"
"565951","http://m.lapsi.al/","m.lapsi.al","","","sq","none","","","","5.5","2018-04-02"
"566105","http://lexo.al/","lexo.al","","","sq","none","","","","5.94","2019-03-11"
"585232","http://rtsh.al/","Radio Television Shqitar","ALB","","sq","none","video_broadcast","","","0.0","2017-10-09"
"601296","http://tiranatimes.com/","Tirana Times","ALB","AL-11","en","Republic of Albania","print_native","","","0.16","2017-12-04"
"622840","http://radionacional.al/","Radio Nacional","ALB","","sq","none","video_broadcast","","","1.14","2017-11-13"
"622841","http://www.supersport.al/","Super Sport - Albania","ALB","","sq","none","video_broadcast","","","3.59","2017-10-30"
"622842","http://www.topalbaniaradio.com/","Top Albania Radio","ALB","","sq","","video_broadcast","","","7.06","2021-06-28"
"622843","http://tvklan.al/","TV Klan","ALB","","sq","Republic of Albania","video_broadcast","","","7.22","2018-06-04"
"622844","http://www.utv-news.tv/","UTV News","ALB","","sq","","video_broadcast","","","0.02","2017-10-16"
"622845","http://www.albnews.al/","Alb News","ALB","","sq","none","digital_native","","","0.0","2017-11-06"
"622846","http://www.albpress.org/","Alb Press News","ALB","","sq","none","digital_native","","","0.0","2017-11-06"
"622847","http://www.bota.al/","Bota","ALB","","sq","none","digital_native","","","0.93","2017-10-30"
"622848","http://www.ekspres.al/","Ekspres","ALB","","sq","none","digital_native","","","0.0","2017-10-30"
"622849","http://www.ikub.al/","I Kub","ALB","","","","digital_native","","","0.0","2018-07-02"
"622850","http://www.lajme.gen.al/","Lajme - Albania ","ALB","","","","digital_native","","","0.0","2017-10-30"
