media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38880","http://www.khaleejtimes.com/index00.asp","khaleejtimes","ARE","AE-DU","en","United Arab Emirates","print_native","","","0.0","2013-03-11"
"39297","http://www.thenational.ae/","thenational","ARE","","","","print_native","","","0.49","2016-07-04"
"39403","http://www.alittihad.ae/","alittihad-ae","ARE","","ar","none","print_native","","","16.22","2013-03-11"
"40034","http://www.uaeinteract.com/","uaeinteract","ARE","","en","United Arab Emirates","digital_native","","","0.0","2013-03-11"
"40224","http://english.alarabiya.net/","alarabiya-en","ARE","","en","none","video_broadcast","","","3.96","2012-10-08"
"40455","http://www.albayan.ae/","albayan","ARE","AE-DU","ar","none","print_native","","","22.2","2013-05-20"
"41094","http://www.frenchwam.com/","wam-fr","ARE","","fr","none","other","","","0.0","2013-03-11"
"58845","http://alarabiya.net/","alarabiya.net","SAU","","ar","none","video_broadcast","","","17.07","2014-04-14"
"62304","http://gulfnews.com/","gulfnews.com","ARE","AE-DU","en","none","print_native","","","0.0","2017-01-09"
"68682","http://www.emirates247.com/#spider","emirates247.com","ARE","AE-DU","en","none","print_native","","","0.0","2018-08-27"
"72275","http://www.dubaichronicle.com/#spider","dubaichronicle.com","ARE","AE-DU","en","United Arab Emirates","digital_native","","","0.22","2017-12-11"
"102627","http://eremnews.com","شبكة إرم الإخبارية ، أخبار العالم ، أخبار العرب ، الأخبار ، اليوم ، سياسة، منوعات، رياضة، اقتصاد، حياتنا، علوم وتقنية، صور وفيدي","ARE","","ar","United States","digital_native","","","0.0","2014-08-11"
"102638","http://almalnews.com","جريدة المال","ARE","","ar","Republic of Turkey","print_native","","","0.0","2014-04-28"
"300096","http://uaereview.com/index.php?lang=en","UAE Business Review","ARE","","en","","digital_native","","","0.0","2017-08-14"
"300619","http://www.wam.ae/en/home.html","WAM - English","ARE","","en","United Arab Emirates","other","","","9.8","2016-11-07"
"321044","http://mathrubhumi.com/","mathrubhumi.com","IND","IN-KL","ml","none","print_native","","","0.0","2018-01-01"
"561405","http://abudhabinews.net/","abudhabinews.net","ARE","","en","none","digital_native","","","3.17","2018-04-30"
"622867","http://www.alkhaleej.ae/portal","Al Khaleej","ARE","","ar","none","print_native","","","27.98","2014-03-03"
"622868","http://www.wam.ae/ar/home.html","Emirates News Agency - United Arab Emirates (Arabic)","ARE","","ar","United Arab Emirates","other","","","6.78","2017-11-06"
"624195","https://thearabianpost.com/","Arabian Post","ARE","","en","none","digital_native","","","1.3","2020-06-08"
"658546","http://7daysinabudhabi.com/","7 Days - United Arab Emirates","ARE","","vi","United Arab Emirates","print_native","","","0.0","2017-10-16"
"658547","http://www.abudhabi.com/","Abu Dhabi","ARE","","en","United Arab Emirates","digital_native","","","0.0","2018-06-18"
"658548","http://en.almalnews.com/","Almal (English)","ARE","","en","","print_native","","","0.0","2017-12-18"
"658549","http://alroeya.ae/","Alroeya","ARE","","ar","none","print_native","","","0.0","2017-12-11"
"658550","http://sport360.com/","Sport 360","ARE","","en","none","print_native","","","0.14","2017-12-11"
"658553","http://www.emaratalyoum.com/","Emarat Al Youm","ARE","AE-DU","ar","none","print_native","","","11.5","2018-07-30"
"658554","http://www.godubai.com/","Go Dubai","ARE","AE-DU","en","","digital_native","","","0.0","2017-12-18"
"658555","http://www.kabayanweekly.com/","Kabayan Weekly","ARE","AE-DU","en","United Arab Emirates","print_native","","","0.0","2019-09-30"
"658556","http://gulfnews.com/about-gulf-news/al-nisr-portfolio/xpress","Xpress","ARE","AE-DU","en","none","print_native","","","0.0","2017-12-04"
"658557","http://www.gulftoday.ae/portal/B6EF085D-6629-4C22-BDBD-A19A187413B5.aspx","Gulf Today","ARE","","en","none","print_native","","","0.0","2017-12-04"
"829738","http://araanews.ae/","araanews.ae","","","","","","","","0.0","2018-03-05"
"1688032","http://sirajlive.com/","sirajlive.com","","","","","","","","3.3","2020-10-12"
"1720591","http://www.dubaistandard.com/","The latest and breaking news from Dubai, the UAE and the world - Dubai Standard","","","","","","","","0.11","2020-09-14"
"1720592","https://www.business24-7.ae/about/","About Us","","","","","","","","0.27","2020-10-12"
"1720593","https://www.247citynews.com/","247 City News","","","","","","","","0.0","2020-10-12"
