media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"17973","http://www.ndtv.com/","NDTV.com: India, Business, Bollywood, Cricket, Video and Breaking News","IND","","en","none","video_broadcast","","","22.68","2013-03-04"
"19341","http://www.business-standard.com","business-standard.com","IND","IN-DL","en","Republic of India","print_native","","","43.77","2013-06-17"
"19993","http://in.reuters.com","in.reuters.com","IND","","en","none","other","","","0.06","2017-12-04"
"23248","http://ibnlive.in.com","News 18","IND","","en","Republic of India","video_broadcast","","","52.48","2016-02-22"
"24099","http://www.medianama.com","medianama.com","IND","","en","Republic of India","digital_native","","","0.42","2013-06-03"
"28777","http://www.firstpost.com#spider","firstpost.com","IND","","","","digital_native","","","8.67","2014-10-13"
"39247","http://www.deccanherald.com/","deccanherald","IND","IN-KA","en","Republic of India","print_native","","","0.08","2013-03-11"
"39422","http://www.ibtimes.co.in/","International Business Times","IND","","en","none","digital_native","","","3.92","2014-01-06"
"39784","http://timesofindia.indiatimes.com/","The Times of India","IND","IN-DL","","","print_native","","","113.2","2013-03-11"
"39872","http://www.hindustantimes.com/","HindustanTimes","IND","IN-DL","en","Republic of India","print_native","","","0.0","2016-08-08"
"39886","http://www.financialexpress.com/","financialexpress","IND","IN-DL","en","Republic of India","print_native","","","15.44","2013-08-26"
"40306","http://www.thehindu.com/","thehindu","IND","IN-TN","en","Republic of India","print_native","","","34.04","2015-07-20"
"40379","http://www.mumbaimirror.com/","mumbaimirror","IND","IN-MH","en","Republic of India","print_native","","","0.0","2013-07-15"
"40667","http://www.indiantelevision.com/","indiantelevision","IND","","en","Republic of India","video_broadcast","","","1.52","2013-04-22"
"41238","https://economictimes.indiatimes.com/","economictimes","IND","","en","Republic of India","print_native","","","65.81","2013-05-27"
"42156","http://www.mid-day.com/news/index.htm","mid-day","IND","","en","Republic of India","","","","16.46","2013-03-25"
"55376","http://telegraphindia.com/","telegraphindia.com","IND","IN-WB","en","Republic of India","print_native","","","0.11","2013-04-29"
"55632","http://sify.com/","sify.com","IND","","en","none","digital_native","","","0.0","2013-04-29"
"56177","http://livemint.com/","livemint.com","IND","IN-DL","en","Republic of India","print_native","","","17.13","2013-04-29"
"56899","http://indianexpress.com/","indianexpress.com","IND","IN-MH","en","Republic of India","print_native","","","74.11","2013-05-06"
"57302","http://countercurrents.org/","countercurrents.org","IND","","en","none","digital_native","","","0.67","2013-10-21"
"57626","http://tribuneindia.com/","tribuneindia.com","IND","IN-CH","en","Republic of India","print_native","","","33.46","2015-11-30"
"58552","http://tehelka.com/","tehelka.com","IND","","en","Republic of India","print_native","","","0.0","2011-07-11"
"59297","http://abclive.in/","abclive.in","IND","","en","Republic of India","digital_native","","","1.21","2016-10-03"
"59966","http://merinews.com/","merinews.com","IND","","en","Republic of India","digital_native","","","0.0","2013-04-29"
"62776","http://news.rediff.com/","news.rediff.com","IND","","en","Republic of India","digital_native","","","18.32","2013-04-29"
"65929","http://dnaindia.com/","dnaindia.com","IND","IN-MH","en","Republic of India","print_native","","","11.66","2013-08-19"
"67799","http://indiatoday.intoday.in/#spider","indiatoday.intoday.in","IND","","en","Republic of India","print_native","","","29.12","2015-02-02"
"67989","http://www.thehindubusinessline.com/#spider","thehindubusinessline.com","IND","IN-TN","en","Republic of India","print_native","","","10.11","2013-06-03"
"69105","http://www.outlookindia.com/#spider","outlookindia.com","IND","","en","Republic of India","print_native","","","0.03","2013-10-28"
"86696","http://www.moneycontrol.com/#spider","moneycontrol.com","IND","","en","Republic of India","video_broadcast","","","9.23","2013-06-10"
"92713","http://www.espncricinfo.com/#spider","espncricinfo.com","IND","","en","none","digital_native","","","12.06","2013-06-03"
"99760","http://www.frontline.in/#spider","frontline.in","IND","","en","Republic of India","print_native","","","27.86","2019-04-29"
"100063","http://newindianexpress.com/#spider","newindianexpress.com","IND","IN-TN","en","Republic of India","print_native","","","75.02","2014-07-28"
"104613","http://www.missmalini.com","MissMalini - Bollywood, Fashion & Lifestyle... With a Desi Girl Twist!","IND","","en","Republic of India","digital_native","","","0.82","2013-06-03"
"104653","http://www.onemint.com","One Mint","IND","","en","Republic of India","digital_native","","","0.01","2013-05-13"
"104736","http://www.socialsamosa.com","Social Samosa | Indian Social Media Knowledge Storehouse","IND","","en","Republic of India","digital_native","","","0.48","2013-06-03"
"105200","http://epw.in/#spider","epw.in","IND","","en","Republic of India","print_native","","","0.13","2014-03-31"
"105253","http://newsclick.in/#spider","newsclick.in","IND","","en","Republic of India","digital_native","","","3.46","2017-08-07"
"110253","http://scroll.in/","scroll.in","IND","","en","Republic of India","digital_native","","","6.13","2016-09-05"
"115065","http://indiatimes.com/","indiatimes.com","IND","","en","Republic of India","digital_native","","","0.0","2015-01-05"
"119703","http://kractivist.org/","kractivist.org","IND","","en","Republic of India","digital_native","","","0.0","2013-07-08"
"121578","http://deccanchronicle.com/","deccanchronicle.com","IND","IN-AP","en","Republic of India","print_native","","","2.59","2015-07-06"
"122230","http://timesnow.tv/","timesnow.tv","IND","","en","Republic of India","video_broadcast","","","0.0","2013-06-03"
"125190","http://the-week.com/","the-week.com","IND","IN-KL","en","none","print_native","","","6.27","2018-04-30"
"136476","http://freepressjournal.in/","freepressjournal.in","IND","IN-MH","en","Republic of India","print_native","","","23.27","2015-04-20"
"144654","http://narendramodi.in/","narendramodi.in","IND","","en","Republic of India","digital_native","","","0.0","2015-05-18"
