media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38944","http://en.trend.az/","trendnews-az","AZE","","en","none","other","","","10.09","2013-03-11"
"39109","http://www.respublica-news.az/","respublicanews","AZE","","az","none","print_native","","","0.0","2013-03-11"
"39883","http://www.trend.az/","trendnews-az-ru","AZE","","ru","none","other","","","15.29","2013-03-18"
"40096","http://fa.trend.az/","trendnews-az-fa","AZE","","fa","none","other","","","0.0","2013-02-18"
"40175","http://az.trend.az/","trendnews-az-az","AZE","","az","none","other","","","18.92","2013-04-01"
"40181","http://ar.trend.az/","trendnews-az-ar","AZE","","ar","none","other","","","0.0","2013-02-11"
"41389","http://az.apa.az/","apa-az","AZE","","az","none","other","","","0.0","2013-03-18"
"41659","http://day.az/","day","AZE","","ru","none","digital_native","","","19.36","2013-05-20"
"46897","http://www.1news.az/#spider","1news.az","AZE","","ru","Republic of Azerbaijan","digital_native","","","0.0","2018-02-26"
"47181","http://ru.apa.az/#spider","ru.apa.az","AZE","","ru","","other","","","0.0","2012-01-16"
"50066","http://www.azadliq.org/#spider","azadliq.org","AZE","","az","Baku","video_broadcast","","","1.27","2017-03-27"
"62090","http://rferl.org/","rferl.org","ARM","","","","digital_native","","","1.89","2013-05-06"
"70848","http://en.apa.az/#spider","en.apa.az","AZE","","en","none","other","","","0.0","2016-10-10"
"78083","http://www.today.az/#spider","today.az","AZE","","en","Republic of Azerbaijan","digital_native","","","3.98","2016-08-15"
"145222","http://azernews.az/","azernews.az","AZE","","en","Republic of Azerbaijan","print_native","","","4.03","2017-12-04"
"206859","http://news.az/","news.az","AZE","","en","none","digital_native","","","0.0","2018-05-14"
"241162","http://azer.com/","azer.com","AZE","","en","Republic of Azerbaijan","print_native","","","0.0","2014-05-19"
"299931","http://azertag.az/en","AZERTAC - Azerbaijan State News Agency","AZE","","en","Baku City","other","","","0.0","2014-10-27"
"300029","http://metbuat.az/site/language?id=en","Metbuat.Az - The latest news from Azerbaijan and the world. Actual news.","AZE","","en","Republic of Azerbaijan","digital_native","","","5.9","2017-03-13"
"300173","http://www.azerbaijan.az/_News/_news_e.html?lang=en","Azerbaijan","AZE","","en","none","digital_native","","","0.0","2016-10-10"
"300174","http://www.azerbaijantoday.az/","Azerbaijan Today | The International Magazine","AZE","","en","Republic of Azerbaijan","print_native","","","0.13","2021-02-01"
"300176","http://www.aztv.az/index.php?lang=en","AzTV | Azerbaijan Television","AZE","","en","none","video_broadcast","","","3.61","2016-10-10"
"300586","http://www.turan.az/","NEWS - AZERBAIJAN - www.turan.az","AZE","","en","none","other","","","2.07","2017-11-20"
"324332","http://azertag.az/","azertag.az","AZE","","az","Republic of Azerbaijan","other","","","0.0","2017-11-06"
"414632","http://bizimyol.info/","bizimyol.info","AZE","","none","none","print_native","","","0.0","2018-04-16"
"544635","http://azadliq.info/","azadliq.info","AZE","","az","Republic of Azerbaijan","print_native","","","0.62","2017-11-06"
"572026","http://kaspi.az/","kaspi.az","AZE","","az","","print_native","","","0.0","2018-01-22"
"622881","http://www.atv.az/","ATV - Azerbaijan","AZE","","az","none","video_broadcast","","","0.0","2017-10-30"
"622882","http://www.aztv.az/index.php?lang=az","AZ TV - Azerbaijan (Azerbaijani)","AZE","","az","","video_broadcast","","","0.0","2022-05-14"
"622883","http://www.aztv.az/index.php?lang=ru","AZ TV - Azerbaijan (Russian)","AZE","","ru","","video_broadcast","","","0.0","2022-05-14"
"622884","http://www.spacetv.az/?lng=az","Space TV - Azerbaijan (Azerbaijani)","AZE","","az","","video_broadcast","","","0.0","2017-11-20"
"622885","http://www.spacetv.az/?lng=ru","Space TV - Azerbaijan (Russian)","AZE","","ru","","video_broadcast","","","0.0","2017-11-20"
"622886","http://a24.az/","A 24","AZE","","az","United States","digital_native","","","0.0","2017-10-30"
"622887","http://www.azeritimes.az/index.php/az/","Azeri Times - Azerbaijan (Azerbaijani)","AZE","","az","","digital_native","","","0.0","2019-03-25"
"622888","http://www.azeritimes.az/index.php/ru/","Azeri Times - Azerbaijan (Russian)","AZE","","ru","","digital_native","","","0.0","2019-03-25"
"622889","http://bizimxeber.az/","Bizim Xeber","AZE","","az","","digital_native","","","0.01","2020-03-23"
"622890","http://www.dsport.az/","D Sport","AZE","","az","none","digital_native","","","0.0","2017-10-30"
"622891","http://www.hurriyet.az/","Hurriyet - Azerbaijan","AZE","","az","none","digital_native","","","0.0","2018-03-05"
"622892","http://metbuat.az/site/language?id=az","Metbuat - Azerbaijan (Azerbaijani)","AZE","","az","none","digital_native","","","6.08","2017-10-30"
"622893","http://www.milli.az/","Milli","AZE","","az","none","digital_native","","","13.19","2017-11-06"
"622894","http://www.sesqazeti.az/","Ses Gazeti","AZE","","az","Russian Federation","digital_native","","","1.0","2018-02-12"
"622895","http://www.525.az/","525 Ci Gazet","AZE","","az","none","print_native","","","4.31","2017-11-06"
"622896","http://www.ayna.az/","Ayna","AZE","","az","none","print_native","","","0.0","2021-06-14"
"622897","http://www.azerbaijan-news.az/","Azerbaycan","AZE","","az","none","print_native","","","0.0","2017-10-30"
"622898","http://www.xalqcebhesi.az/","Xalq Cebhesi","AZE","","az","","print_native","","","0.0","2017-10-30"
"622899","http://www.yeniazerbaycan.com/","Yeni Azerbaycan","AZE","","az","Bu","print_native","","","0.64","2017-10-30"
"622900","http://musavat.com/","Yeni Musavat","AZE","","ru","Argentine Republic","print_native","","","5.79","2017-12-11"
"622901","http://www.zerkalo.az/","Zerkalo","AZE","","ru","none","print_native","","","4.66","2018-04-02"
"622902","http://www.anspress.com/index.php?lng=az","ANS - Azerbaijan (Azerbaijani)","AZE","","az","","other","","","0.01","2017-12-04"
"622903","http://www.anspress.com/index.php?lng=ru","ANS - Azerbaijan (Russian)","AZE","","ru","","other","","","0.01","2017-11-13"
"622904","http://ar.apa.az/","APA - Azerbaijan (Arabic)","AZE","","ar","","other","","","0.0","2017-10-30"
"622905","http://fr.apa.az/","APA - Azerbaijan (French)","AZE","","az","Baku","other","","","0.0","2017-11-20"
"622906","http://azertag.az/ar","Azertag - Azerbaijan (Arabic)","AZE","","az","Ağdam","other","","","0.0","2017-12-04"
"622907","http://azertag.az/de","Azertag - Azerbaijan (German)","AZE","","az","Baku","other","","","0.0","2017-12-04"
"622908","http://www.turan.az/index_az.html","Turan - Azerbaijan (Azerbaijani)","AZE","","az","Republic of Azerbaijan","other","","","1.53","2017-11-20"
"622909","http://www.turan.az/index_ru.html","Turan - Azerbaijan (Russian)","AZE","","ru","Baku","other","","","1.87","2017-11-20"
"624197","http://azertag.az/fr","Azertag - Azerbaijan (French)","AZE","","az","Baku","other","","","0.0","2017-12-04"
"624198","http://azertag.az/ru","Azertag - Azerbaijan (Russian)","AZE","","az","Republic of Azerbaijan","other","","","0.0","2017-12-04"
"624199","http://www.olaylar.az/","Olaylar","AZE","","az","Republic of Azerbaijan","print_native","","","4.94","2017-11-06"
"653397","http://www.azerbaijannews.net/","Azerbaijan News","AZE","","en","none","digital_native","","","2.23","2018-05-07"
"653398","http://www.mi-news.az/","Mingecevir Isiqlari","AZE","","az","none","print_native","","","0.28","2019-03-25"
"653399","http://www.adalet.az/","Adalet","AZE","","az","","print_native","","","3.69","2017-12-11"
"653400","http://www.azerizv.az/","Azerbaidzhanskie Izvestiia","AZE","","ru","none","print_native","","","0.0","2017-12-04"
"653401","http://www.baki-xeber.com/","Baki Xeber","AZE","","none","none","print_native","","","0.0","2022-05-14"
"653402","http://www.br.az/","Bakinskii Rabochii","AZE","","ru","none","print_native","","","0.0","2017-12-04"
"653403","https://birja.com/","Birja","AZE","","az","","print_native","","","0.0","2017-12-04"
"653404","http://www.ekspress.az/","Ekspress","AZE","","az","","print_native","","","0.0","2017-12-04"
"653405","http://www.football-plus.az/","Futbol Plus","AZE","","az","none","print_native","","","3.16","2017-12-11"
"653406","http://hafta.az/","Hefte Ici","AZE","","az","","print_native","","","0.0","2017-12-04"
"653407","http://ikisahil.az/","Iki Sahil","AZE","","az","none","print_native","","","38.28","2019-03-25"
"653408","http://iqtisadiyyat.com/","Iqtisadiyyat","AZE","","az","","print_native","","","0.0","2018-05-07"
"653409","http://www.millet.az/","Millet","AZE","","az","","print_native","","","0.0","2017-12-04"
"653410","http://www.movqe.az/","Movqe","AZE","","az","","print_native","","","0.0","2018-01-22"
"653411","http://palitranews.az/","Palitra","AZE","","az","","print_native","","","0.0","2017-12-04"
"653413","http://www.ses-az.com/","Ses","AZE","","az","","print_native","","","0.0","2017-12-04"
"653414","http://www.sherg.az/","Sherg","AZE","","az","","print_native","","","0.0","2018-01-22"
"653415","http://www.tezadlar.az/","Tezadlar","AZE","","az","Baku","print_native","","","0.0","2017-12-04"
"653416","http://ucnoqta.az/","Uch Nogta","AZE","","az","","print_native","","","0.0","2017-12-04"
"653417","http://www.xalqqazeti.com/az/","Xalq Qazeti (Azerbaijani)","AZE","","az","none","print_native","","","0.0","2018-07-16"
"653418","http://www.xalqqazeti.com/en/","Xalq Qazeti (English)","AZE","","az","Republic of Azerbaijan","print_native","","","0.0","2018-01-22"
"653419","http://www.xalqqazeti.com/ru/","Xalq Qazeti (Russian)","AZE","","az","none","print_native","","","0.0","2018-01-22"
"653421","http://yenicag.az/","Yeni Cag","AZE","","az","United States","print_native","","","4.6","2017-12-11"
"653426","http://www.genceninsesi.com/","Gencenin Sesi","AZE","","az","none","print_native","","","0.0","2017-12-04"
"653427","http://artsakhtert.com/eng/","Azat Artsakh (English)","AZE","","en","","print_native","","","0.0","2014-03-03"
"653428","http://artsakhtert.com/arm/","Azat Artsakh (Armenian)","AZE","","hy","","print_native","","","0.0","2014-03-03"
"653429","http://artsakhtert.com/rus/","Azat Artsakh (Russian)","AZE","","ru","","print_native","","","0.0","2014-03-03"
