media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"40852","http://www.standardmedia.co.ke","standardmedia","KEN","","en","Republic of Kenya","print_native","","","8.17","2013-03-18"
"41358","http://www.kbc.co.ke/","kbc","KEN","","en","none","video_broadcast","","","2.79","2014-03-10"
"41687","http://www.businessdailyafrica.com/","businessdailyafrica","KEN","","en","Republic of Kenya","print_native","","","2.24","2013-03-18"
"56844","http://irinnews.org/","irinnews.org","","","en","none","digital_native","","","0.21","2013-04-22"
"59038","http://standardmedia.co.ke/","standardmedia.co.ke","","","en","Republic of Kenya","","","","7.76","2013-05-06"
"59728","http://theeastafrican.co.ke/","theeastafrican.co.ke","KEN","","en","none","print_native","","","1.22","2013-05-06"
"60426","http://capitalfm.co.ke/","capitalfm.co.ke","KEN","","en","none","video_broadcast","","","1.56","2016-08-08"
"63215","http://nation.co.ke/","nation.co.ke","KEN","","en","Republic of Kenya","print_native","","","8.09","2013-05-06"
"106870","http://www.kenya-today.com","Kenya News, analysis and in-depth reports - Kenya Today","KEN","","en","Republic of Kenya","digital_native","","","0.12","2014-06-16"
"106871","http://www.news24.co.ke","Kenya Breaking News - All the latest National, World, Africa, Sport, Entertainment and Technology News | Kenya.News24","KEN","","en","none","digital_native","","","9.26","2013-06-03"
"106873","http://www.topix.com/world/kenya","Kenya News - Topix","","","en","Republic of Kenya","","","","0.0","2014-07-21"
"106874","http://www.kenyan-post.com","DAILY POST","KEN","","en","Republic of Kenya","digital_native","","","2.38","2014-06-16"
"106876","http://www.mwakilishi.com","Mwakilishi.com | Kenya Diaspora News Leader!","","","en","Republic of Kenya","","","","0.0","2014-06-16"
"106877","http://mavulture.com","Mavulture","","","en","Republic of Kenya","","","","0.0","2014-05-19"
"106878","http://www.mzalendo.com/blog/","Mzalendo — Eye on Kenyan Parliament","","","en","Republic of Kenya","","","","0.0","2014-03-10"
"106880","http://nipate.com","Kenya Talks • Discussion of local and regional issues. Join the Debate!","","","en","Republic of Kenya","","","","0.0","2014-06-16"
"106881","http://deepcogitation.com","The Real Deal ","KEN","","en","Republic of Kenya","digital_native","","","0.0","2014-06-02"
"106882","http://www.ijmonitor.org/category/kenya-cases/","Kenya Cases | International Justice Monitor","KEN","","en","none","digital_native","","","0.0","2013-04-15"
"106883","http://blog.jaluo.com","Jaluo","","","en","none","","","","0.0","2014-06-02"
"106884","http://www.kenyaforum.net","KenyaForum","","","en","Republic of Kenya","","","","0.18","2014-06-16"
"106885","http://hardtalkkenya.wordpress.com","Hard Talk Kenya | Telling It Like It Is","","","en","Republic of Kenya","","","","0.11","2014-06-16"
"106887","http://www.intelligencebriefs.com/?s=kenya","kenya | Search Results | Strategic Intelligence News","","","en","none","","","","0.16","2014-04-14"
