media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"18970","http://www.koreaherald.com","koreaherald.com","KOR","","en","none","print_native","","","3.6","2018-06-11"
"29822","http://www.koreatimes.co.kr#spider","koreatimes.co.kr","KOR","","en","none","print_native","","","6.71","2018-06-18"
"39378","http://kr.ibtimes.com/","ibtimes-kr","KOR","","ko","none","digital_native","","","0.0","2012-11-12"
"40882","http://english.chosun.com/","chosun","KOR","","en","Republic of Korea","print_native","","","1.41","2017-08-14"
"56414","http://blog.hani.co.kr/","blog.hani.co.kr","KOR","","en","none","print_native","","","0.0","2013-07-15"
"57701","http://english.yonhapnews.co.kr/","english.yonhapnews.co.kr","KOR","","en","Seoul","other","","","0.0","2015-06-01"
"59540","http://news.kbs.co.kr/","news.kbs.co.kr","KOR","","none","none","video_broadcast","","","0.0","2016-10-10"
"63232","http://economy.hankooki.com/","economy.hankooki.com","KOR","","ko","none","print_native","","","0.0","2016-04-18"
"64040","http://news.donga.com/","news.donga.com","KOR","","ko","none","print_native","","","4.11","2013-05-06"
"64705","http://asiatoday.co.kr/","asiatoday.co.kr","KOR","","ko","none","print_native","","","41.19","2013-05-06"
"66295","http://news.chosun.com/","news.chosun.com","KOR","","ko","Rio de Janeiro","print_native","","","0.0","2013-05-06"
"70904","http://koreajoongangdaily.joins.com/#spider","koreajoongangdaily.joins.com","KOR","","en","none","print_native","","","0.0","2016-10-10"
"72031","http://english.hani.co.kr/#spider","english.hani.co.kr","KOR","","en","Republic of Korea","print_native","","","0.77","2016-08-15"
"189702","http://english.donga.com/","english.donga.com","KOR","","en","none","print_native","","","0.01","2016-10-10"
"299961","http://en.asiatoday.co.kr/","ASIATODAY","KOR","","en","none","print_native","","","0.0","2016-10-10"
"300058","http://rki.kbs.co.kr/","KBS WORLD Radio","KOR","","en","none","video_broadcast","","","2.12","2018-06-18"
"358838","http://sbs.co.kr/","sbs.co.kr","KOR","","ko","none","video_broadcast","","","0.0","2018-12-24"
"360331","http://southkoreanews.net/","southkoreanews.net","KOR","","en","Republic of Korea","digital_native","","","1.79","2018-05-07"
"360373","http://khan.co.kr/","khan.co.kr","KOR","","ko","none","print_native","","","33.52","2017-11-06"
"371807","http://www.chosunonline.com/","Chosun Online | 朝鮮日報","KOR","","ja","none","print_native","","","2.47","2017-03-20"
"374102","http://kukinews.com/","kukinews.com","KOR","","ko","United States","print_native","","","12.89","2017-11-06"
"375806","http://japanese.joins.com/","中央日報 - 韓国の最新ニュースを日本語でサービスします。","KOR","","ja","","print_native","","","0.0","2018-06-11"
"376970","http://english.hankyung.com/","english.hankyung.com","KOR","","en","","print_native","","","0.84","2018-05-07"
"377109","http://yonhapnews.co.kr/","yonhapnews.co.kr","KOR","","ko","none","other","","","0.0","2014-04-14"
"382802","http://english.kbs.co.kr/","english.kbs.co.kr","KOR","","ko","","video_broadcast","","","0.0","2017-11-20"
"614309","http://hankyung.com/","hankyung.com","KOR","","ko","none","print_native","","","0.0","2018-11-05"
"622911","http://www.knn.co.kr/","KNN","KOR","","ko","Republic of India","video_broadcast","","","0.01","2017-10-30"
"622912","http://www.imbc.com/","MBC - South Korea","KOR","","ko","","video_broadcast","","","0.0","2017-10-30"
"622913","http://www.hankooki.com/","Hankook Ilbo - South Korea (Korean)","KOR","","ko","none","print_native","","","0.0","2017-11-06"
"622915","http://cn.asiatoday.co.kr/","Asia Today - South Korea (Chinese)","KOR","","zh","","print_native","","","0.0","2017-10-30"
"622916","http://cnnews.chosun.com/","Chosun Ilbo - South Korea (Chinese)","KOR","","zh","","print_native","","","0.0","2018-06-11"
"622917","http://www.munhwa.co.kr/","Munhwa Ilbo","KOR","","ko","","print_native","","","0.0","2018-02-12"
"622918","http://www.naeil.com/","Naeil Shinmoon","KOR","","ko","","print_native","","","0.0","2017-10-30"
"622919","http://www.segye.com/","Segye Times","KOR","","ko","none","print_native","","","21.02","2018-06-18"
"653598","http://www.metroseoul.co.kr/","Metro - South Korea","KOR","","ko","none","print_native","","","12.46","2017-12-04"
"655775","http://edition.cnn.com/QUICKNEWS/korean.html","CNN - South Korea","KOR","","ko","","video_broadcast","","","0.0","2017-12-04"
"657883","http://www.busan.com/","Busan Ilbo","KOR","","ko","","print_native","","","0.0","2018-05-28"
"657884","http://www.kookje.co.kr/","Kookje Daily News","KOR","","ko","Paris","print_native","","","4.36","2017-12-04"
"657885","http://www.cctimes.kr/","Chongcheong Ilbo","KOR","","ko","none","print_native","","","0.72","2017-12-04"
"657886","http://www.dynews.co.kr/","Dongyang Ilbo","KOR","","ko","none","print_native","","","5.38","2017-12-11"
"657887","http://www.jbnews.com/","Joongbu Ilbo","KOR","","ko","none","print_native","","","6.26","2017-12-11"
"657888","http://www.idaegu.com/","Daegu Ilbo","KOR","","ko","none","print_native","","","3.51","2019-06-10"
"657889","http://www.idaegu.co.kr/","Daegu Shinmun","KOR","","ko","none","print_native","","","9.33","2019-06-10"
"657890","http://www.imaeil.com/","Maeil Shinmun","KOR","","ko","","print_native","","","0.0","2017-12-04"
"657891","http://www.tbc.co.kr/","TBC - South Korea","KOR","","ko","","video_broadcast","","","0.0","2017-12-04"
"657892","http://www.yeongnam.co.kr/","Yeongnam Ilbo","KOR","","ko","","print_native","","","0.0","2017-12-04"
"657893","http://www.daejonilbo.com/","Daejeon Ilbo","KOR","","ko","Tumen","print_native","","","0.0","2017-12-11"
"657894","http://www.joongdoilbo.co.kr/","Joongdo Ilbo","KOR","","ko","Tangjin","print_native","","","0.0","2017-12-04"
"657895","http://www.kado.net/","Gangwon Dominilbo","KOR","","ko","none","print_native","","","1.17","2020-06-08"
"657896","http://www.kwnews.co.kr/","Gangwon Ilbo","KOR","","ko","","print_native","","","0.0","2019-05-13"
"657897","http://www.moodeungilbo.co.kr/","Moodeung Ilbo","KOR","","ko","","print_native","","","0.0","2018-08-27"
"657898","http://www.kimpo.com/","Gimpo News","KOR","","ko","","print_native","","","0.0","2017-12-04"
"657899","http://www.nyjtoday.com/","NYJ Today","KOR","","ko","none","print_native","","","1.29","2017-12-11"
"657900","http://www.kyeongin.com/","Gyeongin Ilbo","KOR","","ko","","print_native","","","0.0","2018-02-12"
"657901","http://www.kyeonggi.com/","Gyeonggi Ilbo","KOR","","ko","United States","print_native","","","0.0","2017-12-11"
"657902","http://www.joongboo.com/","Joongboo Ilbo","KOR","","ko","none","print_native","","","7.4","2019-06-10"
"657903","http://www.kyongbuk.co.kr/","Kyongbuk Ilbo","KOR","","ko","","print_native","","","0.0","2018-04-02"
"657904","http://www.uljinnews.co.kr/","Uljin News","KOR","","ko","none","print_native","","","0.92","2017-12-04"
"657905","http://www.ydinews.co.kr/","YDI News","KOR","","ko","","digital_native","","","0.0","2018-05-14"
"657906","http://www.idomin.com/","Gyeongnam Domin Ilbo","KOR","","ko","Gyeongsangnam-do","print_native","","","0.23","2017-11-27"
"657907","http://www.knnews.co.kr/","Gyeongnam Shinmun","KOR","","ko","","print_native","","","0.0","2018-11-05"
"657908","http://www.gnnews.co.kr/","Gyeongnam Ilbo","KOR","","ko","none","print_native","","","2.83","2018-01-08"
"657909","http://www.bonghwa.co.kr","Bonghwa Shinmun","KOR","","ko","","print_native","","","0.0","2017-12-04"
"657910","http://www.incheonilbo.com/","Incheon Ilbo","KOR","","ko","none","print_native","","","1.17","2017-11-06"
"657911","http://www.kihoilbo.co.kr/","Kiho Ilbo","KOR","","ko","none","print_native","","","0.98","2017-11-27"
"657912","http://www.kyungdoilbo.com/","Kyungdo Ilbo","KOR","","ko","","print_native","","","0.0","2017-10-02"
"657913","http://www.hallailbo.co.kr/","Halla Ilbo","KOR","","ko","none","print_native","","","1.82","2018-01-08"
"657915","http://www.jejunews.com/","Jeju Ilbo","KOR","","ko","Jeju-do","print_native","","","3.24","2017-12-11"
"657916","http://www.jejumaeil.net/","Jeju Maeil","KOR","","ko","none","print_native","","","3.14","2017-12-04"
"657917","http://www.jemin.com/","Jemin Ilbo","KOR","","ko","none","print_native","","","7.78","2017-12-04"
"657918","http://www.domin.co.kr/","Jeonbuk Domin Ilbo","KOR","","ko","none","print_native","","","10.26","2017-12-11"
"657919","http://www.jjan.kr/","Jeonbuk Ilbo","KOR","","ko","none","print_native","","","0.0","2018-02-19"
"657920","http://www.jtv.co.kr/","JTV","KOR","","ko","none","video_broadcast","","","0.0","2018-06-25"
"657921","http://www.mokpotoday.com/","Mokpo Today","KOR","","ko","none","print_native","","","1.18","2017-12-04"
"657923","http://www.fnnews.com/","Financial News","KOR","","ko","none","print_native","","","45.83","2019-02-11"
"657924","http://isplus.joins.com/","IS Plus","KOR","","ko","","print_native","","","0.0","2017-12-04"
"657925","http://www.mk.co.kr/","Maeil Business Newspaper","KOR","","ko","State of New South Wales","print_native","","","42.44","2017-12-04"
"657926","http://www.mt.co.kr/","Money Today","KOR","","ko","","print_native","","","0.0","2017-12-04"
"657927","http://www.nocutnews.co.kr/","No Cut News","KOR","","ko","none","print_native","","","43.77","2017-12-04"
