media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39771","http://www.avesta.tj/","avesta","TJK","","ru","none","other","","","1.3","2013-03-18"
"40238","http://www.khovar.tj/eng/","khovar-en","TJK","","en","Republic of Tajikistan","other","","","0.54","2013-03-18"
"40953","http://khovar.tj/rus/","khovar","TJK","","ru","none","other","","","1.77","2013-03-18"
"48445","http://khovar.tj/#spider","khovar.tj","TJK","","tg","none","other","","","1.7","2017-11-06"
"49555","http://www.ozodi.org/#spider","ozodi.org","TJK","","tg","none","video_broadcast","","","1.66","2017-12-04"
"62090","http://rferl.org/","rferl.org","ARM","","","","digital_native","","","1.89","2013-05-06"
"300161","http://www.asiaplus.tj/en","Tajikistan News-NA «Asia-Plus»","TJK","","en","Republic of Tajikistan","other","","","0.01","2016-09-05"
"361674","http://diario16.pe/","Diario 16","TJK","","","","print_native","","","0.0","2017-01-23"
"622920","http://www.jumhuriyat.tj/","Jumhuriyat","TJK","","tg","","print_native","","","0.0","2018-06-11"
"622921","http://www.pressa.tj/ru","Tojikiston - Tajikistan (Russian)","TJK","","ru","none","print_native","","","0.24","2017-10-30"
"622922","http://www.pressa.tj/","Tojikiston - Tajikistan (Tajik)","TJK","","tg","Republic of Tajikistan","print_native","","","1.2","2017-11-06"
"622923","http://www.asiaplus.tj/ru","Asia Plus - Tajikistan (Russian)","TJK","","ru","Republic of Tajikistan","other","","","0.01","2017-11-06"
"622924","http://www.asiaplus.tj/tj","Asia Plus - Tajikistan (Tajik)","TJK","","ru","Republic of Tajikistan","other","","","0.01","2017-11-06"
"622926","http://www.khovar.tj/ara/","Khovar - Tajikistan (Arabic)","TJK","","ar","none","other","","","0.54","2017-10-30"
"622927","http://www.khovar.tj/deu/","Khovar - Tajikistan (German)","TJK","","tg","none","other","","","1.88","2017-11-06"
"622928","http://www.khovar.tj/fas/","Khovar - Tajikistan (Persian)","TJK","","tg","Republic of Tajikistan","other","","","1.63","2017-11-06"
"658239","http://tajuncos.ru/","Novosti Tadzhikistana","TJK","","ru","none","digital_native","","","0.0","2017-12-04"
"658240","http://www.tajikistannews.net/","Tajikistan News","TJK","","en","none","digital_native","","","2.51","2018-05-07"
"658241","http://faraj.tj/","Faraj (Tajik)","TJK","","tg","none","print_native","","","0.0","2019-08-26"
"1720571","http://sadoimardum.tj/","Садои мардум — нашрияи Маҷлиси Олии Ҷумҳурии Тоҷикистон","","","","","","","","0.39","2020-10-12"
"1720572","https://thekyivbeet.webs.com/","https://thekyivbeet.webs.com/","","","","","","","","0.0","2020-10-12"
"1720573","https://vestnik-avicenna.tj/en/","Avicenna Bulletin","","","","","","","","0.0","2020-10-12"
