media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38763","http://www.ulusalkanal.com.tr/","ulusalkanalcom","TUR","","tr","Republic of Turkey","video_broadcast","","","0.12","2013-08-19"
"38899","http://www.milliyet.com.tr","milliyet","TUR","TR-34","tr","Republic of Turkey","print_native","","","27.03","2013-05-27"
"38924","http://www.radikal.com.tr/","radikal","TUR","TR-34","tr","Republic of Turkey","print_native","","","0.0","2013-02-25"
"39001","http://www.evrensel.net/","evrensel","TUR","TR-34","tr","none","print_native","","","12.87","2013-03-18"
"39190","http://www.gunes.com/","gunes","TUR","TR-34","tr","none","print_native","","","4.92","2017-12-11"
"39410","http://www.turkishpress.com/","turkishpress","TUR","","en","Republic of Turkey","digital_native","","","0.11","2019-11-11"
"39868","http://www.aa.com.tr/en","aa-en","TUR","","en","none","other","","","19.58","2014-07-14"
"39877","http://www.kadikoygazetesi.com/","kadikoygazetesi","TUR","TR-34","tr","Republic of Turkey","print_native","","","0.37","2013-03-18"
"40042","http://www.samanyoluhaber.com/","samanyoluhaber","TUR","","tr","Islamic Republic of Iran","video_broadcast","","","5.03","2016-08-01"
"40403","http://www.haberturk.com/","haberturk","TUR","TR-34","tr","Republic of Turkey","print_native","","","24.22","2016-02-08"
"40470","http://www.aydinses.com/","aydinses","TUR","TR-34","tr","Republic of Turkey","print_native","","","0.0","2013-03-18"
"41089","http://www.hurriyetdailynews.com/","hurriyetdailynews","TUR","TR-34","","","print_native","","","2.18","2011-09-12"
"41106","http://www.yenisafak.com.tr/","yenisafak","TUR","TR-34","tr","Republic of Turkey","print_native","","","10.64","2013-05-20"
"41363","http://www.agbursa.com/","agbursa","TUR","TR-16","tr","","print_native","","","0.0","2022-05-14"
"41708","http://www.erzurumgazetesi.com.tr/","erzurumgazetesicom","TUR","TR-25","tr","none","print_native","","","1.33","2017-02-20"
"41757","http://www.netgazete.com/","netgazete","TUR","","tr","none","digital_native","","","0.01","2013-10-14"
"42024","http://www.stargazete.com","stargazete","TUR","TR-34","tr","Republic of Turkey","print_native","","","17.51","2013-03-18"
"42172","http://www.sabah.com.tr/","sabah","TUR","TR-34","tr","Republic of Turkey","print_native","","","23.89","2013-03-25"
"60549","http://hurriyet.com.tr/","hurriyet.com.tr","TUR","TR-34","tr","Republic of Mali","print_native","","","29.26","2013-05-06"
"69321","http://www.turkishweekly.net/#spider","turkishweekly.net","TUR","","en","none","digital_native","","","0.0","2016-08-15"
"105307","http://dailysabah.com/#spider","dailysabah.com","TUR","TR-34","en","none","print_native","","","26.58","2016-08-08"
"107778","http://yeniakit.com.tr/","yeniakit.com.tr","TUR","TR-34","tr","none","print_native","","","0.01","2017-12-18"
