media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38832","http://bdnews24.com","bdnews24","BGD","","en","none","digital_native","","","4.79","2015-09-28"
"41608","http://www.weeklyblitz.net/","weeklyblitz","BGD","BD-C","en","none","print_native","","","0.78","2018-09-03"
"56106","http://web.dailyjanakantha.com/","dailyjanakantha.com","BGD","BD-C","bn","none","print_native","","","0.0","2013-05-06"
"57484","http://thedailystar.net/","thedailystar.net","BGD","BD-C","","","print_native","","","0.07","2013-04-29"
"58818","http://app.com.pk/","app.com.pk","","","en","Islamic Republic of Pakistan","","","","0.0","2016-12-26"
"61392","http://dailynayadiganta.com/","dailynayadiganta.com","BGD","BD-C","bn","none","print_native","","","16.47","2013-05-06"
"64318","http://prothom-alo.com/","prothom-alo.com","BGD","BD-C","bn","none","print_native","","","19.16","2013-11-11"
"99239","http://www.banglanews24.com/#spider","banglanews24.com","BGD","","bn","Bangladesh","digital_native","","","15.64","2017-10-30"
"109967","http://priyo.com/","priyo.com","BGD","","bn","Bangladesh","digital_native","","","0.0","2017-11-06"
"110267","http://en.prothom-alo.com/","en.prothom-alo.com","BGD","BD-C","en","none","print_native","","","3.73","2017-10-30"
"148218","http://newagebd.net/","newagebd.net","BGD","BD-C","en","Bangladesh","print_native","","","0.0","2016-09-26"
"148473","http://dhakatribune.com/","dhakatribune.com","BGD","","en","Bangladesh","digital_native","","","0.0","2017-10-30"
"149072","http://thefinancialexpress-bd.com/","thefinancialexpress-bd.com","BGD","BD-C","en","Bangladesh","print_native","","","0.0","2016-12-12"
"231754","http://theindependentbd.com/","theindependentbd.com","BGD","BD-C","en","Bangladesh","print_native","","","0.0","2016-02-08"
"241420","http://newstoday.com.bd/","newstoday.com.bd","BGD","BD-C","en","none","print_native","","","0.0","2013-03-11"
"242821","http://daily-sun.com/","daily-sun.com","BGD","BD-C","en","none","print_native","","","0.0","2020-03-23"
"246021","http://kalerkantho.com/","kalerkantho.com","BGD","BD-C","bn","none","print_native","","","13.06","2015-11-30"
"246557","http://bonikbarta.com/","bonikbarta.com","BGD","BD-C","bn","Bangladesh","print_native","","","0.0","2017-01-02"
"262818","http://bangladeshchronicle.net/","bangladeshchronicle.net","BGD","","en","Bangladesh","digital_native","","","0.79","2016-12-12"
"298500","http://thedailynewnation.com/","thedailynewnation.com","BGD","BD-C","en","none","print_native","","","0.0","2017-01-02"
"300053","http://primenews.com.bd/en/","primenews.com.bd • Prime News Bangladesh (BD) English Version","BGD","","en","Bangladesh","digital_native","","","0.0","2016-08-15"
"300080","http://tdh.gov.tm/index.php/en/","Turkmenistan Today","ARG","AR-E","","","print_native","","","0.64","2018-04-30"
"300191","http://www.betar.gov.bd/","Bangladesh Betar- | বাংলাদেশ বেতার-","BGD","","en","","video_broadcast","","","0.0","2022-05-14"
"300200","http://www.bssnews.net/","Bangladesh Sangbad Sangstha(BSS)","BGD","","en","none","other","","","0.0","2018-05-28"
"300248","http://www.dhakacourier.com.bd/","DhakaCourier","BGD","","en","Bangladesh","print_native","","","0.0","2016-08-08"
"300277","http://www.firstnewsmagazine.com/","FIRST NEWS","BGD","","en","Bangladesh","print_native","","","0.0","2016-10-10"
"300465","http://www.ourtimebd.com/","OurtimeBD","BGD","","en","none","digital_native","","","0.78","2018-05-28"
"300602","http://www.unbnews.org/","UNB - United News of Bangladesh","BGD","","en","Bangladesh","other","","","0.0","2016-10-10"
"300621","http://www.weeklyholiday.net/","Holiday","BGD","BD-C","en","Republic of India","print_native","","","0.0","2016-10-10"
"308556","http://en.ntvbd.com/","en.ntvbd.com","BGD","","en","Bangladesh","video_broadcast","","","0.0","2016-12-19"
"309304","http://english.thereport24.com/","english.thereport24.com","BGD","","","","digital_native","","","0.0","2015-05-11"
"309777","http://samakal.net/","samakal.net","BGD","BD-C","en","Bangladesh","print_native","","","0.0","2016-12-19"
"310700","http://clickittefaq.com/","clickittefaq.com","BGD","BD-C","en","none","print_native","","","0.0","2017-11-06"
"311514","http://thebangladeshtoday.com/","thebangladeshtoday.com","BGD","BD-C","en","Bangladesh","print_native","","","0.77","2016-12-12"
"317043","http://risingbd.com/","risingbd.com","BGD","","bn","none","digital_native","","","10.61","2019-10-14"
"318083","http://lastnewsbd.com/","lastnewsbd.com","BGD","","bn","Alaska","digital_native","","","5.1","2017-11-06"
