media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"282221","http://stlucianewsonline.com/","stlucianewsonline.com","LCA","","en","none","digital_native","","","0.12","2014-02-10"
"282706","http://stluciatimes.com/","stluciatimes.com","LCA","","en","none","digital_native","","","0.92","2016-08-15"
"300072","http://stluciastar.com/","The St. Lucia STAR","LCA","","en","none","print_native","","","0.22","2016-08-08"
"300304","http://www.htsstlucia.org/","HTS News 4orce","LCA","","en","Saint Lucia","video_broadcast","","","0.22","2016-09-26"
"300544","http://www.stluciachronicle.com/","St. Lucia News","LCA","","en","none","digital_native","","","2.43","2016-08-15"
"300571","http://www.thevoiceslu.com/","St. Lucia News From The Voice St. Lucia","LCA","","en","none","print_native","","","0.74","2016-08-15"
"623079","http://www.dbstvstlucia.com/","Daher Broadcasting Service","LCA","","en","Saint Lucia","video_broadcast","","","0.0","2018-10-29"
"623080","http://www.loopslu.com/","Loop - Saint Lucia","LCA","","en","Saint Lucia","digital_native","","","0.28","2020-08-24"
"623081","https://onelucian.com/","One Lucian News","LCA","","en","","digital_native","","","0.04","2017-08-14"
"657657","http://www.caribbeanhotfm.com/","Hot FM","LCA","","en","none","video_broadcast","","","0.0","2017-12-04"
