media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"19578","http://www.numerama.com","numerama.com","","","fr","none","","","","1.79","2018-03-19"
"21095","http://www.france24.com","france24.com","","","en","none","","","","1.41","2018-03-26"
"21319","http://www.thelocal.fr","thelocal.fr","FRA","","en","Republic of France","digital_native","","","0.8","2015-08-24"
"23673","http://korben.info","korben.info","FRA","","fr","New Zealand","digital_native","","","0.2","2018-03-19"
"39063","http://www.la1ere.fr/","la1ere-saintpierre","FRA","","fr","none","video_broadcast","","","5.47","2016-02-29"
"39066","http://www.presseocean.fr/","presseocean","FRA","","fr","none","print_native","","","0.0","2013-03-11"
"39072","http://www.lemonde.fr/","Le Monde","FRA","","","","print_native","","","5.9","2013-03-18"
"39106","http://www.lagazettedescommunes.com/","lagazettedescommunes","","","fr","none","","","","4.07","2013-03-18"
"39120","http://www.lefigaro.fr/","lefigaro","FRA","","fr","Republic of France","print_native","","","16.58","2013-03-11"
"39201","http://www.dna.fr/","dna-france","FRA","","fr","Republic of France","print_native","","","4.57","2013-03-18"
"39604","http://www.capital.fr/","capital-FR","","","fr","none","","","","7.28","2013-03-18"
"39695","http://www.paris-normandie.fr/","normandie","FRA","","fr","none","print_native","","","19.53","2018-03-19"
"39973","http://www.courrierdelouest.fr/","courrierdelouest","FRA","","fr","Republic of France","print_native","","","0.0","2013-04-01"
"39987","http://www.telerama.fr/","telerama","","","fr","Republic of France","","","","1.92","2013-03-11"
"40104","http://www.francesoir.fr","francesoir","","","fr","Republic of France","","","","2.99","2016-01-25"
"40303","http://www.lepopulaire.fr/accueil.html","lepopulaire","FRA","","fr","Republic of France","print_native","","","4.79","2013-03-11"
"40342","http://www.leprogres.fr/","leprogres","FRA","","fr","Republic of France","print_native","","","4.5","2013-03-18"
"40471","http://www.humanite.fr/","humanite","FRA","","fr","Sofiya-Grad","print_native","","","2.97","2013-03-11"
"40476","http://www.lesechos.fr/","LesEchos","FRA","","fr","Republic of France","print_native","","","0.89","2013-05-20"
"40514","https://www.lci.fr/","LCI","FRA","","fr","Republic of France","video_broadcast","","","0.11","2013-05-20"
"40570","http://www.france24.com/fr/","France 24","FRA","","fr","none","video_broadcast","","","4.09","2013-03-18"
"40602","http://www.lest-eclair.fr/","lest-eclair","FRA","","fr","none","print_native","","","13.81","2013-03-18"
"40606","http://www.france24.com/en/","france24-en","FRA","","en","none","video_broadcast","","","3.6","2013-03-18"
"40894","http://www.lunion.fr/","L'union","FRA","","fr","Republic of France","print_native","","","10.36","2013-03-18"
"40985","http://www.rfi.fr/","RFI","FRA","","fr","none","video_broadcast","","","3.88","2013-03-18"
"41117","http://www.lejdd.fr/","lejdd","FRA","","fr","Republic of France","print_native","","","2.22","2013-05-20"
"41299","http://www.rtl.fr","RTLFrance","","","fr","Republic of France","","","","0.03","2013-03-18"
"41322","http://www.ouest-france.fr","OuestFrance","FRA","FR-BRE","fr","Republic of France","print_native","","","0.06","2013-03-11"
"41352","http://www.estrepublicain.fr/","estrepublicain","FRA","","fr","Republic of France","print_native","","","5.0","2013-03-18"
"41372","http://www.sudouest.fr/","Sud Ouest","FRA","","fr","Republic of France","print_native","","","24.81","2021-02-08"
"41427","http://dailynord.fr/","dailynord","FRA","","fr","Republic of France","digital_native","","","0.5","2013-03-11"
"41565","http://www.larep.fr/accueil.html","larep","FRA","","fr","Republic of France","print_native","","","6.11","2013-03-11"
"41583","http://www.lepoint.fr/","LePoint","FRA","","fr","Republic of France","print_native","","","6.21","2013-05-20"
"41611","http://www.la-croix.com/","la-croix","FRA","","fr","Republic of France","print_native","","","6.87","2013-03-18"
"41747","http://www.jhm.fr/","jhm","FRA","","fr","Republic of France","print_native","","","1.21","2013-06-24"
"41936","http://www.charentelibre.fr/","charentelibre","FRA","","fr","Republic of France","print_native","","","5.52","2013-05-20"
"42084","http://www.ledauphine.com/","ledauphine","FRA","","fr","Republic of France","print_native","","","6.69","2013-04-01"
"42171","http://www.monde-diplomatique.fr/","monde-diplomatique","FRA","","fr","Republic of France","print_native","","","0.3","2013-03-18"
"44545","http://www.slate.fr/#spider","slate.fr","","","fr","United States","","","","0.9","2018-03-19"
"48768","http://www.huffingtonpost.fr/#spider","huffingtonpost.fr","","","fr","United States","","","","3.93","2018-03-26"
"48819","http://fr.news.yahoo.com/#spider","fr.news.yahoo.com","FRA","","fr","none","digital_native","","","17.58","2017-03-20"
"49686","http://www.atlantico.fr/#spider","atlantico.fr","","","fr","none","","","","2.46","2014-04-14"
"50861","http://www.voltairenet.org/#spider","voltairenet.org","","","none","United States","","","","0.36","2011-02-07"
"53066","http://www.challenges.fr/#spider","challenges.fr","","","fr","none","","","","7.86","2017-02-06"
"53125","http://www.latribune.fr/#spider","latribune.fr","FRA","","fr","none","print_native","","","1.98","2017-03-20"
"53242","http://lexpansion.lexpress.fr/#spider","lexpansion.lexpress.fr","FRA","","fr","none","print_native","","","1.37","2017-11-06"
"53979","http://www.zdnet.fr/#spider","zdnet.fr","","","fr","none","","","","1.09","2013-06-03"
"54004","http://www.mediapart.fr/#spider","mediapart.fr","FRA","","fr","none","digital_native","","","0.8","2017-05-01"
"54073","https://www.nouvelobs.com/","L'Obs","FRA","","fr","Republic of France","print_native","","","3.12","2017-03-20"
"55364","http://lexpress.fr/","lexpress.fr","FRA","","fr","none","print_native","","","9.17","2013-05-06"
"57439","http://al-kanz.org/","al-kanz.org","","","fr","Republic of Indonesia","","","","0.12","2013-04-29"
"57934","http://europe1.fr/","europe1.fr","FRA","","fr","none","video_broadcast","","","9.73","2013-04-29"
"58178","http://agoravox.fr/","agoravox.fr","","","fr","none","","","","1.24","2013-04-29"
"61064","http://leparisien.fr/","leparisien.fr","FRA","","fr","none","print_native","","","15.69","2013-05-06"
"61704","http://liberation.fr/","liberation.fr","FRA","","fr","none","print_native","","","0.03","2011-04-04"
"62407","http://20minutes.fr/","20minutes.fr","FRA","","fr","none","print_native","","","6.96","2013-05-06"
"63016","http://lesinrocks.com/","lesinrocks.com","","","fr","United States","","","","0.94","2013-04-29"
"63448","http://connexionfrance.com/","connexionfrance.com","FRA","","en","Republic of France","print_native","","","0.03","2013-03-18"
"64645","http://courrierinternational.com/","courrierinternational.com","FRA","","fr","none","print_native","","","2.98","2013-04-08"
"72865","http://www.bfmtv.com/#spider","bfmtv.com","","","fr","none","","","","40.06","2018-04-02"
"79386","http://www.france2.fr/#spider","france2.fr","FRA","","fr","Republic of France","video_broadcast","","","0.0","2018-06-11"
"82433","http://lecanardenchaine.fr/#spider","lecanardenchaine.fr","","","none","none","","","","0.0","2013-06-10"
"105818","http://rue89.nouvelobs.com/#spider","L'Obs with Rue89","FRA","","fr","none","digital_native","","","0.36","2018-03-26"
"107609","http://franceculture.fr/","franceculture.fr","","","fr","none","","","","1.83","2018-03-26"
"107654","http://francetvinfo.fr/","francetvinfo.fr","","","fr","none","","","","5.81","2018-03-19"
"107897","http://lequipe.fr/","lequipe.fr","FRA","","fr","none","print_native","","","19.99","2017-03-20"
"108298","http://letelegramme.fr/","letelegramme.fr","FRA","FR-BRE","fr","none","print_native","","","3.17","2017-03-27"
"108606","http://rmc.bfmtv.com/","rmc.bfmtv.com","","","fr","Republic of France","","","","1.61","2018-07-23"
"109246","http://agoravox.tv/","agoravox.tv","","","fr","none","","","","1.19","2018-03-26"
"109406","http://enquete-debat.fr/","enquete-debat.fr","","","fr","none","","","","0.18","2018-10-01"
"110629","http://valeursactuelles.com/","valeursactuelles.com","FRA","","fr","Republic of France","print_native","","","0.4","2017-11-06"
"110938","http://24heuresactu.com/","24heuresactu.com","","","fr","Republic of France","","","","0.12","2018-03-19"
"113305","http://bastamag.net/","Basta! Mag","","","fr","Paris","","","","0.21","2017-04-17"
"114509","http://politis.fr/","politis.fr","","","fr","none","","","","0.61","2018-03-19"
"118931","http://fdesouche.com/","fdesouche.com","","","fr","none","","","","2.69","2018-03-26"
"119266","http://egaliteetreconciliation.fr/","egaliteetreconciliation.fr","","","fr","none","","","","0.99","2018-03-19"
"119836","http://cercledesvolontaires.fr/","Cercle des Volontaires","","","","","","","","0.1","2017-04-03"
"120554","http://arretsurinfo.ch/","Arret sur Info","","","fr","none","","","","0.92","2017-09-18"
"122227","http://lyoncapitale.fr/","lyoncapitale.fr","FRA","","fr","none","print_native","","","1.86","2017-03-20"
"123092","http://arretsurimages.net/","arretsurimages.net","","","fr","Republic of France","","","","0.46","2015-01-05"
"123115","http://causeur.fr/","causeur.fr","","","fr","Paris","","","","0.66","2018-03-19"
"124137","http://gala.fr/","gala.fr","FRA","","fr","Republic of France","digital_native","","","0.03","2016-06-06"
"124580","http://les-crises.fr/","les-crises.fr","","","fr","none","","","","0.4","2017-09-18"
"125984","http://fr.reuters.com/","fr.reuters.com","FRA","","fr","Republic of France","other","","","0.0","2017-04-10"
"128555","http://lesalonbeige.blogs.com/","lesalonbeige.blogs.com","","","fr","none","","","","0.33","2015-12-28"
"129160","http://charliehebdo.fr/","Charlie Hebdo","FRA","","fr","none","print_native","","","0.43","2018-07-09"
"129782","http://marianne.net/","marianne.net","FRA","","fr","none","print_native","","","1.72","2016-09-05"
"142790","http://closermag.fr/","closermag.fr","","","fr","none","","","","3.93","2017-07-10"
"144655","http://franceinter.fr/","franceinter.fr","","","fr","none","","","","2.79","2016-06-20"
"144659","http://sciencesetavenir.fr/","sciencesetavenir.fr","","","fr","United States","","","","1.36","2018-03-19"
"150574","http://francebleu.fr/","francebleu.fr","","","fr","Republic of France","","","","47.5","2018-03-26"
"161516","http://vogue.fr/","vogue.fr","","","fr","none","","","","0.0","2018-03-19"
"177330","http://canardpc.com/","canardpc.com","","","fr","Republic of France","","","","1.0","2018-03-26"
"177778","http://lejsl.com/","lejsl.com","FRA","","fr","none","print_native","","","5.02","2017-03-27"
"180108","http://tvmag.lefigaro.fr/","tvmag.lefigaro.fr","","","fr","none","","","","0.97","2018-03-26"
"190960","http://60millions-mag.com/","60millions-mag.com","","","fr","none","","","","0.79","2013-09-23"
"193029","http://journaldesfemmes.com/","journaldesfemmes.com","","","fr","none","","","","2.07","2016-04-18"
"212489","http://fr.novopress.info/","fr.novopress.info","","","fr","Republic of France","","","","0.71","2018-03-12"
"219415","http://parismatch.com/","parismatch.com","","","","","","","","4.21","2015-01-05"
"235206","http://initiativecitoyenne.be/","initiativecitoyenne.be","","","fr","none","","","","0.01","2011-06-13"
"237021","http://ipsn.eu/","ipsn.eu","","","fr","none","","","","0.19","2018-02-12"
"240167","http://morpheus.fr/","morpheus.fr","FRA","","fr","none","digital_native","","","0.0","2018-02-26"
"251197","http://linternaute.com/","linternaute.com","","","fr","none","","","","5.06","2015-01-05"
"258058","http://reporterre.net/","reporterre.net","","","fr","Republic of France","","","","1.12","2018-03-19"
"258062","http://topito.com/","topito.com","","","fr","none","","","","0.93","2018-03-19"
"258072","http://mariefrance.fr/","mariefrance.fr","","","fr","Republic of France","","","","1.43","2018-03-26"
"258106","http://psychologies.com/","psychologies.com","","","fr","none","","","","0.61","2018-03-05"
"258147","http://quenelplus.com/","quenelplus.com","FRA","","","","digital_native","","","0.0","2019-05-13"
"258157","http://etudiant.lefigaro.fr/","etudiant.lefigaro.fr","","","fr","none","","","","0.88","2018-03-12"
"258168","http://bfmbusiness.bfmtv.com/","bfmbusiness.bfmtv.com","","","fr","Republic of France","","","","38.99","2019-11-04"
"258178","http://madame.lefigaro.fr/","madame.lefigaro.fr","","","fr","Miami","","","","0.01","2018-03-26"
"258201","http://jeanmarcmorandini.com/","jeanmarcmorandini.com","FRA","","fr","United States","digital_native","","","3.32","2018-07-09"
"258213","http://public.fr/","public.fr","FRA","","fr","United States","digital_native","","","3.62","2018-07-09"
"258241","http://elle.fr/","elle.fr","","","fr","none","","","","4.51","2018-04-02"
"258247","http://newspress.fr/","newspress.fr","FRA","","fr","none","other","","","1.0","2017-03-20"
"258269","http://acrimed.org/","acrimed.org","","","fr","Distrito Capital","","","","0.13","2015-03-16"
"258318","http://bvoltaire.fr/","bvoltaire.fr","","","fr","United Kingdom of Great Britain and Northern Ireland","","","","1.24","2018-03-26"
"258322","http://lcp.fr/","lcp.fr","","","fr","none","","","","0.13","2015-01-05"
"258330","http://medias-presse.info/","medias-presse.info","","","fr","Republic of France","","","","0.92","2018-03-26"
"258333","http://nationspresse.info/","nationspresse.info","","","fr","none","","","","0.06","2015-01-05"
"258403","http://fr.sott.net/","fr.sott.net","","","fr","United States","","","","3.92","2017-11-27"
"258426","http://nextinpact.com/","nextinpact.com","","","fr","United States","","","","5.27","2018-03-19"
"258442","http://conspiracywatch.info/","conspiracywatch.info","","","fr","none","","","","0.13","2017-10-09"
"258519","http://telestar.fr/","telestar.fr","","","fr","United States","","","","2.17","2018-03-19"
"258520","http://premiere.fr/","premiere.fr","","","fr","none","","","","3.08","2015-09-07"
"258525","http://publicsenat.fr/","publicsenat.fr","","","fr","Paris","","","","0.62","2018-03-19"
"258533","http://gqmagazine.fr/","gqmagazine.fr","","","fr","United States","","","","0.0","2018-03-19"
"258549","http://lopinion.fr/","lopinion.fr","","","fr","United States","","","","5.16","2018-03-19"
"258563","http://streetpress.com/","streetpress.com","","","fr","Paris","","","","0.29","2018-03-05"
"258565","http://oumma.com/","oumma.com","","","fr","none","","","","0.1","2018-03-26"
"258630","http://dreuz.info/","dreuz.info","","","fr","none","","","","0.8","2018-03-26"
"258689","http://europe-israel.org/","europe-israel.org","","","fr","none","","","","0.38","2016-10-10"
"258705","http://lavie.fr/","lavie.fr","","","fr","none","","","","0.13","2018-03-19"
"258710","http://ojim.fr/","ojim.fr","","","fr","none","","","","0.22","2015-03-16"
"268588","http://gamekult.com/","gamekult.com","","","fr","none","","","","1.44","2018-03-26"
"281954","http://quechoisir.org/","quechoisir.org","FRA","","fr","Republic of France","digital_native","","","0.31","2018-03-12"
"282168","http://boursorama.com/","boursorama.com","FRA","","fr","Hessen","digital_native","","","0.03","2018-03-26"
"282298","http://allodocteurs.fr/","allodocteurs.fr","","","fr","none","","","","0.59","2018-03-26"
