media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38702","http://www.maannews.net/en/","maannews-en","PSE","","en","none","other","","","0.0","2013-04-01"
"39157","http://www.manar.com/","manar","PSE","PS-JEM","ar","none","print_native","","","0.0","2016-05-09"
"39562","http://www.alquds.com/","alquds","PSE","PS-JEM","ar","Kingdom of Thailand","print_native","","","0.0","2013-03-11"
"40045","http://www.jmcc.org/","jmcc","PSE","","en","none","digital_native","","","0.0","2012-11-12"
"41012","http://palestinechronicle.com/","palestinechronicle","PSE","","en","State of Israel","digital_native","","","0.5","2013-03-18"
"41551","http://www.alhourriah.org/","alhourriah","PSE","","ar","none","print_native","","","0.0","2013-06-24"
"41586","http://www.alquds.co.uk/","alquds-uk","PSE","","ar","none","print_native","","","9.7","2013-03-18"
"41746","http://www.palestine-info.co.uk/en/","palestine-info-en","PSE","","en","none","digital_native","","","1.29","2017-08-07"
"41832","http://www.al-ayyam.com/","al-ayyam","PSE","","none","none","print_native","","","0.0","2022-05-14"
"62698","http://maannews.net/","maannews.net","PSE","","ar","none","other","","","0.0","2013-04-29"
"106455","http://english.pnn.ps/","english.pnn.ps","PSE","","en","West Bank","digital_native","","","0.37","2015-06-15"
"108108","http://english.wafa.ps/","english.wafa.ps","PSE","","en","none","other","","","0.0","2013-06-10"
"108134","http://wafa.ps/","wafa.ps","PSE","","ar","Palestine","other","","","0.01","2018-08-06"
"108213","http://felesteen.ps/","felesteen.ps","PSE","PS-GZA","ar","none","print_native","","","6.54","2020-06-15"
"108355","http://alhayat-j.com/","alhayat-j.com","","","","","","","","0.0","2020-10-12"
"108504","http://wattan.tv/","wattan.tv","PSE","","ar","","video_broadcast","","","0.0","2018-07-30"
"109415","http://thisweekinpalestine.com/","thisweekinpalestine.com","","","","","","","","0.11","2017-05-29"
"123774","http://arabic.pnn.ps/","arabic.pnn.ps","PSE","","ar","Arab Republic of Egypt","digital_native","","","2.94","2017-11-06"
"300049","http://paljournal.net/index.php?lang=en","Palestine Journal","PSE","","en","Palestine","digital_native","","","0.0","2016-09-05"
"623089","http://www.alkitab.ps/arabic/","Al Kitab","PSE","","ar","","video_broadcast","","","0.0","2014-01-06"
"623090","http://www.pbc.ps/","Palestine Public Broadcasting Corporation","PSE","","ar","none","video_broadcast","","","3.18","2017-11-06"
"623091","http://www.salam-tv.ps/","Salam TV","PSE","","ar","none","video_broadcast","","","0.0","2017-11-06"
"623092","http://german.pnn.ps/","Palestine News Network - Palestine (German)","PSE","","de","","digital_native","","","0.0","2017-06-19"
"623093","http://french.pnn.ps/","Palestine News Network - Palestine (French)","PSE","","fr","","digital_native","","","0.0","2017-02-27"
"623094","http://hebrew.wafa.ps/","WAFA - Palestine (Hebrew)","PSE","","he","","other","","","0.0","2017-10-30"
"624205","http://www.qudstv.com/","Al Quds - Palestine (Arabic)","PSE","","ar","","video_broadcast","","","0.0","2017-10-30"
"657222","http://aqsatv.ps/war/","قناة الاقصى الفضائية - عينك على الوطن","PSE","PS-GZA","ar","none","video_broadcast","","","0.02","2017-12-04"
