media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38711","http://www.cas.sk/","cas","SVK","SK-BL","sk","none","print_native","","","10.66","2013-03-18"
"39130","http://www.24hod.sk/","24hod","SVK","SK-BL","sk","none","print_native","","","4.83","2013-03-18"
"39271","http://www.aktuality.sk/","aktuality","SVK","SK-BL","sk","none","print_native","","","7.19","2013-03-11"
"39742","http://www.markiza.sk/uvod","markiza","SVK","","sk","none","video_broadcast","","","0.0","2013-12-09"
"39927","http://www.etrend.sk/","etrend","SVK","","sk","none","print_native","","","9.38","2013-03-11"
"39972","http://www.ta3.com/","ta3","SVK","","sk","none","video_broadcast","","","6.89","2013-03-11"
"40637","http://spectator.sme.sk/","spectator","SVK","SK-BL","en","Slovak Republic","print_native","","","0.94","2013-03-04"
"40731","http://spravy.pozri.sk/","spravy-pozri","SVK","","sk","none","digital_native","","","0.0","2013-09-09"
"41749","http://ujszo.com/","ujszo","SVK","SK-BL","hu","none","print_native","","","1.73","2013-03-18"
"50779","http://www.sme.sk/#spider","sme.sk","","","sk","none","","","","4.27","2019-06-03"
"56969","http://blog.sme.sk/","blog.sme.sk","SVK","SK-BL","sk","none","print_native","","","1.41","2013-04-29"
"58715","http://hnonline.sk/","hnonline.sk","SVK","SK-BL","sk","none","print_native","","","1.22","2013-04-29"
"250404","http://tyzden.sk/","tyzden.sk","SVK","","sk","none","print_native","","","1.4","2017-10-23"
"250488","https://dennikn.sk/","dennikn.sk","","","","","","","","2.14","2020-10-19"
"287401","http://pluska.sk/","pluska.sk","SVK","SK-BL","sk","United States","print_native","","","7.86","2017-12-04"
"297962","http://aktualne.atlas.sk/","aktualne.atlas.sk","SVK","","sk","none","digital_native","","","4.92","2018-07-23"
"300531","http://www.sktoday.com/","Slovakia Today - latest news from Slovakia - sktoday.com","SVK","","en","","digital_native","","","0.0","2014-01-27"
"300557","http://www.thedaily.sk/","The Daily Slovakia | Daily Slovak news in English","SVK","","en","","digital_native","","","0.06","2016-06-06"
"568953","http://webnoviny.sk/","webnoviny.sk","SVK","","sk","none","digital_native","","","3.92","2018-07-23"
"623096","http://www.rtvs.sk/","RTVS","SVK","","sk","","video_broadcast","","","0.0","2018-06-11"
"623097","http://www.joj.sk/","TV Joj","SVK","","sk","none","video_broadcast","","","0.0","2017-10-30"
"623098","http://www.markiza.sk/","TV Markiza - Slovakia (Slovak)","SVK","","sk","none","video_broadcast","","","0.0","2018-09-17"
"623099","http://www.buongiornoslovacchia.sk/","Buongiorno Slovacchia","SVK","","it","United States","digital_native","","","0.51","2017-11-13"
"623100","http://aktualne.atlas.sk/dnes/","Dnes - Slovakia","SVK","","sk","none","digital_native","","","0.0","2018-07-23"
"623102","http://noizz.sk/","Noizz - Slovakia","SVK","","sk","United States","digital_native","","","0.0","2017-10-30"
"623103","http://www.profini.sk/","Profini","SVK","","sk","none","digital_native","","","0.0","2017-09-25"
"623104","http://www.pluska.sk/plus-7-dni/","Plus 7 Dni","SVK","","sk","none","print_native","","","10.92","2018-07-23"
"623105","http://profit.etrend.sk/","Profit - Slovakia","SVK","","sk","none","print_native","","","7.08","2020-08-24"
"623106","http://vasarnap.ujszo.com/","Vasarnap","SVK","","hu","none","print_native","","","2.24","2017-10-30"
"623107","http://www.pravda.sk/","Pravda - Slovakia (Slovak)","SVK","SK-BL","sk","none","print_native","","","15.36","2017-08-21"
"623108","http://www.sita.sk/sk/","SITA","SVK","","sk","","other","","","0.0","2017-03-06"
"623109","http://www.tasr.sk/","TASR","SVK","","sk","","other","","","0.0","2017-10-30"
"649863","http://michalovsko.sk/","regionalne-noviny","SVK","SK-KI","sk","","print_native","","","0.0","2017-12-04"
"657758","http://www.katnoviny.sk/","Katolicke Noviny","SVK","SK-BL","sk","none","print_native","","","1.13","2019-08-12"
"657760","https://mynovohrad.sme.sk/","Novohradske Noviny","SVK","SK-BC","sk","none","print_native","","","0.71","2018-07-16"
"657762","http://mynoviny.webase.sk/noviny-ziarskej-kotliny-683.aspx","MY Noviny Ziarskej Kotliny","SVK","SK-BC","sk","none","print_native","","","0.0","2018-09-10"
"657765","http://www.bratislavskenoviny.sk/","Bratislavske Noviny","SVK","SK-BL","sk","none","print_native","","","1.58","2018-05-28"
"657766","http://www.bakurier.sk/","Bratislavsky Kurier","SVK","SK-BL","sk","","print_native","","","0.0","2019-05-13"
"657767","http://www.tvba.sk/","TV Bratislava","SVK","SK-BL","sk","Bratislava","video_broadcast","","","0.0","2017-12-04"
"657768","http://korzar.sme.sk/","Korzar","SVK","SK-KI","sk","none","print_native","","","0.81","2017-11-27"
"657769","https://mylevice.sme.sk/c/6791189/vyslo-nove-cislo-my-tyzden-na-pohroni.html","Tyzden na Pohroni","SVK","SK-NI","sk","none","print_native","","","0.58","2018-07-02"
"657770","https://mynitra.sme.sk/","Nitrianske Noviny","SVK","SK-NI","sk","none","print_native","","","0.91","2018-07-16"
"657771","http://www.tvnitricka.sk/","TV Nitricka","SVK","SK-NI","sk","none","video_broadcast","","","0.22","2018-08-06"
"657772","https://mynovezamky.sme.sk/","Nove Zamky","SVK","SK-NI","sk","none","print_native","","","0.61","2018-07-09"
"657775","http://www.noviny-poprad.sk/","Poprad","SVK","SK-PV","sk","","print_native","","","0.0","2017-12-11"
