media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39360","http://www.mareeg.com/","mareeg","","","en","none","","","","0.24","2013-04-15"
"119221","http://diplomat.so/","diplomat.so","SOM","","en","none","digital_native","","","0.01","2016-08-15"
"125567","http://wardheernews.com/","wardheernews.com","SOM","","en","none","digital_native","","","0.69","2017-12-04"
"225439","http://somalilandsun.com/","somalilandsun.com","SOM","SO-WO","en","none","digital_native","","","0.6","2018-08-27"
"229553","http://hiiraan.com/","hiiraan.com","SOM","","en","none","digital_native","","","2.88","2018-07-23"
"269762","http://garoweonline.com/","garoweonline.com","SOM","","en","Somalia","digital_native","","","0.0","2017-03-06"
"269793","https://horseedmedia.net/","horseedmedia.net","","","","","","","","0.74","2020-10-12"
"341241","http://allsbc.com/","allsbc.com","SOM","SO-BR","so","Somalia","video_broadcast","","","0.48","2017-12-04"
"497780","http://radiomuqdisho.net/","radiomuqdisho.net","SOM","","so","Somalia","video_broadcast","","","0.76","2017-12-04"
"501401","http://somalipress.com/","somalipress.com","SOM","","","","print_native","","","0.0","2018-08-27"
"542190","http://somaliaone.net/","somaliaone.net","SOM","","","","digital_native","","","0.0","2017-06-26"
"657804","http://www.radiobanadir.com/","Radio Banadir","SOM","","so","none","video_broadcast","","","0.0","2018-07-30"
"657806","http://puntlandi.com/?cat=10","Puntland I (English)","SOM","","so","none","digital_native","","","0.02","2017-12-04"
"657807","http://puntlandi.com/","Puntland I (Somali)","SOM","","so","none","digital_native","","","0.0","2017-12-04"
"657808","http://puntlandnews24.com/","Puntland News 24","SOM","","so","Somalia","digital_native","","","0.0","2017-12-04"
"657809","http://www.puntlandpost.com/","Puntland Post","SOM","","so","Somalia","digital_native","","","0.67","2018-07-23"
"657811","http://somalilandpress.com/","Somaliland Press","SOM","SO-WO","en","none","digital_native","","","0.0","2017-11-27"
"1720554","http://dillapress.blogspot.com/","dillapress.com","","","","","","","","0.0","2017-07-31"
"1720555","https://www.somaliland.com/category/news/horn-of-africa-news/","https://www.somaliland.com/category/news/horn-of-africa-news/","","","","","","","","0.0","2020-10-12"
"1720556","https://horntribune.com/","The Horn Tribune","","","","","","","","0.32","2020-09-21"
"1720557","https://www.garoweonline.com/en","Latest and Breaking News from Somalia | Garowe Online","","","","","","","","0.0","2020-10-12"
