media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38871","http://www.eltiempo.com","El Tiempo","COL","","","","print_native","","","22.84","2013-03-11"
"41826","http://diariocorreo.pe/","corroeperu","PER","","es","United States","digital_native","","","18.74","2016-01-04"
"55939","http://rpp.com.pe/","rpp.com.pe","PER","","es","none","video_broadcast","","","13.26","2013-04-29"
"56370","http://expreso.com.pe/","expreso.com.pe","PER","","es","none","print_native","","","4.08","2018-06-18"
"56792","http://radionacional.com.pe/","radionacional.com.pe","PER","","es","","video_broadcast","","","0.0","2014-12-22"
"59184","http://elcomercio.pe/","elcomercio.pe","PER","","es","none","print_native","","","26.2","2013-05-06"
"59985","http://losandes.com.pe/","losandes.com.pe","PER","PE-PUN","es","none","print_native","","","0.5","2013-04-29"
"60458","http://peru21.pe/","peru21.pe","PER","","es","United States","print_native","","","16.72","2013-05-06"
"61315","http://terra.com.pe/","terra.com.pe","PER","","es","none","digital_native","","","0.0","2013-05-06"
"61426","http://proycontra.com.pe/","proycontra.com.pe","PER","PE-LOR","es","none","print_native","","","0.61","2013-05-06"
"62425","http://peru.com/","peru.com","PER","","es","none","digital_native","","","0.0","2013-05-06"
"63533","http://larepublica.pe/","larepublica.pe","PER","","es","none","print_native","","","45.21","2016-03-14"
"65516","http://tvperu.gob.pe/","tvperu.gob.pe","PER","","es","none","video_broadcast","","","0.02","2017-01-09"
"146313","http://elpopular.pe/","elpopular.pe","PER","","es","Russian Federation","print_native","","","16.87","2016-12-26"
"229978","http://gestion.pe/","gestion.pe","PER","","es","none","print_native","","","10.44","2015-10-05"
"282366","http://larazon.pe/","larazon.pe","PER","","es","none","print_native","","","3.74","2016-12-26"
"282479","http://ojo.pe/","ojo.pe","","","","","","","","10.61","2020-10-12"
"282703","http://perureports.com/","perureports.com","PER","","en","","digital_native","","","0.28","2015-02-09"
"300143","http://www.andina.com.pe/ingles/","ANDINA - Peru News Agency","PER","","en","Republic of Peru","other","","","1.0","2016-08-15"
"300473","http://www.peruviantimes.com/","Peru News - Peruvian Times, Peru news in English since 1908","PER","","en","Republic of Peru","digital_native","","","0.0","2016-05-30"
"316279","http://elperuano.pe/","elperuano.pe","PER","","es","Republic of Peru","print_native","","","0.0","2017-07-24"
"325280","http://cronicaviva.com.pe/","cronicaviva.com.pe","PER","","es","none","digital_native","","","0.0","2016-12-26"
"325879","http://trujilloinforma.com/","trujilloinforma.com","PER","PE-LAL","es","none","digital_native","","","0.28","2016-12-26"
"326279","http://libero.pe/","libero.pe","PER","","es","none","print_native","","","0.0","2015-06-22"
"326625","http://americatv.com.pe/","americatv.com.pe","PER","","es","none","video_broadcast","","","2.24","2017-12-04"
"327204","http://depor.com/","depor.com","PER","","es","none","print_native","","","14.93","2017-01-02"
"327572","http://latina.pe/","latina.pe","PER","","es","none","video_broadcast","","","3.36","2018-06-11"
"329439","http://exitosanoticias.pe/","exitosanoticias.pe","PER","","es","United States","print_native","","","4.76","2016-12-26"
"330787","http://gacetaucayalina.com/","gacetaucayalina.com","PER","PE-UCA","es","none","digital_native","","","0.46","2016-12-26"
"335622","http://panamericana.pe/","panamericana.pe","PER","","es","none","video_broadcast","","","7.21","2016-12-26"
"336399","http://publimetro.pe/","publimetro.pe","PER","","es","none","print_native","","","0.0","2016-12-26"
"337174","http://trome.pe/","trome.pe","PER","","es","England","print_native","","","12.32","2016-12-26"
"340857","http://elbuho.pe/","elbuho.pe","PER","PE-ARE","es","none","print_native","","","1.28","2017-01-16"
"343665","http://connuestroperu.com/","connuestroperu.com","PER","","es","none","digital_native","","","0.84","2016-12-26"
"361283","http://agenciaperu.net/","agencia peru | Agencia peruana de noticias","PER","","es","none","digital_native","","","0.0","2017-01-02"
"361284","http://www.peruactual.com/","Peru Actual","PER","","es","","digital_native","","","0.0","2017-03-13"
"361285","http://www.perualdia.net/","Perú al Día – Revista electrónica","PER","","es","none","digital_native","","","0.0","2016-12-26"
"361286","http://www.peruinforma.com/","Peruinforma.com","PER","","es","United States","digital_native","","","1.03","2016-12-26"
"361287","http://perunoticias.net/","Noticias del Perú y del mundo","PER","","es","none","digital_native","","","0.0","2016-12-19"
"361288","http://www.perupress.com/","Peru Press","PER","","es","Republic of Peru","digital_native","","","0.13","2018-11-19"
