media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38749","http://www.nettavisen.no/","nettavisen","NOR","","no","none","digital_native","","","0.01","2013-03-18"
"38861","http://www.hegnar.no/","hegnar","NOR","","no","none","digital_native","","","0.0","2013-03-11"
"39237","http://www.adressa.no/","adressa","NOR","NO-16","no","Kingdom of Norway","print_native","","","12.37","2013-03-18"
"39430","http://www.groruddalen.no/","groruddalen","NOR","NO-03","no","Kingdom of Norway","print_native","","","1.63","2013-03-11"
"39491","http://tb.no/","TonsbergsBlad","NOR","NO-07","no","none","print_native","","","2.86","2017-01-09"
"39516","http://www.dagbladet.no/","dagbladet","NOR","NO-03","no","none","print_native","","","7.16","2013-03-11"
"39561","http://www.dagen.no/","dagen","NOR","NO-12","no","none","print_native","","","0.94","2016-08-08"
"39687","http://www.opdalingen.no","opdalingen","NOR","NO-16","no","none","print_native","","","1.03","2013-03-18"
"39688","http://www.dn.no","DagensNeringsliv","NOR","NO-03","no","none","print_native","","","3.43","2013-03-18"
"39709","http://www.varden.no","varden","NOR","NO-08","no","Kingdom of Norway","print_native","","","2.1","2014-05-12"
"39767","http://www.finnmarkdagblad.no","finnmarkdagblad","NOR","NO-20","no","none","print_native","","","1.6","2013-03-18"
"39811","http://www.norwaypost.no","norwaypost","NOR","","en","Kingdom of Norway","digital_native","","","0.0","2013-03-11"
"39891","http://www.sognavis.no","sognavis","NOR","NO-14","no","none","print_native","","","0.0","2013-03-18"
"40086","http://www.vl.no/","vl","NOR","NO-03","no","none","print_native","","","3.18","2013-03-18"
"40122","http://www.tk.no","tk","NOR","NO-15","no","Kingdom of Norway","print_native","","","0.43","2013-03-18"
"40150","http://www.ranablad.no","ranablad","NOR","NO-18","no","Kingdom of Norway","print_native","","","2.04","2016-12-19"
"40164","http://www.rb.no","rb","NOR","NO-02","no","Kingdom of Norway","print_native","","","3.06","2013-03-18"
"40217","http://www.nytid.no/","nytid","NOR","NO-03","no","Oslo County","print_native","","","0.28","2014-06-30"
"40223","http://www.oa.no","oa","NOR","NO-05","no","none","print_native","","","0.0","2013-03-18"
"40434","http://dt.no/","dt","NOR","NO-06","none","none","print_native","","","0.0","2016-10-10"
"40491","http://www.an.no","an","NOR","NO-18","no","none","print_native","","","0.0","2013-03-18"
"40639","http://www.retten.no/","retten","NOR","NO-16","no","Oslo County","print_native","","","1.3","2017-01-30"
"40673","http://www.smaalenene.no","smaalenene","NOR","NO-01","no","Kingdom of Norway","print_native","","","1.83","2013-03-18"
"40710","http://www.vg.no","VG","NOR","NO-03","no","none","print_native","","","5.03","2013-03-18"
"40803","http://www.austagderblad.no/","austagderblad","NOR","NO-09","no","none","print_native","","","1.24","2013-03-18"
"40981","http://www.moss-avis.no","moss-avis","NOR","NO-01","no","none","print_native","","","0.0","2016-09-12"
"41062","http://www.aftenposten.no/","aftenposten","NOR","NO-03","no","none","print_native","","","5.89","2013-03-18"
"41463","http://aftenbladet.no/","aftenbladet","NOR","NO-11","no","Kingdom of Norway","print_native","","","8.62","2013-03-18"
"41492","http://www.bt.no/","bt-no","NOR","NO-12","no","Kingdom of Norway","print_native","","","6.48","2013-03-18"
"41664","http://www.lofotposten.no","lofotposten","NOR","NO-18","no","none","print_native","","","0.0","2013-03-18"
"41712","http://www.saltenposten.no/","saltenposten","NOR","NO-18","no","none","print_native","","","1.78","2013-05-27"
"41884","http://www.rbnett.no/","rbnett","NOR","NO-15","no","Kingdom of Norway","print_native","","","2.02","2018-01-08"
"41921","http://www.oblad.no","oblad","NOR","NO-02","no","none","print_native","","","0.0","2016-10-10"
"42002","http://www.amta.no","amta","NOR","NO-02","no","none","print_native","","","0.0","2013-03-18"
