media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39230","http://www.lanouvelletribune.info/","lanouvelletribune","BEN","BJ-LI","fr","none","print_native","","","2.66","2013-03-25"
"39729","http://www.benininfo.com/","benininfo","BEN","","fr","none","digital_native","","","0.17","2013-06-03"
"39975","http://www.actubenin.com/","actubenin","BEN","BJ-LI","fr","Republic of Benin","print_native","","","0.18","2018-05-28"
"40205","http://quotidienlematin.com/","quotidienlematin","BEN","BJ-LI","fr","none","print_native","","","0.0","2013-03-11"
"40728","http://www.gouv.bj/","gouv-bj","BEN","","fr","Littoral","other","","","1.08","2013-03-11"
"41384","https://www.journal-adjinakou-benin.net/","adjinakou","BEN","BJ-OU","fr","Republic of Benin","print_native","","","0.0","2013-06-03"
"41677","http://www.sonangnon.org/","sonangnon","BEN","","fr","Republic of Benin","digital_native","","","0.0","2013-03-18"
"143985","http://beninsite.net/","beninsite.net","BEN","","fr","none","digital_native","","","0.23","2017-11-06"
"623138","http://www.benin24tv.com/","Benin 24 TV","BEN","","en","United States","video_broadcast","","","2.43","2019-09-02"
"623139","http://www.ortb.info/","ORTB","BEN","","fr","","video_broadcast","","","0.0","2017-05-15"
"623140","http://www.24haubenin.info/","24 Heures au Benin","BEN","","fr","Republic of Benin","digital_native","","","2.33","2017-11-06"
"623141","http://www.acotonou.com/","A Cotonou","BEN","","fr","","digital_native","","","0.0","2017-10-30"
"623142","http://www.icibenin.com/","Ici Benin","BEN","","fr","","digital_native","","","0.0","2018-04-16"
"623143","http://www.laraignee.org/","L'Araignee","BEN","","","","digital_native","","","0.0","2017-10-16"
"623144","http://lautrefraternite.com/","L'Autre Fraternite","BEN","","fr","","digital_native","","","0.0","2017-10-09"
"623146","http://actualites.visages-du-benin.com/","Visages du Benin","BEN","","fr","none","digital_native","","","0.14","2017-10-30"
"623147","http://www.lanationbenin.info/","La Nation - Benin","BEN","BJ-LI","fr","none","print_native","","","0.86","2017-10-30"
"649839","http://golfegroupe.com/","La Gazette du Golfe","BEN","BJ-LI","fr","none","print_native","","","0.0","2017-10-16"
"653629","http://www.bénin.info/","Benin","BEN","","fr","none","digital_native","","","3.3","2018-11-26"
"653630","http://www.fraternitebj.info/","Fraternite","BEN","BJ-LI","fr","none","print_native","","","0.83","2018-01-22"
"653631","http://www.lapressedujour.net/","La Presse du Jour","BEN","BJ-LI","en","none","print_native","","","0.0","2016-11-14"
"653633","http://levenementprecis.com/","L'Evenement Precis","BEN","BJ-LI","fr","none","print_native","","","0.47","2017-12-04"
"653634","http://www.les4verites.info/","Les 4 Verites","BEN","BJ-LI","fr","none","print_native","","","0.48","2017-12-04"
