media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"57148","http://saharaoccidental.blogspot.com/","saharaoccidental.blogspot.com","ESH","","none","none","digital_native","","","0.0","2011-01-17"
"623148","http://www.rasd-tv.com/","RASD TV - Western Sahara (Arabic)","ESH","","ar","none","video_broadcast","","","0.01","2017-09-04"
"623149","http://rasd.tv/index.php/channel/8/tv-castellano-الاخبار-بالاسبانية/","RASD TV - Western Sahara (Spanish)","ESH","","ar","none","video_broadcast","","","0.01","2017-04-24"
"623150","http://www.corcas.com/Default.aspx?tabid=156","Corcas - Western Sahara (Arabic)","ESH","","ar","none","digital_native","","","0.38","2017-11-13"
"623151","http://www.corcas.com/Default.aspx?tabid=738","Corcas - Western Sahara (French)","ESH","","fr","","digital_native","","","0.0","2018-04-16"
"623152","http://www.corcas.com/Default.aspx?tabid=1007","Corcas - Western Sahara (Italian)","ESH","","it","none","digital_native","","","3.26","2018-12-24"
"623153","http://www.corcas.com/Default.aspx?tabid=970","Corcas - Western Sahara (Portuguese)","ESH","","pt","","digital_native","","","0.0","2018-04-16"
"623154","http://www.corcas.com/Default.aspx?tabid=879","Corcas - Western Sahara (Russian)","ESH","","ru","","digital_native","","","0.0","2017-11-13"
"623155","http://www.corcas.com/Default.aspx?tabid=743","Corcas - Western Sahara (Spanish)","ESH","","es","","digital_native","","","0.0","2018-04-16"
"623156","http://www.elconfidencialsaharaui.com/","El Confidencial Saharaui","ESH","","es","none","digital_native","","","0.01","2017-10-30"
"623158","http://www.sahara-online.net/ar","Sahara Online - Western Sahara (Arabic)","ESH","","ar","","digital_native","","","0.0","2017-11-13"
"623159","http://www.sahara-online.net/de","Sahara Online - Western Sahara (German)","ESH","","de","","digital_native","","","0.0","2018-06-11"
"623160","http://www.sahara-online.net/eng","Sahara Online - Western Sahara (English)","ESH","","en","","digital_native","","","0.0","2017-11-13"
"623161","http://www.sahara-online.net/fr","Sahara Online - Western Sahara (French)","ESH","","fr","","digital_native","","","0.0","2018-04-16"
"623162","http://www.sahara-online.net/it","Sahara Online - Western Sahara (Italian)","ESH","","it","","digital_native","","","0.0","2018-03-05"
"623163","http://www.sahara-online.net/pt","Sahara Online - Western Sahara (Portuguese)","ESH","","pt","","digital_native","","","0.0","2018-04-16"
"623164","http://www.sahara-online.net/ru","Sahara Online - Western Sahara (Russian)","ESH","","ru","","digital_native","","","0.0","2017-12-25"
"623165","http://www.sahara-online.net/esp","Sahara Online - Western Sahara (Spanish)","ESH","","es","","digital_native","","","0.0","2018-04-16"
"623167","http://diasporasaharaui-en.blogspot.com/","Western Sahara News","ESH","","en","","digital_native","","","0.0","2015-02-09"
"623168","http://wsrw.org/lDE","Western Sahara Resource Watch - Western Sahara (German)","ESH","","de","Western Sahara","digital_native","","","0.21","2019-05-13"
"623169","http://wsrw.org/lEN","Western Sahara Resource Watch - Western Sahara (English)","ESH","","en","Western Sahara","digital_native","","","0.21","2019-08-26"
"623170","http://wsrw.org/lFR","Western Sahara Resource Watch - Western Sahara (French)","ESH","","fr","none","digital_native","","","0.21","2019-08-26"
"623171","http://wsrw.org/lES","Western Sahara Resource Watch - Western Sahara (Spanish)","ESH","","es","none","digital_native","","","0.21","2019-08-26"
"623172","http://www.spsrasd.info/news/ar","Sahara Press Service - Western Sahara (Arabic)","ESH","","none","none","other","","","1.16","2017-11-06"
"623173","http://www.spsrasd.info/news/en","Sahara Press Service - Western Sahara (English)","ESH","","none","none","other","","","1.13","2017-11-06"
"623174","http://www.spsrasd.info/news/fr","Sahara Press Service - Western Sahara (French)","ESH","","none","none","other","","","1.16","2017-11-06"
"623175","http://www.spsrasd.info/news/ru","Sahara Press Service - Western Sahara (Russian)","ESH","","none","none","other","","","1.16","2017-11-06"
"624207","http://www.corcas.com/Default.aspx?tabid=929","Corcas - Western Sahara (German)","ESH","","de","none","digital_native","","","0.38","2018-05-28"
"624208","http://www.corcas.com/Default.aspx?tabid=486","Corcas - Western Sahara (English)","ESH","","en","","digital_native","","","0.0","2017-11-20"
"624209","http://www.spsrasd.info/news/es","Sahara Press Service - Western Sahara (Spanish)","ESH","","none","none","other","","","1.16","2017-11-06"
