media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39183","http://www.plenglish.com/","plenglish","CUB","","en","United States","other","","","2.8","2016-02-08"
"39845","http://www.prensalatina.com.br/","prensa-latina-br","CUB","","pt","none","other","","","1.34","2022-05-09"
"40014","http://www.opciones.cu/","opciones","CUB","CU-02","es","Republic of Cuba","print_native","","","0.01","2013-03-11"
"40368","http://www.sierramaestra.cu/","sierramaestra","CUB","","es","Republic of Cuba","print_native","","","0.0","2013-03-18"
"41491","http://www.bohemia.cu/","bohemia","CUB","","es","People’s Republic of China","print_native","","","0.64","2016-05-30"
"42185","http://www.prensa-latina.cu/","prensa-latina","CUB","","es","none","other","","","14.39","2014-04-28"
"42187","http://www.ahora.cu/es/","ahora","CUB","CU-11","es","","print_native","","","0.0","2014-11-17"
"56556","http://granma.cu/","granma.cu","CUB","CU-02","es","none","print_native","","","2.4","2015-10-12"
"56563","http://cubadebate.cu/","cubadebate.cu","CUB","","es","none","digital_native","","","2.6","2013-05-06"
"61616","http://martinoticias.com/","martinoticias.com","CUB","","es","United States","video_broadcast","","","2.26","2013-05-06"
"62393","http://cubasi.com/","cubasi.com","CUB","","en","Republic of Cuba","digital_native","","","3.58","2021-08-16"
"63359","http://juventudrebelde.cu/","juventudrebelde.cu","CUB","CU-02","es","none","print_native","","","3.71","2013-04-29"
"63993","http://escambray.cu/","escambray.cu","CUB","CU-07","es","none","print_native","","","1.42","2013-05-06"
"73113","http://cubanet.org/#spider","cubanet.org","CUB","","es","United States","digital_native","","","1.66","2017-01-09"
"143729","http://www.cadenagramonte.cu/","cadenagramonte.cu","CUB","CU-09","es","Republic of Cuba","video_broadcast","","","0.0","2018-06-11"
"143967","http://radiohc.cu/","radiohc.cu","CUB","","es","United States","video_broadcast","","","0.26","2017-01-09"
"145395","http://www.radiosantacruz.icrt.cu/","radiosantacruz.icrt.cu","CUB","CU-09","es","Republic of Cuba","video_broadcast","","","0.0","2018-06-04"
"252537","http://vanguardia.cu/","vanguardia.cu","CUB","CU-05","es","none","print_native","","","0.26","2017-12-04"
"273798","http://cubasi.cu/","cubasi.cu","CUB","","es","none","digital_native","","","3.68","2019-04-29"
"282043","https://cibercuba.com/","cibercuba.com","CUB","","es","United States","digital_native","","","4.58","2017-10-02"
"282167","http://diariodecuba.com/","diariodecuba.com","CUB","","es","Republic of Cuba","digital_native","","","1.68","2017-11-06"
"282357","http://lademajagua.cu/","lademajagua.cu","CUB","CU-12","es","none","print_native","","","0.83","2017-12-04"
"282454","http://5septiembre.cu/","5septiembre.cu","CUB","CU-06","es","none","print_native","","","0.8","2017-12-04"
"296039","http://tiempo21.cu/","tiempo21.cu","CUB","CU-10","es","United States","video_broadcast","","","0.0","2017-12-04"
"300500","http://www.radiohc.cu/en","Radio Havana Cuba, Journalism, Information on national and international events","CUB","","en","none","video_broadcast","","","0.26","2016-08-15"
"306268","http://cubanews.acn.cu/","cubanews.acn.cu","CUB","","en","Republic of Cuba","other","","","0.84","2020-01-06"
"307261","http://en.granma.cu/","en.granma.cu","CUB","","en","Republic of Cuba","print_native","","","0.62","2017-10-16"
"307721","http://radiorebelde.cu/","radiorebelde.cu","CUB","","es","United States","video_broadcast","","","0.0","2017-11-06"
"307847","http://www.radiococo.icrt.cu/","radiococo.icrt.cu","CUB","CU-02","es","United States","video_broadcast","","","0.0","2018-06-04"
"308212","http://www.radioguantanamo.icrt.cu/","radioguantanamo.icrt.cu","CUB","CU-14","es","United States","video_broadcast","","","0.0","2019-10-14"
"311930","http://radioflorida.icrt.cu/","radioflorida.icrt.cu","CUB","CU-09","","","video_broadcast","","","0.01","2016-05-30"
"312381","http://www.telepinar.icrt.cu/","telepinar.icrt.cu","CUB","CU-01","es","La Habana","video_broadcast","","","0.0","2019-07-15"
"314662","http://en.escambray.cu/","en.escambray.cu","CUB","CU-07","en","Republic of Cuba","print_native","","","0.24","2017-12-04"
"317716","http://radioangulo.cu/","radioangulo.cu","CUB","CU-11","","","video_broadcast","","","0.0","2020-06-29"
"328163","http://www.tvsantiago.icrt.cu/","tvsantiago.icrt.cu","CUB","","es","La Habana","video_broadcast","","","0.0","2018-06-11"
"332735","http://trabajadores.cu/","trabajadores.cu","CUB","CU-02","es","Republic of Cuba","print_native","","","1.71","2013-08-05"
"337166","http://www.tvcamaguey.icrt.cu/","tvcamaguey.icrt.cu","CUB","CU-09","es","none","video_broadcast","","","0.0","2018-12-17"
"348145","http://tvyumuri.icrt.cu/","tvyumuri.icrt.cu","CUB","CU-04","es","none","video_broadcast","","","0.0","2018-06-11"
"350995","http://venceremos.cu/","venceremos.cu","CUB","CU-14","es","Estado de Michoacán de Ocampo","print_native","","","0.18","2018-06-04"
"357630","http://tribuna.cu/","tribuna.cu","CUB","CU-02","es","none","print_native","","","0.0","2017-12-04"
"359562","http://www.cmhw.cu/","cmhw.cu","CUB","CU-05","es","Republic of Cuba","video_broadcast","","","0.0","2018-06-18"
"360655","http://diariomayabeque.cu/","diariomayabeque.cu","CUB","","es","Republic of Cuba","print_native","","","0.4","2017-12-11"
"362101","http://www.telecubanacan.icrt.cu/","telecubanacan.icrt.cu","CUB","CU-05","es","none","video_broadcast","","","0.0","2018-06-11"
"362213","http://cubahora.cu/","cubahora.cu","CUB","","es","Republic of Cuba","print_native","","","0.0","2018-10-08"
"363018","http://acn.cu/","acn.cu","CUB","","es","Havana","other","","","1.97","2018-04-09"
"363556","http://www.radiociudadhabana.icrt.cu/","radiociudadhabana.icrt.cu","CUB","CU-02","es","Republic of Cuba","video_broadcast","","","0.0","2018-05-28"
"364299","http://www.rcm.cu/","rcm.cu","CUB","CU-06","es","Republic of Cuba","video_broadcast","","","0.0","2018-06-11"
"364819","http://www.cnctv.icrt.cu/","cnctv.icrt.cu","CUB","CU-12","es","Republic of Cuba","video_broadcast","","","0.0","2018-06-04"
"384638","http://www.tvcubana.icrt.cu/","tvcubana.icrt.cu","CUB","","","","video_broadcast","","","0.01","2016-03-07"
"491674","http://cubatv.cu/","cubatv.cu","CUB","","es","Republic of Cuba","video_broadcast","","","0.11","2017-12-04"
"514684","http://de.granma.cu/","de.granma.cu","CUB","","de","Republic of Haiti","print_native","","","1.11","2017-10-09"
"564242","http://periodicovictoria.cu/","periodicovictoria.cu","CUB","CU-99","es","none","print_native","","","0.6","2017-12-04"
"569940","http://fr.granma.cu/","fr.granma.cu","CUB","","fr","none","print_native","","","0.66","2017-10-02"
"623176","http://www.radioenciclopedia.cu/cultural-news/","Radio Enciclopedia - Cuba (English)","CUB","","en","Republic of Cuba","video_broadcast","","","0.0","2017-10-30"
"623177","http://www.radioenciclopedia.cu/nouvelles-culturelles/","Radio Enciclopedia - Cuba (French)","CUB","","fr","Provincia de Holguín","video_broadcast","","","0.0","2017-10-30"
"623178","http://www.radioenciclopedia.cu/","Radio Enciclopedia - Cuba (Spanish)","CUB","","es","United States","video_broadcast","","","0.0","2017-10-30"
"623179","http://www.radiohc.cu/ar/","Radio Habana Cuba - Cuba (Arabic)","CUB","","ar","none","video_broadcast","","","0.22","2017-10-30"
"623180","http://www.radiohc.cu/eo/","Radio Habana Cuba - Cuba (Esperanto)","CUB","","eo","Tiel","video_broadcast","","","0.21","2017-10-30"
"623181","http://www.radiohc.cu/fr/","Radio Habana Cuba - Cuba (French)","CUB","","fr","none","video_broadcast","","","0.28","2017-10-30"
"623183","http://www.radiohc.cu/pt","Radio Habana Cuba - Cuba (Portuguese)","CUB","","pt","none","video_broadcast","","","0.22","2017-10-30"
"623184","http://www.radiorebelde.cu/english/","Radio Rebelde - Cuba (English)","CUB","","en","Republic of Cuba","video_broadcast","","","0.0","2017-10-30"
"623185","http://www.radioreloj.icrt.cu/en/","Radio Reloj - Cuba (English)","CUB","","en","Republic of Cuba","video_broadcast","","","0.14","2017-11-06"
"623186","http://www.radiotaino.icrt.cu/web/en/","Radio Taino - Cuba (English)","CUB","","en","","video_broadcast","","","0.0","2020-04-20"
"623187","http://www.radiotaino.icrt.cu/","Radio Taino - Cuba (Spanish)","CUB","","es","","video_broadcast","","","0.0","2020-04-20"
"623188","http://www.cubachronicle.com/","Cuba Chronicle","CUB","","en","none","digital_native","","","2.34","2017-10-30"
"623189","http://todaycuba.com/","Today Cuba","CUB","","en","","digital_native","","","0.0","2017-10-16"
"623190","http://pt.granma.cu/","Granma - Cuba (Portuguese)","CUB","","pt","none","print_native","","","0.77","2017-10-16"
"623191","http://www.negocios-cuba.com/","Negocios en Cuba","CUB","CU-02","es","Republic of Cuba","print_native","","","0.0","2018-08-06"
"623192","http://www.cubainfo.acn.cu/","Agencia Cubana de Noticias - Cuba (French)","CUB","","fr","none","other","","","0.28","2018-05-21"
"623193","http://www.novosti.acn.cu/","Agencia Cubana de Noticias - Cuba (Russian)","CUB","","ru","none","other","","","0.0","2017-11-27"
"623194","https://frances.prensa-latina.cu/","Prensa Latina - Cuba (French)","CUB","","fr","","other","","","0.0","2019-03-18"
"623195","https://italiano.prensa-latina.cu/","Prensa Latina - Cuba (Italian)","CUB","","it","","other","","","0.0","2022-05-14"
"624210","http://www.radioreloj.icrt.cu/es/","Radio Reloj - Cuba (Spanish)","CUB","","es","none","video_broadcast","","","0.18","2017-11-06"
"624211","http://www.notinet.icrt.cu/","Notinet de Cuba","CUB","","es","none","digital_native","","","0.0","2017-11-13"
"624212","http://it.granma.cu/","Granma - Cuba (Italian)","CUB","","it","United States","print_native","","","0.52","2017-10-02"
