media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39554","http://www.pobjeda.co.me/","pobjeda","MNE","ME-16","hr","none","print_native","","","0.0","2013-03-11"
"118826","http://vijesti.me/","vijesti.me","MNE","ME-16","hr","United Kingdom of Great Britain and Northern Ireland","print_native","","","12.42","2017-11-06"
"300395","http://www.mina-info.me/indexeng.php3","MNNews - On Line","MNE","","en","Podgorica","other","","","0.0","2016-10-10"
"387662","http://cdm.me/","cdm.me","MNE","","hr","none","digital_native","","","14.03","2017-10-30"
"623196","http://www.rtcg.me/","RTCG","MNE","","none","none","video_broadcast","","","14.33","2017-10-30"
"623197","http://www.rtvin.com/","RTV IN","MNE","","mgx","","video_broadcast","","","0.0","2017-06-05"
"623198","http://mondo.me/","Mondo - Montenegro","MNE","","none","none","digital_native","","","12.53","2017-10-23"
"623199","http://www.montenews.me/","Monte News","MNE","","mgx","","digital_native","","","0.0","2020-12-14"
"623200","http://www.mozakubi.me/","MozakUbi","MNE","","mgx","none","digital_native","","","0.0","2022-05-14"
"623201","http://www.pcnen.com/portal/","PC Nen","MNE","","none","none","digital_native","","","2.02","2017-11-06"
"623202","http://www.dan.co.me/","Dan","MNE","ME-16","hr","none","print_native","","","9.11","2018-04-16"
"623203","http://www.mina-info.me/index.php3","MINA - Montenegro (MGX)","MNE","","bs","Montenegro","other","","","2.66","2018-12-03"
"656867","http://www.pvnovine.com/","Pljevaljske Novine","MNE","ME-14","none","none","print_native","","","0.39","2019-11-04"
"656868","http://www.dnevne.me/","Dnevne Novine","MNE","ME-16","","","print_native","","","0.0","2017-12-04"
"693799","http://monitor.co.me/","monitor.co.me","","","","","","","","0.11","2020-10-12"
"990038","http://okf-cetinje.org/","okf-cetinje.org","","","","","","","","0.13","2020-09-28"
"1356822","http://pobjeda.me/","pobjeda.me","","","","","","","","5.01","2022-05-02"
"1720458","http://www.maticacrnogorska.me/","Matica crnogorska","","","","","","","","0.0","2020-10-12"
"1720459","https://www.bit.me/","ICT magazin BIT - novosti iz informaciono-komunikacionih tehnologija, mobilni telefoni, telekomunikacije, softver, hardver, test","","","","","","","","0.0","2020-10-12"
