media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"41096","http://www.zizonline.com","zizonline","KNA","","en","none","video_broadcast","","","0.68","2017-08-28"
"83072","http://www.thestkittsnevisobserver.com/#spider","thestkittsnevisobserver.com","KNA","KN-03","en","none","print_native","","","0.92","2017-08-14"
"201775","http://nevispages.com/","nevispages.com","KNA","KN-10","en","none","digital_native","","","0.58","2017-12-11"
"253256","http://sknvibes.com/","sknvibes.com","KNA","","en","none","digital_native","","","0.0","2016-10-10"
"300318","http://www.inskn.com/","in St. Kitts Nevis","KNA","","en","Minnesota","digital_native","","","0.0","2016-08-15"
"300344","http://www.kittivisianlife.com/","Kittivisian Life - St Kitts Nevis News, Lifestyle, History","KNA","","en","","digital_native","","","0.0","2016-06-20"
"300408","http://www.myvuenews.com/","MiyVue","KNA","","en","none","digital_native","","","0.47","2016-08-15"
"300529","http://www.sknlist.com/","SKNList.com - St.Kitts-Nevis News","KNA","","en","United States","digital_native","","","0.0","2016-10-10"
"300543","http://www.stkittsgazette.com/","St. Kitts & Nevis News","KNA","","en","none","digital_native","","","2.28","2016-08-15"
"574958","http://winnfm.com/","winnfm.com","KNA","KN-03","en","","video_broadcast","","","0.9","2020-08-31"
"655235","http://timescaribbeanonline.com/","Times Caribbean","KNA","","en","none","digital_native","","","0.0","2017-12-04"
"657653","http://www.freedomskn.com/","Freedom FM","KNA","KN-03","en","none","video_broadcast","","","0.11","2017-12-11"
"657654","http://www.kyssonline.com/","KYSS FM","KNA","KN-03","en","none","video_broadcast","","","0.0","2020-03-23"
"657656","http://vonradio.com/","Voice of Nevis","KNA","KN-10","en","none","video_broadcast","","","0.21","2019-04-22"
"1720516","http://www.sknnewsline.com/","http://www.sknnewsline.com/","","","","","","","","0.0","2020-10-12"
"1720517","http://www.sknpulse.com/","SKN PULSE - Curation Network | Social Media Agency","","","","","","","","0.28","2020-10-19"
