media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39107","http://www.republicoftogo.com/","republicoftogo","TGO","","fr","Togolese Republic","digital_native","","","0.0","2013-03-11"
"39307","http://www.icilome.com/","icilome","TGO","","fr","Togolese Republic","digital_native","","","1.22","2019-08-26"
"41246","http://www.letogolais.com/","letogolais","TGO","","fr","Togolese Republic","digital_native","","","0.0","2013-07-15"
"55710","http://togozine.com/","togozine.com","TGO","","fr","none","digital_native","","","0.0","2013-03-11"
"623204","http://tvt.tg/","Television Togolaise","TGO","","fr","none","video_broadcast","","","0.0","2017-11-06"
"623205","http://www.alome.com/","A Lome","TGO","","fr","","digital_native","","","0.0","2017-10-30"
"623206","http://www.lomeinfos.com/","Lome Infos","TGO","","fr","Togolese Republic","digital_native","","","0.11","2017-10-30"
"651115","http://www.liberte-togo.com/l/","Liberte - Togo","TGO","","fr","","print_native","","","0.0","2019-09-02"
"658270","http://www.togoactualite.com/","Togo Actualite","TGO","","fr","none","digital_native","","","0.52","2018-07-30"
"658271","http://letempstg.com/","Le Temps Togo","TGO","","fr","none","digital_native","","","0.0","2017-12-11"
"658273","http://www.togolais.info","Togolais","TGO","","fr","Togolese Republic","digital_native","","","1.69","2018-11-19"
"658275","http://www.ufctogo.com/","UFC Togo","TGO","","fr","","digital_native","","","0.0","2017-12-04"
"658277","http://lalternative-togo.info/","L'Alternative","TGO","","ja","none","print_native","","","0.0","2018-03-05"
"658278","http://www.pa-lunion.com/","Pour La Patrie L'Union","TGO","","fr","none","print_native","","","0.0","2017-11-27"
"658279","http://www.radiogameli.com/","Radio Gameli","TGO","","fr","","video_broadcast","","","0.0","2019-08-26"
"658280","http://www.radiolome.tg/","Radio Lome","TGO","","fr","none","video_broadcast","","","0.0","2016-11-14"
"1294892","http://togopresse.tg/","togopresse.tg","","","","","","","","0.19","2020-10-12"
