media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"29353","http://www.china.org.cn#spider","china.org.cn","CHN","","en","People’s Republic of China","digital_native","","","0.0","2016-08-15"
"39671","http://www.bjd.com.cn/","bjdcom","CHN","CN-11","ms","none","print_native","","","0.0","2013-07-15"
"39774","http://www.qingdaonews.com/","qingdaonews","CHN","CN-37","zh","none","print_native","","","0.0","2013-07-15"
"39858","http://www.gmw.cn/","光明網","CHN","","zh","none","digital_native","","","0.0","2013-07-15"
"40020","http://www.dayoo.com","大洋網 - 廣州日報","CHN","CN-44","zh","none","digital_native","","","0.0","2013-05-20"
"40067","http://www.syd.com.cn/","syd","CHN","CN-21","zh","none","digital_native","","","0.0","2013-05-27"
"40304","http://www.smg.cn/","smg","CHN","CN-31","zh","none","video_broadcast","","","0.0","2013-05-27"
"40472","http://japanese.beijingreview.com.cn/","beijingreview-ja","CHN","","en","none","digital_native","","","0.0","2013-07-22"
"40540","http://french.beijingreview.com.cn/","beijingreview-fr","CHN","","fr","none","digital_native","","","0.0","2022-05-14"
"40567","http://www.bjreview.com.cn/","beijingreview-en","CHN","","en","People’s Republic of China","print_native","","","0.0","2013-03-11"
"40608","http://french.news.cn","french-news","CHN","","fr","none","other","","","3.31","2013-09-02"
"40647","http://www.lnd.com.cn/","北國網","CHN","CN-21","zh","none","digital_native","","","0.0","2013-07-15"
"40910","http://cn.reuters.com/","reuters-cn","CHN","","zh","none","other","","","0.0","2013-03-18"
"41085","http://www.morningpost.com.cn/","morningpostcom","CHN","CN-11","zh","none","print_native","","","0.0","2013-03-18"
"41537","http://www.qlwb.com.cn/","qlwbcom","CHN","CN-37","zh","none","print_native","","","0.0","2013-07-15"
"41626","http://www.chinadaily.com.cn","chinadaily","CHN","","en","none","","","","0.0","2013-03-18"
"44759","http://russian.people.com.cn/#spider","russian.people.com.cn","CHN","CN-11","ru","none","print_native","","","7.68","2017-10-23"
"44771","http://russian.news.cn/#spider","russian.news.cn","CHN","","ru","none","other","","","5.66","2017-11-06"
"44939","http://www.shanghaidaily.com/#spider","shanghaidaily.com","CHN","CN-31","en","People’s Republic of China","print_native","","","0.73","2013-08-05"
"45744","http://www.globaltimes.cn/#spider","globaltimes.cn","CHN","CN-11","en","","print_native","","","0.0","2013-03-18"
"49346","http://usa.chinadaily.com.cn/#spider","usa.chinadaily.com.cn","CHN","CN-11","en","","print_native","","","0.0","2019-05-20"
"55866","http://cb.com.cn/","cb.com.cn","CHN","CN-11","zh","none","print_native","","","0.0","2014-04-14"
"56831","http://qhnews.com/","qhnews.com","CHN","CN-63","zh","","digital_native","","","0.0","2013-05-27"
"58251","http://zsnews.cn/","zsnews.cn","CHN","CN-44","zh","none","print_native","","","0.0","2013-07-15"
