media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38904","http://www.armenianow.com/","armenianow","ARM","","en","Republic of Armenia","digital_native","","","0.12","2013-05-20"
"38931","http://www.armenews.com/","armenews","ARM","","fr","none","print_native","","","0.0","2013-03-11"
"39594","http://www.panorama.am/ru/","panorama-am-ru","ARM","","ru","none","digital_native","","","0.0","2013-03-11"
"39823","http://www.oratert.com/russian/","oratert-ru","ARM","","ru","none","digital_native","","","0.0","2013-03-11"
"39832","http://www.panorama.am/en/","panorama-am-en","ARM","","en","none","digital_native","","","0.0","2013-03-18"
"40026","http://www.oratert.com/persian/","oratert-fa","ARM","","fa","none","digital_native","","","0.0","2013-03-11"
"40958","http://www.oratert.com/armenian/","oratert","ARM","","hy","none","digital_native","","","0.0","2013-03-18"
"41400","http://www.armenianow.com/hy","armenianow-hy","ARM","","hy","none","digital_native","","","0.11","2013-05-20"
"41766","http://www.panorama.am/am/","panorama-am","ARM","","hy","none","digital_native","","","0.0","2013-03-18"
"49369","http://www.azatutyun.am/#spider","azatutyun.am","ARM","","en","Republic of Armenia","video_broadcast","","","3.14","2017-12-04"
"62090","http://rferl.org/","rferl.org","ARM","","","","digital_native","","","1.89","2013-05-06"
"258055","http://a1plus.am/","a1plus.am","ARM","","hy","Republic of Armenia","digital_native","","","5.5","2017-11-06"
"258075","http://ru.a1plus.am/","ru.a1plus.am","ARM","","ru","Republic of Armenia","digital_native","","","6.54","2017-11-06"
"299928","http://arka.am/en/","ARKA News Agency","ARM","","en","Republic of Armenia","other","","","0.76","2016-08-15"
"299929","http://armenpress.am/eng/","ARMENPRESS Armenian News Agency","ARM","","en","none","other","","","2.58","2016-08-15"
"299957","http://en.a1plus.am/","A1plus News from Armenia","ARM","","en","Republic of Armenia","digital_native","","","5.07","2016-08-29"
"299960","https://www.aravot-en.am/","Aravot – News from Armenia","ARM","","en","none","print_native","","","1.42","2016-11-07"
"299998","http://hetq.am/eng/","Hetq - News, Articles, Investigations","ARM","","en","Republic of Armenia","digital_native","","","0.78","2016-08-01"
"300020","http://lurer.com/?l=en","Lurer.com - Operational Information","ARM","","hy","Republic of Azerbaijan","digital_native","","","0.0","2017-10-02"
"300035","http://news.am/eng/","Armenia News - NEWS.am","ARM","","en","none","digital_native","","","4.57","2016-08-15"
"300106","http://www.1tv.am/en","Public Television of Armenia","ARM","","en","Republic of Armenia","video_broadcast","","","0.0","2016-10-10"
"300158","http://www.armeniatv.am/","Գլխավոր","ARM","","en","none","digital_native","","","0.0","2016-07-25"
"300159","http://www.armradio.am/en/","http://www.armradio.am/en/","ARM","","en","none","video_broadcast","","","0.89","2016-08-29"
"300267","http://www.epress.am/en","News from Armenia | Epress News","ARM","","en","none","digital_native","","","0.49","2013-06-10"
"300363","http://www.lragir.am/index/eng/","http://www.lragir.am/index/eng/","ARM","","en","Republic of Armenia","digital_native","","","0.16","2013-06-03"
"300386","http://www.media.am/en","media.am","ARM","","hy","Republic of Armenia","digital_native","","","0.0","2018-05-14"
"300389","http://www.mediamax.am/en/","News from Armenia, op-eds, special projects, features and interviews - Mediamax.am","ARM","","en","Republic of Armenia","other","","","0.6","2016-08-01"
"300450","http://www.nt.am/en/","News from Armenia and Diaspora, information-analytic center, Armenian News portal Noyan Tapan","ARM","","en","Republic of Armenia","print_native","","","3.39","2016-08-15"
"300464","http://www.oratert.com/news/","Caucasus news - Oratert news agency","ARM","","zh","none","digital_native","","","0.01","2016-07-25"
"300554","http://www.tert.am/en/","Armenian News - Tert.am","ARM","","en","none","digital_native","","","0.0","2016-08-15"
"313887","http://1in.am/","1in.am","ARM","","hy","none","digital_native","","","9.27","2017-11-06"
"420561","http://yerkirmedia.am/","yerkirmedia.am","ARM","","hy","none","video_broadcast","","","0.0","2018-05-21"
"540953","http://epress.am/","epress.am","ARM","","hy","Republic of Armenia","digital_native","","","0.46","2017-12-11"
"573989","http://en.168.am/","en.168.am","ARM","","en","Republic of Armenia","print_native","","","0.17","2018-05-21"
"605043","http://groong.usc.edu/","groong.usc.edu","ARM","","en","Republic of Armenia","digital_native","","","0.0","2018-05-14"
"623225","http://www.armnewstv.am/","Arm News","ARM","","hy","","video_broadcast","","","0.0","2015-06-29"
"623226","http://www.1tv.am/hy","Armenia 1 TV - Armenia (Armenian)","ARM","","hy","","video_broadcast","","","0.0","2018-04-16"
"623227","http://www.armradio.am/hy/","Armenia Radio - Armenia (Armenian)","ARM","","hy","none","video_broadcast","","","0.88","2017-11-06"
"623228","http://www.kentron.tv/","Kentron","ARM","","hy","","video_broadcast","","","0.0","2022-05-14"
"623229","http://www.shantnews.am/","Shant News","ARM","","hy","none","video_broadcast","","","8.2","2019-03-25"
"623230","http://ru.1in.am/","1in - Armenia (Russian)","ARM","","ru","Tel Aviv","digital_native","","","1.67","2017-11-06"
"623231","http://www.7or.am/","7 Or - Armenia (Armenian)","ARM","","hy","none","digital_native","","","3.4","2017-11-06"
"623232","http://www.aysor.am/am/","Aysor - Armenia (Armenian)","ARM","","hy","none","digital_native","","","0.0","2017-11-06"
"623233","http://www.aysor.am/ru/","Aysor - Armenia (Russian)","ARM","","ru","none","digital_native","","","0.0","2017-11-06"
"623234","http://defacto.am/","De Facto","ARM","","ru","none","digital_native","","","0.0","2017-11-06"
"623235","http://www.epress.am/ru","ePress - Armenia (Russian)","ARM","","ru","none","digital_native","","","0.44","2017-11-20"
"623236","http://eng.fmgnews.info/","FMG News - Armenia (English)","ARM","","ru","none","digital_native","","","0.0","2017-11-06"
"623237","http://arm.fmgnews.info/","FMG News - Armenia (Armenian)","ARM","","hy","none","digital_native","","","0.0","2017-10-30"
"623238","http://fmgnews.info/","FMG News - Armenia (Russian)","ARM","","ru","none","digital_native","","","0.0","2017-11-06"
"623239","http://hetq.am/arm/","Hetq - Armenia (Armenian)","ARM","","hy","none","digital_native","","","3.01","2017-10-30"
"623240","http://hetq.am/rus/","Hetq - Armenia (Russian)","ARM","","ru","Republic of Armenia","digital_native","","","0.72","2017-10-23"
"623241","http://www.lragir.am/index/rus/","Lragir - Armenia (Russian)","ARM","","ru","Republic of Azerbaijan","digital_native","","","1.49","2017-10-30"
"623242","http://lurer.com/?l=am","Lurer - Armenia (Armenian)","ARM","","hy","","digital_native","","","0.0","2018-07-16"
"623243","http://lurer.com/?l=ru","Lurer - Armenia (Russian)","ARM","","ru","","digital_native","","","0.0","2018-04-16"
"623244","http://news.am/arm/","News - Armenia (Armenian)","ARM","","hy","none","digital_native","","","13.86","2017-11-06"
"623245","http://news.am/rus/","News - Armenia (Russian)","ARM","","ru","United States","digital_native","","","10.0","2017-10-30"
"623247","http://www.tert.am/am/","Tert - Armenia (Armenian)","ARM","","hy","none","digital_native","","","0.0","2017-11-06"
"623248","http://www.tert.am/ru/","Tert - Armenia (Russian)","ARM","","ru","none","digital_native","","","0.0","2017-10-30"
"623249","http://www.top-news.am/","Top News","ARM","","hy","","digital_native","","","0.0","2018-04-16"
"623250","http://www.aravot.am/","Aravot - Armenia (Armenian)","ARM","","hy","none","print_native","","","4.23","2017-11-06"
"623251","http://ru.aravot.am/","Aravot - Armenia (Russian)","ARM","","hy","Republic of Armenia","print_native","","","4.92","2017-11-06"
"623252","http://www.azg.am/","AZG","ARM","","hy","none","print_native","","","2.01","2017-11-13"
"623253","http://www.hhpress.am/","Hayastany Hanrapetutyun","ARM","","hy","","print_native","","","0.43","2018-04-16"
"623254","http://armtimes.com/","Haykakan Zhamanak","ARM","","hy","none","print_native","","","0.01","2018-04-16"
"623255","http://arka.am/am/","Arka - Armenia (Armenian)","ARM","","hy","none","other","","","0.43","2017-11-06"
"623256","http://arka.am/ru/","Arka - Armenia (Russian)","ARM","","ru","Republic of Armenia","other","","","0.88","2017-11-06"
"623258","http://armenpress.am/ara/","Armenpress - Armenia (Arabic)","ARM","","ar","none","other","","","1.5","2018-01-29"
"623259","http://armenpress.am/arm/","Armenpress - Armenia (Armenian)","ARM","","hy","none","other","","","6.41","2017-11-06"
"623260","http://armenpress.am/rus/","Armenpress - Armenia (Russian)","ARM","","ru","none","other","","","4.66","2017-11-06"
"623261","http://www.mediamax.am/am/","Mediamax - Armenia (Armenian)","ARM","","hy","none","other","","","0.79","2017-11-13"
"623262","http://www.mediamax.am/ru/","Mediamax - Armenia (Russian)","ARM","","hy","Republic of Armenia","other","","","0.99","2018-04-16"
"623263","http://www.nt.am/fr/","Noyan Tapan - Armenia (French)","ARM","","fr","","print_native","","","3.2","2022-05-02"
"623264","http://www.nt.am/am/","Noyan Tapan - Armenia (Armenian)","ARM","","hy","Republic of Armenia","other","","","3.46","2017-11-06"
"623265","http://www.panarmenian.net/eng/","Pan Armenian - Armenia (English)","ARM","","en","none","other","","","0.0","2018-05-21"
"623266","http://www.panarmenian.net/arm/","Pan Armenian - Armenia (Armenian)","ARM","","hy","none","other","","","0.0","2017-11-13"
"623267","http://www.panarmenian.net/rus/","Pan Armenian - Armenia (Russian)","ARM","","ru","none","other","","","0.0","2018-05-21"
"624213","http://www.armradio.am/ru/","Armenia Radio - Armenia (Russian)","ARM","","ru","none","video_broadcast","","","0.9","2017-11-13"
"624214","http://news.am/tur/","News - Armenia (Turkish)","ARM","","tr","Republic of Iraq","digital_native","","","0.01","2017-10-30"
"624215","http://www.nt.am/ru/","Noyan Tapan - Armenia (Russian)","ARM","","ru","Lovech","other","","","3.46","2017-10-30"
"652924","http://www.yerkir.am/","Yerkir - Armenia (Yerevan)","ARM","","hy","","print_native","","","0.01","2017-12-04"
"652925","http://www.yerkir.am/ru/","Yerkir (Russian)","ARM","","ru","","print_native","","","0.01","2017-12-04"
"652926","http://rus.azatutyun.am/","Azatutyun (Russian)","ARM","","ru","none","video_broadcast","","","0.83","2017-12-04"
"652928","http://www.alttv.am/","Alt TV","ARM","AM-AV","hy","none","video_broadcast","","","0.06","2014-07-21"
"652929","http://sosi-tv.com/","Sosi TV","ARM","","","","video_broadcast","","","0.0","2017-09-25"
"652930","http://syuniacyerkir.am/","Syunyats Yerkir","ARM","","hy","","print_native","","","0.0","2017-12-04"
"652931","http://168.am/","168 Zham (Armenian)","ARM","","hy","Okinawa","print_native","","","10.9","2018-05-21"
"652932","http://b24.am/","B24","ARM","","hy","none","print_native","","","0.8","2017-12-04"
"652933","http://www.chi.am/","Chorrord Ishchanutyun","ARM","","hy","none","print_native","","","0.0","2018-02-05"
"652934","http://www.eter.am/arm/","Eter (Armenian)","ARM","","hy","","print_native","","","0.0","2018-01-22"
