media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38857","http://www.hoy.com.do/","HoyDigital-DO","DOM","","es","United States","print_native","","","7.36","2013-04-15"
"38900","http://www.primicias.com.do/","primicias","DOM","","es","none","digital_native","","","1.29","2013-09-16"
"39535","http://www.barrigaverde.net/","barrigaverde","DOM","","es","none","digital_native","","","0.0","2016-05-30"
"41156","http://www.rdnoticias.com/","rdnoticias","DOM","","es","none","digital_native","","","5.74","2013-03-18"
"57119","http://diariodominicano.com/","diariodominicano.com","DOM","","es","none","digital_native","","","0.0","2013-05-06"
"59160","http://elnacional.com.do/","elnacional.com.do","DOM","","es","Texas","print_native","","","5.33","2013-05-06"
"60129","http://dominicantoday.com/","dominicantoday.com","DOM","","en","Dominican Republic","digital_native","","","1.13","2013-04-29"
"60409","http://elcaribe.com.do/","elcaribe.com.do","","","es","United States","","","","0.0","2016-04-04"
"61618","http://listindiario.com/","listindiario.com","DOM","","es","Federal Democratic Republic of Nepal","print_native","","","12.59","2015-06-15"
"62508","http://diariodigital.com.do/","diariodigital.com.do","DOM","","es","People’s Republic of China","digital_native","","","2.62","2013-04-29"
"64224","http://diariolibre.com/","diariolibre.com","DOM","","es","United States","print_native","","","15.3","2019-09-16"
"65327","http://dominicanoshoy.com/","dominicanoshoy.com","DOM","","es","none","digital_native","","","1.99","2013-05-06"
"65401","http://puertoplatadigital.com/","puertoplatadigital.com","DOM","DO-18","es","none","digital_native","","","0.0","2013-05-06"
"65988","http://7dias.com.do/","7dias.com.do","DOM","","es","Pennsylvania","digital_native","","","0.11","2013-04-29"
"178573","http://acento.com.do/","acento.com.do","DOM","","es","United States","print_native","","","0.01","2017-12-04"
"179069","http://noticiassin.com/","noticiassin.com","DOM","","es","none","video_broadcast","","","0.0","2018-06-04"
"282104","http://ensegundos.do/","ensegundos.do","DOM","","es","United States","digital_native","","","2.36","2017-11-06"
"282560","http://almomento.net/","almomento.net","DOM","","es","United States","digital_native","","","3.81","2017-01-09"
"282591","http://elnuevodiario.com.do/","elnuevodiario.com.do","DOM","","es","none","print_native","","","11.24","2012-02-27"
"287475","http://z101digital.com/","z101digital.com","DOM","","es","none","video_broadcast","","","0.0","2015-10-19"
"287497","http://eldia.com.do/","eldia.com.do","DOM","","es","none","print_native","","","6.77","2017-12-04"
"300252","http://www.dominicanrepublicpost.com/","Dominican Republic News","DOM","","en","United States","digital_native","","","6.76","2016-08-15"
"300254","http://www.dr1.com/","Dominican Republic News & Travel Information Service","DOM","","en","Dominican Republic","digital_native","","","1.28","2020-06-01"
"318483","http://cdn.com.do/","cdn.com.do","DOM","","es","none","video_broadcast","","","4.39","2017-11-06"
"325197","http://remolacha.net/","remolacha.net","DOM","","es","none","digital_native","","","5.97","2017-01-09"
"327248","http://telenord.com.do/","telenord.com.do","DOM","DO-06","es","","video_broadcast","","","0.0","2019-06-17"
"327721","http://telenoticias.com.do/","telenoticias.com.do","DOM","","es","United States","video_broadcast","","","2.08","2017-01-09"
"330723","http://lainformacion.com.do/","lainformacion.com.do","DOM","DO-25","es","none","print_native","","","0.0","2018-04-30"
"331793","http://metrord.do/","metrord.do","DOM","","es","United States","print_native","","","0.0","2017-12-04"
"335171","http://santodomingodigital.net/","santodomingodigital.net","DOM","","es","none","digital_native","","","0.0","2018-01-15"
"336522","http://eljacaguero.com/","eljacaguero.com","DOM","","es","United States","digital_native","","","1.77","2017-10-30"
"337619","http://eldiariodelcibao.com/","eldiariodelcibao.com","DOM","DO-25","es","none","digital_native","","","0.0","2018-04-09"
"338095","http://noticia24h.com/","noticia24h.com","DOM","","es","United States","digital_native","","","0.0","2018-06-04"
"339429","http://costaverdedr.com/","costaverdedr.com","DOM","DO-14","es","United States","digital_native","","","1.18","2017-12-04"
"340807","http://infoteleantillas.com.do/","infoteleantillas.com.do","DOM","","es","United States","video_broadcast","","","1.59","2018-06-18"
"342903","http://diario55.com/","diario55.com","DOM","DO-25","es","","digital_native","","","0.0","2016-11-28"
"351238","http://eljaya.com/","eljaya.com","DOM","DO-06","es","United Kingdom of Great Britain and Northern Ireland","print_native","","","1.27","2016-01-04"
"351382","http://ciudadoriental.com/","ciudadoriental.com","DOM","","es","none","digital_native","","","0.5","2017-12-04"
"352763","http://elpulmondelademocracia.com/","elpulmondelademocracia.com","DOM","","es","","digital_native","","","0.0","2017-10-30"
"355403","http://noticiasdelcibao.com/","noticiasdelcibao.com","DOM","DO-25","es","","digital_native","","","0.0","2017-12-25"
"357455","http://canal25rd.com/","canal25rd.com","DOM","DO-25","es","","video_broadcast","","","0.0","2017-12-04"
"361230","http://www.dominicanodigital.com/","Dominicano Digital – Periódico Digital Dominicano","DOM","","es","none","digital_native","","","0.49","2017-11-06"
"361231","http://www.domrep-magazin.de/","DomRep-Magazin / Nachrichten aus und über die Dominikanische Republik","DOM","","de","Dominican Republic","digital_native","","","0.0","2017-10-23"
