media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"375807","http://jp.montsame.mn/","jp.montsame.mn | Mongolia to the World - The World to Mongolia","MNG","","ja","","other","","","0.0","2018-04-16"
"447426","http://mongolia-web.com/","mongolia-web.com","","","","","","","","0.0","2013-02-04"
"623271","http://mongolnews.mn/","Mongol News","MNG","","mn","","digital_native","","","0.0","2017-10-30"
"623272","http://www.tsahimurtuu.mn/","Tsahim Urtuu","MNG","","mn","","digital_native","","","0.0","2019-12-02"
"623273","http://dnn.mn/","Udriin Sonin","MNG","","mn","Ulaanbaatar","print_native","","","3.61","2017-11-06"
"623274","http://www.zuuniimedee.mn/","Zuunii Medee","MNG","","mn","","print_native","","","0.0","2019-12-09"
"623275","http://www.montsame.mn/","Montsame - Mongolia (Mongolian)","MNG","","mn","Ulaanbaatar","other","","","0.21","2018-04-16"
"623276","http://ru.montsame.mn/","Montsame - Mongolia (Russian)","MNG","","ru","","other","","","0.0","2018-04-16"
"623277","http://cn.montsame.mn/","Montsame - Mongolia (Chinese)","MNG","","zh","","other","","","0.0","2018-04-16"
"656864","http://www.mad-mongolia.com/","MAD","MNG","","en","","digital_native","","","0.0","2014-09-08"
"656865","http://khumuunbichig.montsame.mn/","ХҮМҮҮН БИЧИГ","MNG","","mn","","other","","","0.0","2017-12-04"
"656866","http://ubpost.mongolnews.mn/","UB Post","MNG","","en","","print_native","","","0.0","2016-04-25"
