media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"41500","http://news.myjoyonline.com/","myjoyonline","GHA","GH-AA","en","Republic of Ghana","video_broadcast","","","0.0","2013-03-18"
"57280","http://gbcghana.com/","gbcghana.com","GHA","","en","Republic of Ghana","video_broadcast","","","0.0","2013-05-06"
"57452","http://ghanabusinessnews.com/","ghanabusinessnews.com","GHA","","en","Republic of Ghana","digital_native","","","0.91","2016-04-25"
"58259","http://www.peacefmonline.com/","Peace FM","GHA","GH-AA","en","Republic of Ghana","video_broadcast","","","5.16","2016-06-27"
"59857","http://ghanasoccernet.com/","ghanasoccernet.com","GHA","","en","Republic of Ghana","digital_native","","","2.5","2013-05-06"
"60138","http://ghanaweb.com/","ghanaweb.com","GHA","","en","Republic of Ghana","digital_native","","","0.01","2013-06-10"
"63814","http://modernghana.com/","modernghana.com","GHA","","en","Republic of Ghana","digital_native","","","2.22","2013-05-06"
"143693","http://graphic.com.gh/","graphic.com.gh","GHA","GH-AA","en","Republic of Ghana","print_native","","","0.0","2017-01-02"
"143876","citinewsroom.com","Citi Newsroom","GHA","GH-AA","en","Republic of Ghana","video_broadcast","","","2.3","2017-04-03"
"143937","http://ghanamma.com/","ghanamma.com","GHA","","en","Texas","digital_native","","","36.11","2017-05-15"
"145515","http://ghananewsagency.org/","ghananewsagency.org","GHA","","en","Republic of Ghana","other","","","0.01","2016-08-15"
"271627","http://www.newsghana.com.gh/","News Ghana","GHA","","en","Republic of Ghana","digital_native","","","5.27","2016-03-21"
"299944","http://buzzghana.com/","BuzzGhana.com","GHA","","en","Republic of Ghana","digital_native","","","0.0","2016-08-22"
"299978","http://exposeghana.com/","exposeGHANA.com | Latest Ghana News, Entertainment News, Sports, Politics & National News","GHA","","","","digital_native","","","0.0","2015-08-10"
"299986","http://ghheadlines.com/","http://ghheadlines.com/","GHA","","en","Republic of Ghana","digital_native","","","1.74","2017-08-14"
"300050","http://peaceghana.com/","Ghana News, Politics, Sports Entertainment, and Business","GHA","","en","Republic of Ghana","digital_native","","","0.0","2016-10-31"
"300131","http://www.allghananews.com/","All Ghana News","GHA","","en","Republic of Ghana","digital_native","","","0.0","2012-07-09"
"300210","http://www.businessghana.com/","BusinessGhana - Ghana, Business Advice, Jobs, News, Business Directory, Real Estate, Finance, Forms, Auto","GHA","","en","Republic of Ghana","other","","","0.0","2016-10-10"
"300286","https://www.ghana.gov.gh/","Ghana Homepage - Government of Ghana","GHA","","","","digital_native","","","0.0","2021-11-22"
"300287","http://www.ghanadistricts.com/","GhanaDistricts.com","GHA","","en","Republic of Ghana","digital_native","","","0.0","2016-10-10"
"300288","http://www.ghananation.com/","Ghana News, Ghana Sports, Ghana Weather, Ghana Photos, Ghana Entertainment, and Gossip - Homepage - Ghana Nation Online","GHA","","en","none","digital_native","","","0.0","2016-08-15"
"300289","http://www.ghanatoday.com/index.php","http://www.ghanatoday.com/index.php","GHA","","","","digital_native","","","0.0","2011-01-03"
"300290","http://www.ghanavoice.com/","Ghana Voice - News, Entertainment, Sports and more","GHA","","en","Republic of Ghana","digital_native","","","0.0","2016-08-15"
"300503","http://www.reportghananews.com/","Ghana News | Breaking News | Celebrity News and Gossip | African News","GHA","","en","Republic of Ghana","digital_native","","","0.0","2017-07-24"
"304155","http://theheraldghana.com/","theheraldghana.com","GHA","GH-AA","en","none","print_native","","","0.56","2017-04-03"
"304228","http://thebftonline.com/","thebftonline.com","GHA","GH-AA","en","Republic of Ghana","print_native","","","1.54","2017-12-04"
"312715","http://kapital971.com/","kapital971.com","GHA","GH-AA","en","Republic of Ghana","video_broadcast","","","0.0","2017-11-27"
"351084","http://ghanastar.com/","ghanastar.com","","","","","","","","0.0","2016-08-29"
"385113","http://www.viasat1.com.gh/vone/","http://www.viasat1.com.gh/vone/","GHA","","en","none","video_broadcast","","","0.0","2017-04-03"
"385114","http://www.infoghana.info/","INFO GHANA – วิเคราะห์บอลวันนี้","GHA","","en","","digital_native","","","0.0","2017-02-27"
"385115","http://www.ghanadot.com/","Ghanadot, Daily On-line Times for relevant current news and commentaries","GHA","","en","none","digital_native","","","0.0","2017-07-24"
"385116","http://www.ghanareview.com/","Ghana Review International - A Free News agency for Ghanaian News","GHA","","en","","print_native","","","0.0","2019-05-27"
"385118","http://www.dailyguideghana.com/","Daily Guide Africa","GHA","GH-AA","en","none","print_native","","","1.58","2017-04-03"
"385119","http://www.theenquirerweb.com/","4 verità incredibili su opzioni esotiche – Leggi le nostre esperienze mediatore – theenquirerweb.com","GHA","GH-AA","","","print_native","","","0.0","2016-10-03"
"385120","http://www.thefinderonline.com/","The Finder Online - Home","GHA","GH-AA","en","","print_native","","","0.0","2018-03-12"
"385121","http://thechronicle.com.gh/","The Chronicle - Ghana News - Ghana News, Business, Sports, Entertainment, Health News and Opinions","GHA","GH-AA","en","Republic of Ghana","print_native","","","0.36","2018-05-14"
"385123","http://www.ghanaiantimes.com.gh/","The Ghanaian Times - Ghana's Most Authoritative Newspaper","GHA","GH-AA","en","none","print_native","","","0.81","2017-04-03"
"385124","http://happyghana.com/","Happy FM","GHA","GH-AA","en","none","video_broadcast","","","1.09","2017-04-24"
"385126","http://thenewcrusadingguideonline.com/","The New Crusading Guide Online - Best Joomla News template - Teline V","GHA","GH-AA","en","Republic of Ghana","print_native","","","0.4","2017-04-03"
"707226","http://todaygh.com/","todaygh.com","","","","","","","","0.17","2020-08-24"
"1697442","http://republikcitynews.online/","republikcitynews.online","","","","","","","","0.0","2020-07-20"
"1714404","https://newsone.com/tag/ghana/","Ghana – NewsOne","","","","","","","","0.81","2020-10-05"
"1714405","https://www.graphic.com.gh/junior-graphic.html","Junior News","","","","","","","","0.33","2020-09-14"
"1714406","https://thedailydispatchgh.com/","The Daily Dispatch","","","","","","","","0.0","2020-10-12"
"1714407","http://www.90minutesonline.com/","Football News & Opinions - 90 Minutes Online","","","","","","","","0.06","2020-04-27"
"1714408","https://www.publicagendagh.com/","Public Agenda NewsPaper – Ghana's only Advocacy & Development Newspaper","","","","","","","","0.13","2020-09-28"
"1714409","https://www.graphic.com.gh/showbiz/#&ts=undefined","Graphic Showbiz Online: Updated Ghana entertainment, showbiz, Celebrity news - Graphic Showbiz Online","","","","","","","","0.28","2021-07-12"
