media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"268195","http://ieyenews.com/","ieyenews.com","CYM","","en","","print_native","","","1.27","2021-04-12"
"282605","https://caymannewsservice.com/","caymannewsservice.com","CYM","","en","Cayman Islands","digital_native","","","0.4","2016-08-15"
"291253","http://caymanreporter.com/","caymanreporter.com","CYM","","en","Cayman Islands","digital_native","","","0.02","2014-05-12"
"299948","http://cnsbusiness.com/","CNS Business","CYM","","en","none","digital_native","","","0.0","2015-06-15"
"300224","http://www.cayman27.com.ky/","Cayman27","CYM","","en","Cayman Islands","video_broadcast","","","0.11","2016-08-15"
"300294","http://www.gov.ky/","Cayman Islands Government - For Information and Services","CYM","","en","Cayman Islands","digital_native","","","0.0","2016-10-10"
"300499","http://www.radiocayman.gov.ky/","Radio Cayman One - Listen Music Online, Cayman Islands Radio","CYM","","en","Republic of India","video_broadcast","","","0.0","2019-04-08"
"312632","http://caymancompass.com/","caymancompass.com","CYM","","en","Cayman Islands","print_native","","","0.0","2017-10-30"
"549433","http://journal.ky/","journal.ky","CYM","","en","none","print_native","","","0.0","2017-11-06"
"591563","http://loopcayman.com/","loopcayman.com","CYM","","en","Cayman Islands","digital_native","","","0.42","2017-11-20"
"623279","http://www.caymaniantimes.ky/","Caymanian Times","CYM","","en","Cayman Islands","print_native","","","4.03","2019-06-17"
"655238","http://www.trader.ky/","Trader","CYM","","en","","print_native","","","0.0","2017-12-04"
