media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38805","http://www.abounderrattelser.fi/news/","abounderrattelser","FIN","","sv","Republic of Finland","print_native","","","2.01","2013-03-11"
"39485","http://www.hbl.fi/","hbl","FIN","FI-18","sv","none","print_native","","","3.42","2013-05-20"
"39700","http://www.esaimaa.fi/","esaimaa","FIN","","fi","North Bank Division","print_native","","","2.67","2013-03-18"
"39841","http://www.kp24.fi/","kp24","FIN","","fi","North Bank Division","print_native","","","2.62","2013-11-18"
"39955","http://www.kouvolansanomat.fi/","kouvolansanomat","FIN","FI-09","fi","North Bank Division","print_native","","","1.48","2013-03-18"
"40118","http://www.ts.fi/","ts","FIN","","fi","North Bank Division","print_native","","","4.48","2013-03-18"
"40172","http://www.sss.fi/","sss","FIN","","fi","none","print_native","","","3.11","2015-08-31"
"40208","http://www.uusimaa.fi/","Uusimaa","FIN","","fi","North Bank Division","print_native","","","1.3","2013-12-30"
"40334","http://www.nelonen.fi/","nelonen","FIN","","fi","none","video_broadcast","","","0.0","2013-06-03"
"40366","http://www.hs.fi/","hs","FIN","FI-18","fi","North Bank Division","print_native","","","8.72","2013-05-20"
"40657","http://www.ksml.fi/","ksml","FIN","","fi","North Bank Division","print_native","","","5.3","2013-03-11"
"40676","http://savonsanomat.fi/","savonsanomat","FIN","","fi","North Bank Division","print_native","","","4.11","2013-05-20"
"40702","http://www.ilkka.fi/","ilkka","FIN","","fi","North Bank Division","print_native","","","0.0","2013-05-20"
"40703","http://www.alandstidningen.ax","alandstidningen","FIN","","sv","Republic of Estonia","print_native","","","0.43","2014-03-24"
"40865","http://www.ess.fi/","ess","FIN","","fi","North Bank Division","print_native","","","2.19","2020-06-01"
"40957","http://www.pohjalainen.fi/","pohjalainen","FIN","FI-12","fi","North Bank Division","print_native","","","0.0","2013-05-20"
"40990","http://www.maaseuduntulevaisuus.fi/","maaseuduntulevaisuus","FIN","FI-18","fi","none","print_native","","","7.08","2013-03-11"
"41086","http://www.lansi-savo.fi/","lansi-savo","FIN","","fi","North Bank Division","print_native","","","1.7","2013-05-20"
"41316","http://www.lapinkansa.fi/Etusivu","lapinkansa","FIN","FI-10","fi","none","print_native","","","0.0","2017-12-04"
"41480","http://svenska.yle.fi/","yle-sv","FIN","","sv","United States","video_broadcast","","","3.22","2015-12-28"
"41713","http://www.yle.fi/","YLE","FIN","","fi","none","video_broadcast","","","6.96","2018-03-26"
"41756","http://www.hameensanomat.fi/","hameensanomat","FIN","","fi","none","print_native","","","3.27","2019-06-03"
"41844","http://www.iltasanomat.fi/","IltaSanomat","FIN","FI-18","fi","North Bank Division","print_native","","","21.99","2013-03-18"
"41948","http://www.iltalehti.fi/etusivu/","iltalehti","FIN","FI-18","fi","North Bank Division","print_native","","","11.78","2013-03-18"
"42127","http://www.kymensanomat.fi/","kymensanomat","FIN","FI-09","fi","North Bank Division","print_native","","","3.16","2013-03-25"
"42195","http://www.kauppalehti.fi/5/i/etusivu/","kauppalehti","FIN","FI-18","fi","none","print_native","","","0.0","2013-03-25"
"108453","http://finlandtimes.fi/","finlandtimes.fi","FIN","","en","none","digital_native","","","0.0","2016-08-15"
"120319","http://helsinkitimes.fi/","helsinkitimes.fi","FIN","FI-18","en","Republic of Finland","print_native","","","0.49","2017-12-11"
"131382","http://finnbay.com/","finnbay.com","FIN","","en","","digital_native","","","0.0","2014-11-03"
"220748","http://freemagazine.fi/","freemagazine.fi","FIN","FI-18","en","","print_native","","","0.02","2017-06-26"
"276405","http://mtv.fi/","mtv.fi","FIN","","fi","United States","video_broadcast","","","16.41","2017-11-06"
"287418","http://karjalainen.fi/","karjalainen.fi","FIN","","fi","none","print_native","","","6.8","2017-12-11"
"310010","http://kaleva.fi/","kaleva.fi","FIN","","fi","","print_native","","","0.0","2017-12-04"
"330532","http://kansanuutiset.fi/","kansanuutiset.fi","FIN","FI-18","fi","none","print_native","","","0.58","2017-12-04"
"346514","http://aamulehti.fi/","aamulehti.fi","FIN","FI-11","fi","none","print_native","","","0.0","2018-06-04"
"365933","http://www.radiotv.ax/","Ålands Radio & Tv Ab","FIN","","sv","none","video_broadcast","","","1.16","2017-02-06"
"365934","http://www.nyan.ax/nyheter/","Nyheter – Nya Åland","FIN","","sv","none","print_native","","","0.82","2017-02-06"
"365935","http://bbl.fi/","Första sidan","FIN","FI-18","sv","none","print_native","","","0.36","2017-02-06"
"365936","http://online.sydin.fi/","Nyheter - Sydin","FIN","FI-12","sv","none","print_native","","","0.0","2017-02-06"
"365937","http://online.osterbottenstidning.fi/","Nyheter - Österbottens Tidning","FIN","FI-12","sv","none","print_native","","","0.0","2018-01-29"
"365938","http://arbetarbladet.fi/","”Vi måste visa att vi menar vad vi säger”","FIN","FI-18","sv","none","print_native","","","3.33","2017-08-14"
"365939","http://vastranyland.fi/","Västra Nyland","FIN","FI-18","sv","none","print_native","","","1.08","2017-02-06"
"623280","https://www.sttinfo.fi/","STT","FIN","","fi","Republic of Finland","other","","","4.83","2017-11-06"
"649851","http://www.demari.fi/","Demokraatti.fi","FIN","FI-18","fi","none","print_native","","","3.18","2018-06-11"
"649852","http://www.kuntsari.fi/","Kuntsari | kaikki Turun ja Salon välistä","FIN","","fi","none","print_native","","","0.54","2017-12-04"
"653584","http://www.metro.fi/","Metro - Finland","FIN","FI-18","fi","","print_native","","","0.0","2018-08-13"
"655824","http://www.imatralainen.fi/","Imatralainen","FIN","","fi","none","print_native","","","0.0","2017-12-04"
"655825","http://www.uutisvuoksi.fi/","Uutisvuoksi","FIN","","fi","none","print_native","","","1.52","2018-09-03"
"655826","http://www.joutsenolehti.fi/","Joutseno","FIN","","fi","none","print_native","","","0.49","2017-12-04"
"655827","http://www.lappeenrannanuutiset.fi/","Lappeenrannan Uutiset","FIN","","fi","none","print_native","","","0.32","2017-12-04"
"655828","http://www.varttiek.fi/","Vartti Etala Karjala","FIN","","fi","","print_native","","","0.0","2019-07-01"
"655829","http://www.luumaenlehti.fi/","Luumaen Lehti","FIN","","fi","none","print_native","","","0.44","2017-12-04"
"655830","http://www.parikkalan-rautjarvensanomat.fi/","Parikkalan Rautjarven Sanomat","FIN","","fi","","print_native","","","0.0","2022-05-14"
"655831","http://www.lansisaimaa.fi/","Lansi Saimaan Sanomat","FIN","","fi","none","print_native","","","0.52","2017-12-04"
"655832","http://www.jarviseutu-lehti.fi/","Jarviseutu","FIN","","fi","","print_native","","","0.0","2018-04-02"
"655833","http://www.viiskunta.fi/","Viiskunta","FIN","","fi","","print_native","","","0.0","2017-12-04"
"655834","http://www.ilmajoki-lehti.fi/","Ilmajoki Lehti","FIN","","fi","","print_native","","","0.0","2017-12-04"
"655835","http://www.jp-kunnallissanomat.fi/","JP Kunnallissanomat","FIN","","fi","","print_native","","","0.0","2019-06-03"
"655838","http://www.kauhajoki-lehti.fi/","Kauhajoki Lehti","FIN","","fi","none","print_native","","","0.0","2017-12-04"
"655839","http://www.komiatlehti.fi/","Komiat","FIN","","fi","","print_native","","","0.0","2019-05-13"
"655840","http://www.jurvansanomat.fi/","Jurvan Sanomat","FIN","","fi","","print_native","","","0.0","2017-12-04"
"655841","http://www.kurikka-lehti.fi/","Kurikka Lehti","FIN","","fi","","print_native","","","0.0","2018-04-02"
"655844","http://www.lapuansanomat.fi/","Lapuan Sanomat","FIN","","fi","","print_native","","","0.0","2018-04-30"
"655845","http://www.epari.fi/","Epari","FIN","","fi","","print_native","","","0.0","2017-12-04"
"655846","http://www.seinajoensanomat.fi/","Seinajoen Sanomat","FIN","","fi","Republic of Finland","print_native","","","0.97","2017-12-04"
"655847","http://www.tejuka-lehti.fi/","Tejuka","FIN","","fi","","print_native","","","0.0","2018-05-07"
"655848","http://www.heinavedenlehti.fi/","Heinaveden Lehti","FIN","","fi","","print_native","","","0.48","2017-12-25"
"655849","http://www.joroistenlehti.fi/","Joroisten Lehti","FIN","","fi","","print_native","","","0.5","2021-05-24"
"655850","http://www.juvanlehti.fi/","Juvan Lehti","FIN","","fi","none","print_native","","","0.71","2017-12-11"
"655851","http://www.kangasniemen-kunnallislehti.fi/","Kangasniemen Kunnallislehti","FIN","","fi","none","print_native","","","0.0","2017-12-04"
"655852","http://www.pitajanuutiset.fi/","Pitajanuutiset","FIN","","fi","none","print_native","","","0.56","2017-12-04"
"655854","http://www.pieksamaenlehti.fi/","Pieksamaen Lehti","FIN","","fi","","print_native","","","0.68","2019-06-03"
"655855","http://puumalalehti.fi/","Puumala Lehti","FIN","","fi","none","print_native","","","0.0","2017-11-27"
