media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39059","http://www.lematinal.com/","lematinal","MUS","MU-BL","fr","none","print_native","","","0.0","2013-03-11"
"41966","http://www.liberation.fr/","Liberation","","","fr","Republic of France","","","","0.0","2013-03-18"
"42083","http://www.lexpress.mu/","lexpress-MU","MUS","MU-BL","fr","Republic of Mauritius","print_native","","","1.38","2013-03-25"
"59616","http://islandcrisis.net/","islandcrisis.net","","","en","none","","","","0.11","2013-04-15"
"267703","http://defimedia.info/","defimedia.info","MUS","","fr","Republic of Mauritius","digital_native","","","3.79","2017-12-11"
"545879","http://inside.news/","inside.news","","","","","","","","0.0","2020-10-12"
"562202","http://lemauricien.com/","lemauricien.com","MUS","MU-BL","fr","Republic of Mauritius","print_native","","","2.49","2013-06-03"
"566731","http://maurice-info.mu/","maurice-info.mu","","","","","","","","2.04","2020-10-12"
"623282","http://mbc.intnet.mu/","MBC - Mauritius","MUS","","fr","none","video_broadcast","","","0.93","2017-11-06"
"623283","http://www.r1.mu/","Radio One","MUS","","fr","","video_broadcast","","","0.0","2018-03-05"
"623285","http://www.kotzot.com/","Kot Zot","MUS","","","","digital_native","","","0.0","2017-11-13"
"653061","http://www.starpress.info/","Star - Mauritius","MUS","MU-BL","fr","none","print_native","","","0.11","2017-12-04"
"656804","http://www.5plus.mu/","5 Plus Dimanche","MUS","MU-BL","fr","none","print_native","","","0.19","2017-12-04"
"656805","http://mauritiustimes.com/index.php?option=com_content&view=frontpage&Itemid=1","Mauritius Times","MUS","MU-BL","en","Republic of Mauritius","print_native","","","0.21","2017-11-27"
"844715","http://ionnews.mu/","ionnews.mu","","","","","","","","1.86","2020-10-12"
"903870","http://business.mega.mu/","business.mega.mu","","","","","","","","0.2","2020-10-05"
"1183904","http://ecoaustral.com/","ecoaustral.com","","","","","","","","0.02","2019-02-04"
"1533791","http://mopays.com/","mopays.com","","","","","","","","0.0","2020-05-04"
"1587135","http://peoplepress.co/","peoplepress.co","","","","","","","","0.0","2020-10-05"
"1720395","http://www.24heuresinfo.com/","HugeDomains.com - 24HeuresInfo.com is for sale (24 Heures Info)","","","","","","","","0.0","2020-10-12"
"1720396","https://web.archive.org/web/20120402042124/http://www.defimedia.info/sport/","Défi Sport : Retrouvez toute l'actualité sportive en simultanée - Le Défi Media Group Sports","","","","","","","","0.0","2020-10-19"
"1720397","https://www.channelnews.mu/","page - ChannelNews","","","","","","","","0.0","2020-10-12"
"1720398","http://www.espacesjeunes.com/","Tarinoita suomalaisten kodeista","","","","","","","","0.0","2020-10-12"
"1720399","http://www.grandbaie.mu/","Grand Baie.mu – Tout sur l'actualité de la capitale touristique de Maurice","","","","","","","","0.0","2020-08-31"
"1720400","http://www.ilemaurice-tourisme.info/","Ile Maurice Tourisme Infos | Hôtels de luxe | Hébergements | Golf | Spas | Informations exclusives | Villas de luxe | Voyage de ","","","","","","","","0.0","2020-10-12"
"1720401","http://www.kinews.info/","kinews.info","","","","","","","","0.0","2020-10-12"
"1720402","http://www.kozelidir.blogspot.com/","Kozelidir","","","","","","","","0.04","2020-03-16"
"1720403","https://www.lexpressproperty.com/","Lexpressproperty.com : Le 1er portail immobilier de l'Île Maurice","","","","","","","","0.0","2020-10-12"
