media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39228","http://bdg.by/","bdg","BLR","","ru","none","print_native","","","0.47","2013-02-25"
"39432","http://www.belgazeta.by/","belgazeta","BLR","","ru","none","print_native","","","0.0","2013-05-27"
"39615","http://news.belta.by/","Belta_be","BLR","","ru","Republic of Belarus","other","","","21.09","2013-05-27"
"40090","http://www.vb.by/","vb","BLR","","ru","none","print_native","","","0.93","2013-03-04"
"40142","http://www.sb.by","sb","BLR","","en","none","print_native","","","0.0","2013-10-14"
"40265","http://www.nv-online.info/","nv-online","BLR","","ru","none","print_native","","","2.3","2013-04-29"
"40773","http://telegraf.by/","telegraf-by","BLR","","ru","none","digital_native","","","3.0","2013-03-18"
"41046","http://naviny.by/","naviny","BLR","","ru","Republic of Belarus","digital_native","","","0.0","2013-03-11"
"41690","http://www.newsvm.com/","newsvm","BLR","","ru","none","print_native","","","0.0","2013-03-18"
"45577","http://belapan.com/#spider","belapan.com","BLR","","ru","Republic of Belarus","other","","","0.0","2017-11-06"
"47092","http://www.svaboda.org/#spider","svaboda.org","BLR","","be","Republic of Lithuania","video_broadcast","","","3.61","2017-11-06"
"49165","http://www.ctv.by/#spider","ctv.by","BLR","","ru","none","video_broadcast","","","0.0","2017-12-04"
"52332","http://www.intex-press.by/#spider","intex-press.by","","","","","","","","2.89","2020-10-05"
"55719","http://nn.by/","nn.by","BLR","","be","none","print_native","","","13.66","2017-09-18"
"62090","http://rferl.org/","rferl.org","ARM","","","","digital_native","","","1.89","2013-05-06"
"74992","http://www.tvr.by/#spider","tvr.by","BLR","","ru","Republic of Belarus","video_broadcast","","","0.0","2017-10-30"
"299962","http://en.belapan.com/","BelaPAN. Main","BLR","","en","none","other","","","0.0","2016-08-15"
"299969","http://eng.belta.by/","Belarus News | Belarusian news | Belarus today | news in Belarus | Minsk news | BELTA","BLR","","en","Republic of Belarus","other","","","0.0","2016-08-15"
"300229","http://www.charter97.org/en/news/","Charter'97 :: News from Belarus - Belarusian News - Republic of Belarus - Minsk","BLR","","en","none","digital_native","","","10.56","2016-08-15"
"300596","http://www.tvr.by/eng/","Belteleradiocompany","BLR","","en","none","video_broadcast","","","0.0","2016-08-15"
"623286","http://www.tvr.by/bel/","TVR - Belarus (Belarusian)","BLR","","be","Moskva","video_broadcast","","","0.0","2017-11-06"
"623287","http://www.charter97.org/be/news/","Charter 97 - Belarus (Belarusian)","BLR","","ru","New Zealand","digital_native","","","10.99","2017-11-06"
"623288","http://www.charter97.org/ru/news/","Charter 97 - Belarus (Russian)","BLR","","ru","New Zealand","digital_native","","","8.54","2017-11-06"
"623290","http://delo.by/","Delo - Belarus","BLR","","ru","none","print_native","","","0.0","2013-06-03"
"623291","http://by.belapan.com/","Belapan - Belarus (Belarusian)","BLR","","be","none","other","","","0.0","2017-11-06"
"623292","http://blr.belta.by","Belta - Belarus (Belarusian)","BLR","","be","none","other","","","0.0","2017-10-30"
"623293","http://deu.belta.by/","Belta - Belarus (German)","BLR","","de","Republic of Belarus","other","","","0.0","2017-10-30"
"623294","http://esp.belta.by/","Belta - Belarus (Spanish)","BLR","","es","Horad Minsk","other","","","0.0","2016-06-20"
"623295","http://www.bpc.by/","BPC","BLR","","ru","","other","","","0.0","2017-10-30"
"623296","http://www.ecopress.by/ru/news/8.html","Ecopress","BLR","","ru","none","other","","","1.34","2017-10-30"
"653462","http://www.b-g.by/","Brestskaia Gazeta","BLR","","ru","none","print_native","","","0.44","2018-05-28"
"653463","http://www.br-k.by/","Brestskii Kaeidoskop","BLR","","ru","","print_native","","","0.0","2017-12-04"
"653464","http://www.zarya.by/","Zaria","BLR","","ru","","print_native","","","0.0","2018-01-29"
"653465","http://gp.by/","Gomelskaia Pravda","BLR","","ru","none","print_native","","","3.7","2017-12-11"
"653466","http://www.dneprovec.by/","Dniaprovets","BLR","","ru","","print_native","","","0.0","2018-02-26"
"653467","http://www.vgr.by/","Vechernii Grodno","BLR","","ru","none","print_native","","","0.0","2017-12-04"
"653468","http://www.gs.by/","Gazeta Slonimskaya","BLR","","be","none","print_native","","","0.76","2018-06-04"
"653469","http://bobrlife.by/","Babruiskae Zhytstse","BLR","","ru","none","print_native","","","0.21","2018-06-11"
"653470","http://babruysk.by/","Bobruiskii Kurer","BLR","","ru","none","print_native","","","0.68","2017-12-04"
"653471","http://7dney.by/ru/","7 Dney","BLR","","ru","","print_native","","","0.0","2018-11-05"
"653472","http://www.aif.by/","Argumenty i Fakty - Belarus","BLR","","ru","none","print_native","","","3.42","2017-12-04"
"653508","http://belchas.by/","Belaruski Chas","BLR","","ru","","print_native","","","0.0","2018-06-11"
"653509","http://www.belmarket.by/","Belorusy i Rynok","BLR","","ru","none","print_native","","","0.0","2021-05-17"
"653510","https://neg.by/","Ekonomicheskaia Gazeta","BLR","","ru","Lower Saxony","print_native","","","0.66","2017-11-27"
"653512","http://www.kp.by/","Komsomolskaia Pravda - Belarus","BLR","","ru","","print_native","","","0.0","2018-01-22"
"653543","http://mk.by/","Minskii Kurer","BLR","","ru","none","print_native","","","0.0","2017-12-04"
"653545","http://www.nb.by/","Nedvizhimost Belorussii","BLR","","ru","","print_native","","","0.0","2018-01-22"
"653552","http://vsr.mil.by/","Vo Slavu Rodiny","BLR","","ru","none","print_native","","","0.0","2017-12-04"
"653553","http://zviazda.by/be","Zviazda","BLR","","be","none","print_native","","","5.22","2018-05-28"
"653554","http://kurjer.info/","Infa Kurer","BLR","","ru","none","print_native","","","0.87","2017-12-04"
"653555","http://news.vitebsk.cc/","Vicebsk","BLR","","ru","none","digital_native","","","0.39","2017-12-04"
"1702155","http://www.bk-brest.by/","Page Custom","","","","","","","","0.13","2020-08-31"
"1702156","https://medvestnik.by/","Главная","","","","","","","","0.0","2022-05-14"
"1702157","https://nestor.minsk.by/mg/","Музыкальная газета","","","","","","","","0.0","2020-10-05"
"1702158","https://smp.by/o-nas/nashi-izdanija/respublikanskaja-stroitelnaja-gazeta","Республиканская строительная газета Наши издания","","","","","","","","0.0","2022-05-14"
"1702159","http://vminsk.by/","Газета “Вечерний Минск” – все о столице Беларуси","","","","","","","","0.0","2019-02-18"
"1702160","https://vkurier.by/","vkurier.by | Витебский Курьер","","","","","","","","0.39","2020-10-05"
"1702161","http://xpress.by/","Железнодорожник Белоруссии","","","","","","","","0.11","2020-09-28"
"1702162","https://zhodinonews.by/","Городская общественно-политическая газета Жодино","","","","","","","","0.47","2020-10-05"
"1702163","https://novychas.by/","Новы Час: апошнія падзеі Беларусі, мова, культура і гісторыя онлайн","","","","","","","","0.0","2020-10-05"
"1702164","https://www.nslowa.by/","Наша Слова штодзень","","","","","","","","0.22","2020-08-31"
"1702165","https://nashaniva.by/","Наша Ніва: першая беларуская газета","","","","","","","","13.68","2020-09-14"
