media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39230","http://www.lanouvelletribune.info/","lanouvelletribune","BEN","BJ-LI","fr","none","print_native","","","2.66","2013-03-25"
"41118","http://www.essor.ml/","essor","MLI","ML-BK0","fr","Republic of Mali","print_native","","","0.0","2013-05-27"
"41959","http://www.maliweb.net/","maliweb","MLI","","fr","Republic of Mali","digital_native","","","3.41","2013-03-25"
"143718","http://malijet.com/","malijet.com","MLI","","fr","Kidal Region","digital_native","","","0.0","2018-06-18"
"144689","http://maliactu.net/","maliactu.net","MLI","","fr","Republic of Mali","digital_native","","","5.62","2018-10-29"
"623299","http://www.abamako.com/","A Bamako","MLI","","fr","none","digital_native","","","0.01","2017-11-13"
"655967","http://www.lesechos.ml/","Les Echos - Mali","MLI","ML-BK0","fr","Republic of Mali","print_native","","","1.97","2018-07-02"
"656796","http://www.malien.info","Malien","MLI","","fr","Republic of Mali","digital_native","","","3.97","2018-01-15"
"656797","http://www.maliweb.net/newspaper.php?SID=14","Le Republicain","MLI","ML-BK0","fr","none","print_native","","","3.06","2014-05-19"
"656798","http://www.maliweb.net/newspaper.php?SID=41","Le Segovien","MLI","ML-4","fr","United States","print_native","","","2.91","2017-12-04"
"1059743","http://afribone.com/","afribone.com","","","","","","","","0.46","2020-10-05"
"1258128","http://info-matin.ml/","info-matin.ml","","","","","","","","0.24","2020-10-05"
"1702170","https://lecourrier.ch/2020/08/19/descente-aux-enfers-4/","Descente aux enfers - Le Courrier","","","","","","","","0.0","2022-05-14"
"1702171","https://lindependant-mali.net/2020/10/06/presidentielle-en-guinee-cellou-dalein-diallo-accuse-alpha-conde-de-diviser-les-guineens/","Présidentielle en Guinée: Cellou Dalein Diallo accuse Alpha Condé de diviser les Guinéens","","","","","","","","0.36","2020-10-05"
"1702172","https://nouvelhorizonmali.com/categorie/sante/","SANTÉ Archives - NOUVEL HORIZON MALI","","","","","","","","0.62","2020-10-05"
"1702173","https://www.lechallenger.com/","Le Challenger – Bi-hebdomadaire malien d'informations générales","","","","","","","","0.08","2020-09-14"
"1702174","https://kibaru.ml/fr/","Kibaru ML","","","","","","","","0.0","2020-10-05"
