media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38760","http://www.kuriren.nu","norrbottenskuriren","SWE","SE-BD","sv","none","print_native","","","15.71","2016-05-09"
"38833","http://www.gp.se/","goteborgpost","SWE","SE-O","sv","none","print_native","","","0.79","2013-04-08"
"38858","http://www.barometern.se/","barometern","SWE","SE-H","sv","none","print_native","","","5.86","2018-07-23"
"38918","http://smp.se","smalandsposten","SWE","SE-G","sv","none","print_native","","","3.67","2018-07-23"
"38984","http://www.nsd.se/","Norrlandska","SWE","SE-BD","sv","Kingdom of Sweden","print_native","","","14.21","2013-03-11"
"39051","http://sverigesradio.se/","sverigesradio-en","SWE","","sv","none","video_broadcast","","","2.78","2013-06-03"
"39317","http://www.nwt.se","nwt","SWE","SE-S","sv","Kingdom of Sweden","print_native","","","5.64","2016-07-04"
"39409","http://www.dn.se/","dn-se","SWE","SE-AB","sv","none","print_native","","","11.7","2013-03-11"
"39518","http://www.dalademokraten.se","dalademokraten","SWE","SE-W","sv","Republic of Indonesia","print_native","","","5.51","2013-10-07"
"39586","http://www.arbetaren.se/","arbetaren","SWE","SE-AB","sv","none","print_native","","","0.53","2013-03-11"
"39707","http://www.aip.nu","aip","SWE","SE-AB","sv","Kingdom of Sweden","print_native","","","0.38","2013-03-11"
"39778","http://kkuriren.se/","kkuriren","SWE","SE-D","sv","none","print_native","","","10.51","2013-06-03"
"39982","http://allehanda.se/","allehanda","SWE","SE-Y","sv","none","print_native","","","2.28","2013-05-20"
"40078","http://www.vt.se","vt","SWE","SE-H","sv","none","print_native","","","11.7","2013-03-11"
"40125","http://www.svd.se","svd","SWE","SE-AB","sv","none","print_native","","","9.17","2013-03-11"
"40193","http://www.ekuriren.se/","ekuriren","SWE","SE-D","sv","none","print_native","","","12.38","2013-05-20"
"40232","http://www.nt.se/","nt","SWE","SE-E","sv","Kingdom of Sweden","print_native","","","12.64","2013-03-11"
"40250","http://www.na.se/","na","SWE","SE-T","sv","Kingdom of Sweden","print_native","","","6.7","2013-05-20"
"40370","http://hd.se","hd","SWE","SE-M","sv","none","print_native","","","15.32","2013-03-18"
"40389","http://gd.se/","gd","SWE","SE-X","sv","none","print_native","","","4.8","2013-05-20"
"40517","http://www.ltz.se","ltz","SWE","SE-Z","sv","none","print_native","","","3.42","2013-05-20"
"40564","http://www.aftonbladet.se/","aftonbladet","SWE","SE-AB","sv","none","print_native","","","12.31","2013-03-18"
"40574","http://www.expressen.se/","expressen","SWE","SE-AB","sv","none","print_native","","","11.14","2013-03-18"
"40631","http://www.vf.se","varmlandsfolkblad","SWE","SE-S","sv","Kingdom of Sweden","print_native","","","4.18","2013-04-01"
"40976","http://www.sn.se","sodermanlands_nyheter","SWE","SE-D","sv","none","print_native","","","11.82","2013-05-20"
"41022","http://www.bt.se","BT","SWE","SE-O","sv","none","print_native","","","3.18","2013-03-18"
"41304","http://www.thelocal.se/","thelocal","SWE","","en","Kingdom of Sweden","digital_native","","","0.68","2013-03-18"
"41632","http://hallandsposten.se/","hallandsposten","SWE","SE-N","sv","Kingdom of Sweden","print_native","","","0.23","2013-05-20"
"41779","http://www.sydsvenskan.se/","Sydsvenskan","SWE","SE-M","sv","none","print_native","","","13.63","2013-03-18"
"41790","http://www.sydostran.se","sydostran","SWE","SE-K","sv","none","print_native","","","4.22","2016-05-02"
"41907","http://www.dt.se","dalarnastidningar","SWE","SE-W","sv","Kingdom of Sweden","digital_native","","","6.33","2013-05-20"
"42006","http://www.corren.se","corren","SWE","SE-E","sv","none","print_native","","","14.68","2013-03-18"
"42095","http://op.se/","ostersunds_posten","SWE","SE-Z","sv","none","print_native","","","4.08","2013-05-20"
"42141","http://di.se/","DagensIndustri","SWE","SE-AB","sv","none","print_native","","","8.92","2013-04-01"
"42145","http://vlt.se/","vlt","SWE","SE-U","sv","none","print_native","","","4.31","2013-05-27"
"42162","http://www.dagen.se","dagen-sk","SWE","SE-AB","sv","none","print_native","","","1.47","2013-03-25"
