media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"1724","http://www.novayagazeta.ru/","Novaya Gazeta ","RUS","RU-MOW","ru","Russian Federation","print_native","","","0.0","2011-01-10"
"1725","http://www.vedomosti.ru/","Vedomosti","RUS","","ru","none","print_native","","","6.72","2011-10-10"
"1728","http://gazeta.ru/","Gazeta.ru","RUS","","ru","none","digital_native","","","25.97","2012-10-01"
"1729","http://lenta.ru/","Lenta.ru","RUS","","ru","Arizona","digital_native","","","27.57","2012-08-06"
"1733","http://www.ntv.ru/","NTV","RUS","","ru","United States","video_broadcast","","","0.01","2011-12-19"
"1770","http://pravda.ru","Правда.Ру: Новости и аналитика","RUS","","ru","United States","digital_native","","","14.9","2012-08-27"
"1775","http://mk.ru","Московский Комсомолец: происшествия, общество, культура, мнения, интервью","RUS","RU-MOW","ru","none","print_native","","","30.99","2012-09-17"
"1778","http://trud.ru","Газета Труд : новости, происшествия, политика, работа и развлечения в одной газете.","RUS","RU-MOW","ru","none","print_native","","","3.42","2011-01-10"
"7326","http://www.1tv.ru/","Первый канал. Официальный сайт. Новости. Премьеры. Вещание","RUS","","ru","Russian Federation","video_broadcast","","","0.0","2011-04-11"
"7327","http://ren-tv.com/","Телеканал РЕН","RUS","","ru","none","video_broadcast","","","5.8","2015-09-28"
"7328","http://www.tvc.ru/","Главная страница :: ТВ Центр - Официальный сайт телекомпании","RUS","","ru","none","video_broadcast","","","0.0","2012-10-29"
"29265","http://english.pravda.ru#spider","english.pravda.ru","RUS","","en","none","digital_native","","","13.77","2016-08-15"
"38994","http://www.vremya.ru/","vremya","RUS","RU-MOW","ru","none","print_native","","","0.0","2012-02-13"
"39204","http://www.izvestia.ru","izvestia-ru","RUS","RU-MOW","ru","none","print_native","","","0.0","2015-11-23"
"39226","http://www.rosbalt.ru","rosbalt","RUS","","ru","none","other","","","10.08","2013-05-20"
"39229","http://www.itogi.ru","itogi","RUS","","ru","none","print_native","","","0.0","2013-05-20"
