media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38780","http://www.sofiaecho.com/","sofiaecho","BGR","BG-23","en","none","print_native","","","1.9","2017-05-22"
"38983","http://kanal3.bg/","kanal3","BGR","","bg","none","video_broadcast","","","0.0","2015-12-28"
"39679","http://www.capital.bg/","capital-BG","BGR","BG-23","bg","none","print_native","","","2.06","2013-03-18"
"39853","http://www.focus-news.net/","focus-news","BGR","","bg","none","other","","","1.84","2019-04-01"
"39862","http://www.politika.rs/","politika","","","sr","none","","","","4.94","2013-03-18"
"39959","http://www.mediapool.bg/","mediapool","BGR","","bg","none","digital_native","","","3.1","2013-03-18"
"40507","http://dariknews.bg/","darik","BGR","","bg","Haute-Normandie","video_broadcast","","","0.0","2016-03-28"
"41144","http://www.thebulgarianpost.com/","thebulgarianpost","BGR","","en","","digital_native","","","0.01","2017-11-06"
"41571","http://www.novinite.com/","novinite","BGR","","en","Republic of Bulgaria","digital_native","","","1.38","2013-03-18"
"41732","http://www.dnevnik.bg/","Dnevnik-BG","BGR","BG-23","bg","none","print_native","","","5.22","2013-03-18"
"41745","http://www.actualno.com/","actualno","BGR","","bg","none","digital_native","","","15.52","2013-03-18"
"58742","http://e-vestnik.bg/","e-vestnik.bg","","","bg","none","","","","0.43","2013-04-29"
"61561","http://focus-fen.net/","focus-fen.net","BGR","","en","none","other","","","1.86","2021-03-29"
"92115","http://faktor.bg/#spider","faktor.bg","BGR","","bg","none","digital_native","","","0.0","2018-04-16"
"144367","http://standartnews.com/","standartnews.com","","","","","","","","0.0","2018-10-22"
"299940","http://bnr.bg/en","Radio Bulgaria","BGR","","en","Republic of Bulgaria","video_broadcast","","","40.24","2020-04-06"
"300187","http://bba-bulgaria.com/","BBA The Bulgarian Business Portal","BGR","","en","Republic of Bulgaria","digital_native","","","0.0","2016-10-10"
"300201","http://www.bta.bg/en/","News - BULGARIAN NEWS AGENCY","BGR","","en","Republic of Bulgaria","other","","","0.64","2017-08-14"
"300542","http://www.standartnews.com/en/","Стандарт - Новини, които си струва да споделим","BGR","BG-23","bg","none","print_native","","","0.0","2018-05-28"
"319547","http://btvnovinite.bg/","btvnovinite.bg","BGR","","bg","none","video_broadcast","","","5.63","2017-10-30"
"373405","http://blitz.bg/","blitz.bg","BGR","","bg","","digital_native","","","0.0","2014-03-10"
"623339","http://bnr.bg/ar","BNR - Bulgaria (Arabic)","BGR","","","","video_broadcast","","","0.0","2016-11-28"
"623340","http://bnr.bg/de","BNR - Bulgaria (German)","BGR","","de","none","video_broadcast","","","41.91","2020-04-06"
"623341","http://bnr.bg/el","BNR - Bulgaria (Modern Greek (1453-))","BGR","","el","none","video_broadcast","","","39.92","2020-04-06"
"623342","http://bnr.bg/fr","BNR - Bulgaria (French)","BGR","","fr","none","video_broadcast","","","39.89","2020-04-06"
"623343","http://bnr.bg/ru","BNR - Bulgaria (Russian)","BGR","","ru","none","video_broadcast","","","40.26","2020-04-06"
"623344","http://bnr.bg/sq","BNR - Bulgaria (Albanian)","BGR","","sq","none","video_broadcast","","","40.0","2020-04-06"
"623345","http://bnr.bg/sr","BNR - Bulgaria (Serbian)","BGR","","sr","none","video_broadcast","","","40.06","2020-04-06"
"623346","http://bnt.bg/","BNT","BGR","","bg","","video_broadcast","","","0.0","2018-03-12"
"623347","http://novatv.bg/","Nova TV","BGR","","bg","","video_broadcast","","","0.0","2018-04-16"
"623348","http://www.bulgaria.utre.bg/","Bulgaria Utre","BGR","","bg","none","digital_native","","","0.0","2018-04-16"
