media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38730","http://www.telegrafonline.ro/","telegrafonline","ROU","RO-CT","ro","none","print_native","","","0.0","2013-03-11"
"38798","http://www.gazetadesudest.ro/","gazetadesudest","ROU","RO-IL","ro","Olt","print_native","","","0.0","2013-01-21"
"38827","http://www.bzi.ro/","bzi","ROU","RO-IS","ro","România","print_native","","","6.99","2013-03-11"
"38830","http://www.realitatea.net/","realitatea","ROU","","ro","none","digital_native","","","9.67","2013-03-11"
"38835","http://www.bzb.ro/","bzb","ROU","RO-BV","ro","none","print_native","","","0.0","2013-07-15"
"38908","http://www.editie.ro/","editie","ROU","RO-DJ","ro","none","print_native","","","0.24","2013-05-27"
"39047","http://www.ziuaconstanta.ro/","ziuaconstanta","ROU","RO-CT","ro","România","print_native","","","0.01","2013-03-11"
"39054","http://www.desteptarea.ro/","desteptarea","ROU","RO-BC","ro","România","print_native","","","1.58","2013-03-11"
"39121","http://www.monitoruldegalati.ro/","monitoruldegalati","ROU","RO-GL","ro","none","print_native","","","1.6","2016-08-01"
"39163","http://www.bursa.ro/","bursa","ROU","RO-B","ro","none","print_native","","","0.0","2013-03-11"
"39167","http://www.ziaruldemures.ro/","ziaruldemures","ROU","RO-MS","ro","none","print_native","","","0.03","2013-05-27"
"39208","http://www.viata-libera.ro/","viata-libera","ROU","RO-GL","ro","","print_native","","","0.0","2018-10-15"
"39514","http://www.jurnalul.ro","jurnalul","ROU","RO-B","ro","","print_native","","","6.1","2019-08-26"
"39537","http://www.crainou.ro/","crainou","ROU","RO-SV","ro","none","print_native","","","0.0","2013-03-11"
"39666","http://www.szabadsag.ro/szabadsag/","szabadsag","ROU","RO-CJ","hu","none","print_native","","","0.82","2013-03-11"
"39766","http://www.tribuna.ro/","tribuna","ROU","RO-SB","ro","România","print_native","","","1.5","2016-10-10"
"39769","http://www.curierulnational.ro/","curierulnational","ROU","RO-B","ro","România","print_native","","","1.81","2013-03-18"
"39804","http://www.ziuadevest.ro/","ziuadevest","ROU","RO-TM","ro","România","print_native","","","2.02","2013-05-27"
"39871","http://www.curier.ro/","curier","ROU","RO-AG","ro","România","print_native","","","0.93","2013-07-15"
"39895","http://www.ziarulprahova.ro/","ziarulprahova","ROU","RO-PH","ro","România","print_native","","","0.77","2013-03-18"
"39949","http://www.monitoruldevalcea.ro/","monitoruldevalcea","ROU","RO-VL","ro","none","print_native","","","0.0","2013-05-27"
"39952","http://www.adevarul.ro/","adevarul","ROU","RO-B","ro","România","print_native","","","15.42","2013-05-20"
"39990","http://www.gandul.info/","gandul","ROU","","ro","none","digital_native","","","6.03","2013-05-20"
"40010","http://www.zf.ro/","zf","ROU","RO-B","ro","Repubblica Italiana","print_native","","","0.01","2016-07-11"
"40094","http://www.mediafax.ro","mediafax-en","ROU","","ro","none","other","","","6.93","2013-03-18"
"40126","http://www.monitorulexpres.ro/","monitorulexpres","ROU","RO-BV","ro","","print_native","","","1.37","2011-05-02"
"40179","http://www.aradon.ro/","aradon","ROU","RO-AR","ro","România","print_native","","","2.47","2013-03-18"
"40202","http://www.monitorfg.ro/","monitorfg","ROU","RO-BV","ro","România","print_native","","","0.58","2018-09-03"
"40240","http://www.gazetanord-vest.ro/","gazetanord-vest","ROU","RO-SM","ro","România","print_native","","","1.27","2013-03-18"
"40257","http://bacaul.ro/","bacaul","ROU","RO-BC","ro","România","digital_native","","","0.14","2013-03-11"
"40282","http://www.salajeanul.ro/","salajeanul","ROU","RO-SJ","ro","România","print_native","","","0.76","2013-03-11"
"40348","http://www.cuvantul-liber.ro","cuvantul-liber","ROU","RO-MS","ro","none","print_native","","","0.49","2013-07-15"
"40484","http://www.3szek.ro/load/3szek","3szek","ROU","RO-CV","hu","none","print_native","","","2.71","2013-05-20"
"40515","http://www.gazetademaramures.ro/","gazetademaramures","ROU","RO-MM","ro","România","print_native","","","0.8","2013-03-04"
"40555","http://www.observator.ro/","observator","ROU","RO-CT","ro","none","print_native","","","0.0","2013-03-18"
"40595","http://www.observatorulph.ro/","observatorulph","ROU","RO-PH","ro","România","digital_native","","","2.0","2013-03-18"
"40604","http://www.obiectivtulcea.ro/","obiectivtulcea","ROU","RO-TL","ro","România","print_native","","","1.69","2013-03-18"
"40725","http://www.informatia-zilei.ro/sm/","informatia-zilei","ROU","RO-SM","ro","România","print_native","","","0.99","2013-03-18"
"40769","http://www.cugetliber.ro/","cugetliber","ROU","RO-CT","ro","none","print_native","","","7.74","2013-03-18"
"40809","http://www.evz.ro/index.html","evz","ROU","RO-B","ro","none","print_native","","","0.0","2013-03-18"
"40912","http://www.ziaruldeolt.ro/","ziaruldeolt","ROU","RO-OT","ro","none","print_native","","","0.31","2016-12-05"
"40930","http://www.monitorulvn.ro/","monitorulvn","ROU","RO-VN","ro","România","print_native","","","1.84","2013-03-18"
"40978","http://www.monitorulsv.ro/","monitorulsv","ROU","RO-SV","ro","România","print_native","","","4.37","2013-03-18"
"41131","http://www.ziarulunirea.ro/","ziarulunirea","ROU","RO-AB","ro","România","print_native","","","2.91","2013-03-18"
"41206","http://www.nineoclock.ro/","nineoclock","","","en","România","","","","1.34","2013-03-18"
"41263","http://www.gds.ro","gds-ro","ROU","RO-DJ","ro","England","print_native","","","5.7","2013-05-20"
"41265","http://www.monitorulcj.ro/","monitorulcj","ROU","RO-CJ","ro","România","print_native","","","2.72","2013-03-18"
"41281","http://www.monitorulbt.ro/","monitorulbt","ROU","RO-BT","ro","none","print_native","","","2.67","2013-03-18"
"41305","http://www.monitorulab.ro/","monitorulab","ROU","RO-AB","ro","România","print_native","","","0.63","2013-03-18"
"41310","http://www.viatavalcii.ro/","viatavalcii","ROU","RO-VL","ro","","print_native","","","0.16","2020-07-20"
"41366","http://www.libertatea.ro/","libertatea","ROU","RO-B","ro","none","print_native","","","7.23","2016-05-30"
"41405","http://www.romanialibera.ro/","romanialibera","ROU","RO-B","ro","none","print_native","","","3.42","2013-03-18"
"41445","http://www.mytex.ro/","mytex","ROU","RO-BV","sk","none","print_native","","","0.0","2013-02-11"
"41489","http://www.cotidianul.ro/","cotidianul","ROU","","ro","none","digital_native","","","0.0","2013-03-18"
"41650","http://www.hotnews.ro/","hotnews","ROU","","ro","România","digital_native","","","10.66","2013-03-18"
"41865","http://www.bihon.ro/","bihon","ROU","RO-BH","ro","România","digital_native","","","1.73","2013-03-18"
"41878","http://www.monitoruldevaslui.ro/","monitoruldevaslui","ROU","RO-VS","ro","România","print_native","","","0.58","2013-03-18"
"41939","http://www.ziaruldevrancea.ro/","ziaruldevrancea","ROU","RO-VN","ro","România","print_native","","","0.0","2013-03-18"
"42037","http://www.obiectivbr.ro/","obiectivbr","ROU","RO-BR","ro","Judeţul Brăila","print_native","","","0.1","2017-09-04"
"42131","http://www.ziaruldeiasi.ro/","ziaruldeiasi","ROU","RO-IS","ro","none","print_native","","","0.0","2013-03-25"
"42229","http://maszol.ro","maszol","ROU","RO-B","hu","none","print_native","","","3.52","2015-10-19"
"50203","http://www.europalibera.org/#spider","europalibera.org","ROU","","ro","none","video_broadcast","","","0.78","2017-12-04"
"110129","http://gsp.ro/","gsp.ro","ROU","RO-B","ro","none","print_native","","","6.98","2017-10-30"
"110787","http://evz.ro/","evz.ro","","","","","","","","0.0","2021-11-22"
"110824","http://click.ro/","click.ro","ROU","RO-B","ro","none","print_native","","","4.11","2017-11-13"
"110944","http://cursdeguvernare.ro/","cursdeguvernare.ro","","","","","","","","1.4","2019-05-13"
"143807","http://ziarulring.ro/","ziarulring.ro","ROU","RO-B","","","print_native","","","0.01","2017-12-04"
"144347","http://agerpres.ro/","agerpres.ro","ROU","","ro","United States","other","","","0.0","2017-11-06"
"282092","http://stirileprotv.ro/","stirileprotv.ro","ROU","","en","United States","video_broadcast","","","8.66","2016-08-15"
"282311","http://estnews.ro/","estnews.ro","ROU","RO-VS","ro","Islamic Republic of Afghanistan","print_native","","","1.96","2018-03-26"
"283465","http://www.ddinews.gov.in/","DD News","IND","","en","Republic of India","digital_native","","","20.94","2018-04-16"
"287334","http://bzc.ro/","bzc.ro","ROU","RO-CT","ro","România","print_native","","","0.0","2017-12-04"
"287399","http://tion.ro/","tion.ro","ROU","RO-TM","ro","none","print_native","","","1.7","2017-12-04"
"287502","http://enational.ro/","enational.ro","ROU","RO-B","ro","Maine","print_native","","","3.48","2017-12-18"
"300122","http://www.agerpres.ro/english/","English – AGERPRES","ROU","","en","România","other","","","0.0","2016-08-15"
"300204","http://www.bursa.ro/?s=english_section","English section - Ziarul BURSA","ROU","RO-B","ro","România","print_native","","","0.0","2019-09-02"
"300218","http://www.cadranpolitic.ro/?cat=88","English | CADRAN POLITIC","ROU","","ro","none","print_native","","","0.02","2017-09-25"
"300387","http://www.mediafax.ro/","Mediafax.ro","ROU","","ro","România","other","","","6.93","2018-12-10"
"300506","http://www.rri.ro/en_gb/pages/home/","Radio Romania International","ROU","","en","România","video_broadcast","","","0.0","2016-08-08"
"300558","http://www.thediplomat.ro/","The Diplomat Bucharest","ROU","","en","București","print_native","","","0.41","2016-10-10"
"300637","http://www.zfenglish.com/","Business Romania, latest news from business in Romania only at ZF English","ROU","RO-B","en","România","print_native","","","1.2","2016-08-15"
"417445","http://ziarulevenimentul.ro/","ziarulevenimentul.ro","ROU","RO-IS","ro","","print_native","","","0.0","2017-12-11"
"519970","http://adz.ro/","adz.ro","ROU","RO-B","de","none","print_native","","","1.77","2017-12-04"
"533472","http://ziuadecj.realitatea.net/","ziuadecj.realitatea.net","ROU","RO-CJ","ro","United States","print_native","","","0.0","2017-12-04"
"539807","http://romaniajournal.ro/","romaniajournal.ro","ROU","","en","România","digital_native","","","0.76","2017-11-06"
"560393","http://europafm.ro/","europafm.ro","ROU","","ro","none","video_broadcast","","","2.17","2018-07-16"
"613951","http://vremeanoua.ro/","vremeanoua.ro","ROU","RO-VS","ro","none","print_native","","","1.82","2017-12-04"
"623384","http://a1.ro/","Antena 1","ROU","","ro","United States","video_broadcast","","","2.7","2017-11-06"
"623385","http://www.primatv.ro/","Prima - Romania","ROU","","ro","","video_broadcast","","","0.0","2018-08-13"
"623386","http://www.tvr.ro/","TVR - Romania (Romanian)","ROU","","ro","România","video_broadcast","","","1.03","2017-11-20"
"623387","http://www.acasa.ro/","Acasa","ROU","","none","none","digital_native","","","0.0","2019-09-30"
"623389","http://www.astazi.ro/","Astazi","ROU","","ro","none","digital_native","","","0.0","2018-04-09"
"623390","http://www.business24.ro/cum-sa-i-cheltuiesti/","Business 24","ROU","","ro","România","digital_native","","","0.24","2017-11-13"
"623391","http://www.dcnews.ro/","DC News","ROU","","ro","none","digital_native","","","0.0","2018-09-03"
"623392","http://www.govnet.ro/","Govnet","ROU","","en","România","digital_native","","","0.0","2017-11-06"
"623393","http://www.jurnalul24.ro/","Jurnalul 24","ROU","","ro","United States","digital_native","","","0.26","2017-10-23"
"623394","http://www.manager.ro/","Manager","ROU","","ro","United States","digital_native","","","1.09","2017-10-30"
"623396","http://www.onlinesport.ro/","Online Sport","ROU","","ro","","digital_native","","","0.0","2017-10-30"
"623397","http://www.rol.ro/","Romania Online","ROU","","ro","","digital_native","","","0.0","2015-04-20"
"623398","http://ronewsblog.wordpress.com/","Romanian News Blog","ROU","","","","digital_native","","","0.0","2012-07-23"
"623399","http://www.academiacatavencu.info/","Academia Catavencu","ROU","","ro","none","print_native","","","0.51","2017-12-11"
"623400","http://www.cadranpolitic.ro/","Cadran Politic - Romania (Romanian)","ROU","","ro","none","print_native","","","0.02","2017-11-06"
"623401","http://www.formula-as.ro/","Formula AS","ROU","","ro","none","print_native","","","0.22","2019-05-13"
"623402","http://www.eazi.ro/","Azi","ROU","RO-B","ro","none","print_native","","","0.0","2017-11-06"
"623403","http://www.capital.ro/index.html","Capital - Romania","ROU","RO-B","ro","none","print_native","","","0.0","2017-11-06"
"623404","http://cronicaromana.net/","Cronica Romana","ROU","RO-B","ro","none","print_native","","","0.93","2017-11-06"
"623405","http://www.curentul.info/","Curentul","ROU","RO-B","ro","none","print_native","","","0.62","2017-10-30"
"623407","http://www.prosport.ro/","Pro Sport","ROU","RO-B","ro","Tokyo","print_native","","","5.23","2018-07-23"
"623408","http://www.rgnpress.ro/","Romanian Global News","ROU","","ro","Republic of Moldova","other","","","0.27","2017-11-06"
"649860","http://www.mont.ro/","Monitorul de Neamt si Roman - Stiri si informatii din Judetul Neamt | Ziar cotidian independent - Monitorul de Neamt si Roman","ROU","RO-NT","ro","none","print_native","","","0.0","2017-12-04"
"652106","http://www.lepetitjournal.com/bucarest","Le Petit Journal - Romania","ROU","RO-B","fr","","digital_native","","","0.0","2020-08-24"
"657430","http://alba24.ro/","Alba 24","ROU","RO-AB","ro","United States","digital_native","","","3.11","2017-12-04"
"657431","http://www.aradcity.ro/","Arad City","ROU","RO-AR","ro","","digital_native","","","0.0","2018-02-26"
"657432","http://newsarad.ro/","News Arad","ROU","RO-AR","ro","none","print_native","","","0.24","2016-01-18"
"657433","http://sportarad.ro/","Sport Arad","ROU","RO-AR","ro","none","digital_native","","","1.04","2017-12-04"
"657434","http://www.ziarulargesul.ro/","Argesul","ROU","RO-AG","ro","Commonwealth of Australia","print_native","","","1.38","2017-12-11"
"657435","http://www.bacau.net/","Bacau","ROU","RO-BC","ro","România","digital_native","","","0.73","2017-12-11"
"657436","http://www.inainte.eu/","Inainte","ROU","RO-BC","ro","","print_native","","","0.04","2018-01-08"
"657437","http://www.observatordebacau.ro/","Observator de Bacau (Romanian)","ROU","RO-BC","ro","United States","print_native","","","0.0","2017-12-04"
"657438","http://www.ziaruldebacau.ro/","Ziarul de Bacau","ROU","RO-BC","ro","none","print_native","","","0.83","2017-11-27"
"657439","http://www.oradea-online.ro/","Oradea Online","ROU","RO-BH","ro","","digital_native","","","0.0","2018-11-05"
"657441","http://www.jurnalulbtd.ro/","Jornalul de Botosani si Dorohoi","ROU","RO-BT","ro","","print_native","","","0.0","2019-05-13"
"657442","http://www.infoest.ro/","Info Est","ROU","RO-BR","ro","Alaska","digital_native","","","0.0","2017-12-04"
"657443","http://www.obiectivdesuceava.ro/","Obiectiv - Romania - Suceava","ROU","RO-SV","ro","United States","print_native","","","1.78","2017-12-11"
"657444","http://www.observatorcl.info/","Observator de Calarasi","ROU","RO-CL","ro","none","print_native","","","1.26","2017-12-04"
