media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"59245","http://www.angonoticias.com/#","angonoticias.com","AGO","","pt","none","digital_native","","","0.0","2013-05-06"
"65554","http://jornaldeangola.sapo.ao/","jornaldeangola.sapo.ao","AGO","AO-LUA","pt","Republic of Angola","print_native","","","0.0","2016-04-04"
"272693","http://opais.co.ao/","opais.co.ao","AGO","AO-LUA","pt","none","print_native","","","0.79","2017-12-04"
"300116","http://www.actsa.org/page-1499-Angola_Monitor.html","Angola Monitor","AGO","","en","Republic of Angola","digital_native","","","0.02","2016-10-10"
"300482","http://www.portalangop.co.ao/angola/en_us/index.html","Angola Press - ANGOP - A notícia ao seu lado","AGO","","en","Republic of Angola","other","","","0.0","2018-10-29"
"358642","http://portaldeangola.com/","portaldeangola.com","AGO","","pt","none","digital_native","","","0.37","2017-11-06"
"623409","http://tpa.sapo.ao/","Televisao Publica de Angola","AGO","","pt","","video_broadcast","","","0.01","2017-11-20"
"623411","http://www.angola24horas.com/","Angola 24 Horas","AGO","","pt","Republic of Angola","digital_native","","","0.0","2019-03-25"
"623414","http://www.club-k.net/","Club K","AGO","","pt","none","digital_native","","","0.66","2017-12-04"
"623415","http://www.africa21digital.com/","Africa 21","AGO","","pt","none","print_native","","","0.0","2017-10-30"
"623417","https://www.economiaemercado.co.ao/","Economia e Mercado","AGO","","pt","none","print_native","","","0.0","2011-01-10"
"650959","http://www.voaportugues.com/p/5432.html","VOA - Angola","AGO","","pt","none","video_broadcast","","","1.24","2017-12-04"
"651214","http://www.sapo.ao/","Sapo - Angola","AGO","","pt","","digital_native","","","0.22","2017-12-11"
"651222","http://jornaldeeconomia.sapo.ao/","Economia e Financas","AGO","AO-LUA","pt","Republic of Iraq","print_native","","","0.01","2013-06-03"
"651223","http://www.expansao.co.ao/","Expansao","AGO","AO-LUA","pt","none","print_native","","","0.77","2017-12-04"
"651224","http://jornalf8.net/","Folha 8","AGO","AO-LUA","pt","none","print_native","","","0.27","2018-05-14"
"651225","http://jornaldosdesportos.sapo.ao/","Jornal dos Desportos","AGO","AO-LUA","pt","none","print_native","","","0.01","2017-12-04"
"651226","http://www.mercado.co.ao/","Mercado - Angola","AGO","AO-LUA","pt","Republic of Angola","print_native","","","0.0","2017-12-11"
"651227","http://novagazeta.co.ao/","Nova Gazeta","AGO","AO-LUA","pt","none","print_native","","","0.12","2018-08-13"
"651228","http://www.novojornal.co.ao/","Novo Jornal - Angola","AGO","AO-LUA","pt","","print_native","","","0.0","2017-12-04"
"651229","http://radiodespertarangola.net/","Radio Despertar","AGO","AO-LUA","pt","none","video_broadcast","","","0.0","2017-11-27"
"651230","http://www.radioecclesia.org/","Radio Ecclesia","AGO","AO-LUA","pt","none","video_broadcast","","","0.36","2013-06-03"
"1701068","http://apostoladoangola.com/","Actualidade da CEAST - Página Principal - O Apostolado","","","","","","","","0.0","2020-09-28"
"1701069","https://correiokianda.info/","Correio Kianda - A verdade em notícia","","","","","","","","0.78","2020-10-05"
