media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"31510","http://www.sabc.co.za#spider","sabc.co.za","ZAF","","en","Republic of South Africa","video_broadcast","","","0.18","2016-08-15"
"38799","http://www.timeslive.co.za/","thetimes-za","ZAF","ZA-GP","","","print_native","","","5.47","2013-03-11"
"39458","http://www.news24.com/","news24","ZAF","","","","digital_native","","","9.02","2013-05-20"
"40262","http://mg.co.za/","mg","ZAF","ZA-GP","","","print_native","","","0.98","2013-03-18"
"41161","http://www.sake24.com/","sake24","ZAF","ZA-WC","af","none","print_native","","","0.0","2013-05-20"
"41904","http://www.iol.co.za/the-star","the-star","ZAF","ZA-GP","en","none","print_native","","","51.82","2013-04-08"
"42228","http://www.iol.co.za/","iol","ZAF","","","","digital_native","","","37.6","2013-06-10"
"48817","http://thenewage.co.za/#spider","thenewage.co.za","ZAF","ZA-GP","en","none","print_native","","","0.44","2015-12-14"
"56589","http://sagoodnews.co.za/","sagoodnews.co.za","ZAF","","en","none","digital_native","","","0.1","2015-09-21"
"57265","http://noseweek.co.za/","noseweek.co.za","ZAF","","en","Republic of South Africa","print_native","","","0.0","2013-07-15"
"57275","http://sport24.co.za/","sport24.co.za","ZAF","","en","none","digital_native","","","0.0","2013-04-29"
"57922","http://southafrica.info/","southafrica.info","ZAF","","en","Republic of South Africa","digital_native","","","0.12","2013-04-29"
"58173","http://supersport.com/","supersport.com","ZAF","","en","none","video_broadcast","","","0.0","2013-04-29"
"60722","http://grocotts.co.za/","grocotts.co.za","ZAF","ZA-EC","en","Republic of South Africa","print_native","","","0.34","2013-07-01"
"66378","http://ofm.co.za/","ofm.co.za","ZAF","ZA-FS","en","Republic of South Africa","video_broadcast","","","5.16","2013-04-29"
"68132","http://www.rapport.co.za/#spider","rapport.co.za","ZAF","ZA-GP","af","none","print_native","","","0.0","2018-04-16"
"85940","http://www.dailymaverick.co.za/#spider","dailymaverick.co.za","ZAF","","en","none","digital_native","","","0.0","2016-02-08"
"86467","http://www.sowetanlive.co.za/#spider","sowetanlive.co.za","ZAF","ZA-GP","en","Republic of South Africa","print_native","","","6.67","2013-06-24"
"99750","http://www.vocfm.co.za/#spider","vocfm.co.za","ZAF","ZA-WC","en","none","video_broadcast","","","0.6","2017-12-04"
"107855","http://ewn.co.za/","ewn.co.za","ZAF","","en","Republic of South Africa","digital_native","","","4.98","2015-12-14"
"108262","http://citizen.co.za/","citizen.co.za","ZAF","ZA-GP","en","Republic of South Africa","print_native","","","7.48","2016-01-11"
"109230","http://citypress.co.za/","citypress.co.za","ZAF","ZA-GP","en","none","print_native","","","0.0","2016-10-10"
"109445","http://bdlive.co.za/","bdlive.co.za","ZAF","ZA-GP","en","none","print_native","","","0.0","2015-12-14"
"110546","http://iafrica.com/","iafrica.com","ZAF","","en","none","digital_native","","","0.71","2017-10-30"
"119169","http://ecr.co.za/","ecr.co.za","ZAF","","en","Republic of South Africa","video_broadcast","","","0.0","2017-09-18"
"122276","http://enca.com/","enca.com","ZAF","","en","Republic of South Africa","video_broadcast","","","1.99","2016-06-27"
"123913","http://polity.org.za/","polity.org.za","ZAF","","en","Republic of South Africa","digital_native","","","0.0","2016-10-10"
"143942","http://ann7.com/","ann7.com","ZAF","","en","none","video_broadcast","","","0.0","2017-08-14"
