media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38742","http://www.cyprus-mail.com/","cyprus-mail","CYP","","en","none","print_native","","","5.2","2013-06-17"
"39020","http://www.financialmirror.com/","FinancialMirror","CYP","","en","none","print_native","","","0.7","2013-03-11"
"39786","http://www.philenews.com","philenews","CYP","","el","none","print_native","","","0.3","2013-03-04"
"39790","http://www.haravgi.com.cy/","haravgi","CYP","","el","none","print_native","","","8.41","2013-05-27"
"40628","http://www.pamegipedo.com","pamegipedo","CYP","","el","","digital_native","","","0.0","2013-02-25"
"40902","http://www.cna.org.cy/default.asp?id=278#.UAfSSaNediM","CNA-tr","CYP","","tr","none","other","","","0.0","2013-07-15"
"40946","http://www.sigmalive.com/","sigmalive","CYP","","el","none","digital_native","","","13.89","2013-03-18"
"41059","http://www.sigmalive.com/simerini","simerini","CYP","","el","Commonwealth of Australia","print_native","","","13.17","2015-11-02"
"41168","http://www.cna.org.cy/default.asp?id=24#.UAfSSKNediM","CNA-en","CYP","","en","Republic of Cyprus","other","","","0.0","2013-07-22"
"41720","http://famagusta-gazette.com/","famagusta-gazette","CYP","","en","none","digital_native","","","0.11","2013-03-18"
"121450","http://kathimerini.com.cy/","kathimerini.com.cy","CYP","","el","","print_native","","","0.0","2018-05-28"
"217692","http://kibrisgazetesi.com/","kibrisgazetesi.com","CYP","","tr","none","print_native","","","0.0","2019-06-03"
"217893","http://in-cyprus.com/","in-cyprus.com","CYP","","en","Republic of Cyprus","print_native","","","1.82","2018-04-09"
"220362","http://kibrispostasi.com/","kibrispostasi.com","CYP","","tr","none","print_native","","","0.0","2017-12-04"
"300199","http://www.brtk.net/?Itemid=2","Ana Sayfa","CYP","","en","","video_broadcast","","","0.0","2021-05-31"
"300349","http://www.kypros.org/cgi-bin/headlines?/News/Update/english.html","Cyprus News","CYP","","en","Republic of Cyprus","digital_native","","","0.0","2016-08-15"
"300355","http://www.lgcnews.com/","North Cyprus News | Online news for North Cyprus","CYP","","en","none","digital_native","","","0.26","2016-08-15"
"300446","http://www.northcyprusdaily.com/","North Cyprus News - Daily News about North Cyprus and The World","CYP","","en","Republic of Cyprus","digital_native","","","0.0","2016-08-15"
"333699","http://detaykibris.com/","detaykibris.com","CYP","","tr","none","print_native","","","6.53","2018-02-12"
"346659","http://gundemkibris.com/","gundemkibris.com","CYP","","tr","United States","print_native","","","5.82","2018-02-26"
"623421","http://www.brtk.net/?Itemid=19","BRT - Cyprus (Modern Greek (1453-))","CYP","","el","","video_broadcast","","","0.0","2021-05-31"
"623422","http://www.brtk.net/?Itemid=23","BRT - Cyprus (French)","CYP","","fr","","video_broadcast","","","0.0","2021-05-31"
"623423","http://www.brtk.net/?Itemid=1","BRT - Cyprus (Turkish)","CYP","","tr","","video_broadcast","","","0.0","2021-05-31"
"623424","http://www.radioproto.com.cy/","Radio Proto","CYP","","el","none","video_broadcast","","","0.0","2017-10-30"
"623425","http://www.riknews.com.cy/","RIK News - Cyprus (Modern Greek (1453-))","CYP","","el","","video_broadcast","","","4.41","2021-05-31"
"623426","http://www.riknews.com.cy/tr/","RIK News - Cyprus (Turkish)","CYP","","tr","","video_broadcast","","","4.17","2021-05-31"
"623427","http://www.sigmatv.com/","Sigma TV","CYP","","el","","video_broadcast","","","0.0","2022-05-14"
"623428","http://tvonenews.com.cy/","TV One News","CYP","","el","none","video_broadcast","","","0.0","2019-05-20"
"623429","http://www.24news.com.cy/","24 News","CYP","","el","","digital_native","","","0.0","2017-10-30"
"623430","http://www.24sports.com.cy/","24 Sports","CYP","","el","","digital_native","","","0.0","2018-04-16"
"623431","http://www.cytoday.eu/","CY Today","CYP","","el","","digital_native","","","0.0","2018-04-16"
