media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39313","http://www.al-sharq.com/","al-sharq","QAT","QA-DA","ar","none","print_native","","","6.64","2021-08-23"
"40968","http://gulf-times.com/","gulf-times","QAT","QA-DA","en","none","print_native","","","3.52","2016-01-25"
"41772","http://www.al-watan.com/","al-watan","QAT","QA-DA","ar","none","print_native","","","0.0","2013-07-15"
"64713","http://thepeninsulaqatar.com/","thepeninsulaqatar.com","QAT","QA-DA","en","State of Qatar","print_native","","","0.0","2013-05-06"
"76912","http://dohanews.co/#spider","dohanews.co","QAT","","en","State of Qatar","digital_native","","","0.47","2016-08-15"
"121196","http://raya.com/","raya.com","QAT","QA-DA","ar","none","print_native","","","0.0","2018-07-16"
"282841","http://madhyamam.com/","madhyamam.com","IND","IN-KL","ml","","print_native","","","70.17","2021-11-22"
"299953","http://dohainsight.com/index.php?lang=en","Doha Insight","QAT","","en","State of Qatar","digital_native","","","0.0","2016-10-10"
"299954","http://doha-news.com/","Doha News | Qatar News | Latest news in Doha, Qatar","QAT","","en","","digital_native","","","0.0","2015-06-15"
"300046","http://nricafe.com/","NRICafe.com","QAT","","en","none","digital_native","","","0.0","2016-08-01"
"300196","http://www.bq-magazine.com/","bq magazine - Business and Economy news on Qatar","QAT","","en","none","print_native","","","0.11","2019-11-25"
"300490","http://www.qatarchronicle.com/","Welcome to nginx!","QAT","MD-UN","en","none","print_native","","","0.0","2021-06-28"
"300491","http://www.qatar-gulfnews.com/","Qatar – Gulf News | Daily news and analysis from Qatar and Middle East – Arabian Gulf","QAT","","en","none","digital_native","","","0.0","2016-09-19"
"300493","http://www.qna.org.qa/en-us/Home","Qatar News Agency","QAT","","en","none","other","","","0.01","2016-08-15"
"317288","http://qna.org.qa/","qna.org.qa","QAT","","ar","","other","","","0.0","2022-05-14"
"320601","http://qatar-tribune.com/","qatar-tribune.com","QAT","QA-DA","en","State of Qatar","print_native","","","0.01","2018-07-02"
"623445","http://qataractu.com/","Qatar Actu","QAT","","fr","","digital_native","","","0.0","2017-09-18"
"657426","http://lusailnews.qa/","Lusail News","QAT","QA-DA","ar","none","print_native","","","1.56","2018-05-28"
"893236","http://alarab.qa/","alarab.qa","","","","","","","","3.62","2021-11-22"
"1715535","https://www.manoramaonline.com/home.html","Manorama Online Latest Malayalam News. Breaking News Events. News Updates from Kerala India","","","","","","","","0.0","2020-10-12"
"1720497","http://epaper.chandrikadaily.com/","Chandrikadaily ePaper: Malayalam Daily | Chandrikadaily Malayalam epaper","","","","","","","","1.88","2020-10-12"
