media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39058","http://www.malaysiakini.com/","malaysiakini","MYS","","en","Malaysia","digital_native","","","2.74","2013-03-11"
"39395","http://www.nst.com.my/","nst","MYS","","en","Malaysia","print_native","","","0.0","2013-03-11"
"40537","http://thestar.com.my/","thestar-my","MYS","MY-10","en","none","print_native","","","0.06","2013-03-11"
"56719","http://mysinchew.com/","mysinchew.com","MYS","MY-10","en","none","print_native","","","0.0","2013-04-29"
"57726","http://freemalaysiatoday.com/","freemalaysiatoday.com","MYS","","en","none","digital_native","","","0.0","2013-05-06"
"60382","http://www.theedgemarkets.com/","The Edge Markets","MYS","MY-10","","","print_native","","","0.0","2013-06-10"
"61504","http://malaysia-today.net/","malaysia-today.net","MYS","","en","Malaysia","digital_native","","","0.5","2015-10-26"
"75462","http://www.thesundaily.my/","The Sun Daily","MYS","MY-10","en","none","print_native","","","13.59","2013-12-30"
"106666","http://themalaymailonline.com/","themalaymailonline.com","MYS","","en","none","print_native","","","14.73","2013-07-01"
"110341","http://theborneopost.com/","theborneopost.com","MYS","MY-13","en","Malaysia","print_native","","","4.09","2017-12-04"
"110548","http://therakyatpost.com/","therakyatpost.com","MYS","","en","Malaysia","digital_native","","","1.1","2019-04-22"
"111579","http://themalaysianreserve.com/","themalaysianreserve.com","MYS","MY-10","en","none","print_native","","","0.0","2018-07-02"
"123858","http://utusan.com.my/","utusan.com.my","MYS","","ms","none","print_native","","","6.9","2017-11-06"
"244552","http://dailyexpress.com.my/","dailyexpress.com.my","MYS","MY-12","en","Malaysia","print_native","","","0.0","2017-12-04"
"299923","http://aliran.com/","Aliran","MYS","","en","Malaysia","print_native","","","0.0","2016-10-10"
"299936","http://berita.rtm.gov.my/","Portal Berita Radio Televisyen Malaysia","MYS","","en","","video_broadcast","","","0.01","2011-01-10"
"300190","http://www.bernama.com/bernama/v6/","http://www.bernama.com/bernama/v7/","MYS","","en","Malaysia","other","","","0.0","2016-10-10"
"300593","http://www.tv3.com.my/","TV3","MYS","","ms","none","video_broadcast","","","1.0","2017-07-24"
"312125","http://harakahdaily.net/","harakahdaily.net","MYS","","ms","none","print_native","","","1.46","2020-06-15"
"318939","http://malaysianews.net/","malaysianews.net","MYS","","en","Malaysia","digital_native","","","0.63","2018-05-07"
"319102","http://kualalumpurnews.net/","kualalumpurnews.net","MYS","","en","Malaysia","digital_native","","","0.58","2018-05-07"
"329996","http://bharian.com.my/","bharian.com.my","MYS","","ms","none","print_native","","","0.0","2021-06-07"
"623446","http://agendasemasa.com/","Agenda Semasa","MYS","","ms","","digital_native","","","0.0","2017-11-13"
"623447","http://www.beritasemasa.com.my/","Berita Semasa","MYS","","ms","none","digital_native","","","0.0","2017-10-23"
"623448","http://www.freemalaysiatoday.com/category/bahasa/","Free Malaysia Today - Malaysia (Malay (macrolanguage))","MYS","","ms","none","digital_native","","","0.0","2019-06-10"
"623449","http://www.malayakhabar.com/","Malaya Khabar","MYS","","ne","United States","digital_native","","","0.91","2017-11-06"
"623450","http://www.maleisie.be/","Maleisie","MYS","","nl","","digital_native","","","0.0","2015-11-16"
"623451","http://www.chinapress.com.my/","China Press","MYS","","zh","People’s Republic of China","print_native","","","0.0","2018-08-13"
"623452","http://www.bernama.com/arabic/v2/","Bernama - Malaysia (Arabic)","MYS","","ar","","other","","","0.0","2017-10-30"
"623453","http://www.bernama.com/bernama/v6/bm/","Bernama - Malaysia (Malay (macrolanguage))","MYS","","ms","","other","","","0.0","2017-11-13"
"623454","http://mandarin.bernama.com/v2/","Bernama - Malaysia (Chinese)","MYS","","zh","","other","","","0.0","2017-10-30"
"652959","http://www.asiatimes.biz/","Asia Times - Malaysia","MYS","MY-12","zh","","print_native","","","0.0","2018-03-19"
"656778","http://www.al-atheer.com.my/","Al Atheer (Arabic)","MYS","","ar","none","print_native","","","0.0","2017-12-18"
"656779","http://www.al-atheer.com.my/en/","Al Atheer (English)","MYS","","en","Kingdom of Morocco","print_native","","","0.0","2019-06-17"
"656780","http://www.kosmo.com.my/","Kosmo","MYS","","ms","Kuala Lumpur","print_native","","","3.46","2017-12-04"
"656783","http://www.kwongwah.com.my/","Kwong Wah Yit Poh","MYS","MY-07","zh","","print_native","","","0.0","2021-06-07"
"656784","http://www.newsabahtimes.com.my/","New Sabah Times","MYS","MY-12","en","","print_native","","","0.0","2017-12-04"
"656785","http://www.ocdn.com.my/","Overseas Chinese Daily News","MYS","MY-12","none","none","print_native","","","0.0","2017-12-04"
"656786","http://www.intimes.com.my/","International Times","MYS","MY-13","zh","","print_native","","","0.0","2012-01-30"
"656787","https://www.newsarawaktribune.com.my/","New Sarawak Tribune","MYS","MY-13","en","Malaysia","print_native","","","2.96","2018-12-10"
"656788","http://www.seehua.com/","See Hua Daily News","MYS","MY-13","zh","none","print_native","","","0.0","2017-12-04"
"656789","http://www.uniteddaily.com.my/","United Daily","MYS","MY-13","zh","none","print_native","","","6.02","2017-12-11"
"656791","http://www.guangming.com.my/","Guang Ming Ribao","MYS","MY-10","none","none","print_native","","","0.0","2018-04-23"
"656792","http://www.nanyang.com/","Nanyang Siang Pau","MYS","MY-10","zh","","print_native","","","0.0","2017-12-25"
"656794","http://www.sinchew.com.my/","Sin Chew Jit Poh (Chinese)","MYS","MY-10","zh","none","print_native","","","0.0","2018-03-26"
